period,scenario,label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,strong_breakout,2,1,1,50.0,49.75,2.04,24.88,0.503,47.83,0.48,1
2025-02,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,strong_breakout_clean_context,2,1,1,50.0,47.48,1.948,23.74,0.503,50.1,0.5,1
2025-02,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,weak_breakout_clean_context,4,2,2,50.0,82.74,1.814,20.68,0.506,101.7,1.01,2
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,clean_nested_nwave_entry,1,0,1,0.0,-50.82,0.0,-50.82,-1.035,50.82,0.51,1
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_initial,2,1,1,50.0,52.39,2.166,26.19,0.501,44.93,0.45,1
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_late,10,3,7,30.0,-72.37,0.794,-7.24,-0.101,110.67,1.11,2
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_confirmation_entry,4,1,3,25.0,-58.89,0.601,-14.72,-0.253,99.64,1.0,2
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_then_go_after_return_inside,1,0,1,0.0,-50.82,0.0,-50.82,-1.035,50.82,0.51,1
2025-02,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,chasing_entry,3,1,2,33.33,0.36,1.004,0.12,-0.006,97.54,0.98,2
2025-02,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,clean_structural_bos,2,0,2,0.0,-98.45,0.0,-49.22,-1.009,98.45,0.98,2
2025-02,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,late_entry,1,0,1,0.0,-48.85,0.0,-48.85,-1.006,48.85,0.49,1
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_late,2,1,1,50.0,28.18,1.535,14.09,0.501,52.72,0.52,1
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_confirmation_entry,1,1,0,100.0,80.9,,80.9,2.009,0.0,0.0,0
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,strong_breakout,1,1,0,100.0,93.96,,93.96,2.0,0.0,0.0,0
2025-10,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,weak_breakout_clean_context,3,1,2,33.33,4.76,1.05,1.59,-0.0,94.84,0.94,2
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_initial,3,2,1,66.67,114.18,3.311,38.06,1.0,49.4,0.49,1
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_late,2,2,0,100.0,199.43,,99.72,2.013,0.0,0.0,0
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_then_go_after_return_inside,1,1,0,100.0,99.6,,99.6,2.0,0.0,0.0,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,strong_breakout,5,1,4,20.0,-91.18,0.506,-18.24,-0.401,184.64,1.85,4
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,weak_breakout_retest_confirmed,1,0,1,0.0,-48.66,0.0,-48.66,-1.022,48.66,0.49,1
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,strong_breakout_clean_context,5,1,4,20.0,-86.51,0.531,-17.3,-0.401,184.64,1.85,4
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,weak_breakout_clean_context,5,2,3,40.0,34.33,1.284,6.87,0.18,85.99,0.85,2
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,chasing_after_break,2,0,2,0.0,-93.77,0.0,-46.88,-1.018,93.77,0.94,2
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,clean_nested_nwave_entry,3,0,3,0.0,-130.63,0.0,-43.54,-1.025,130.63,1.31,3
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,neckline_break_initial,5,0,5,0.0,-243.63,0.0,-48.73,-1.008,243.63,2.44,5
