variant,reward_r,is_xauusd,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_all_signals,1.5,FX,50,50,24,26,48.0,537.58,1.414,10.75,0.213,286.92,2.76,48.0,48.0,0,0,0,0,0.735,1.157,212240800.0,318361200.0,0.345
v4_all_signals,1.5,XAUUSD,144,144,67,77,46.53,1544.4,1.422,10.72,0.163,392.59,3.29,46.53,53.47,0,0,0,0,0.864,1.08,19604583333.333,29406875000.0,0.063
v4_candle_reversal_only,1.2,FX,27,27,16,11,59.26,430.53,1.77,15.95,0.304,343.19,3.35,59.26,40.74,0,0,0,0,0.681,1.108,216829259.259,260195111.111,0.312
v4_candle_reversal_only,1.2,XAUUSD,96,96,51,45,53.12,1104.36,1.521,11.5,0.169,337.86,2.95,53.12,46.88,0,0,0,0,0.771,0.989,21165104166.667,25398125000.0,0.063
v4_candle_reversal_only,1.3,FX,27,27,16,11,59.26,513.03,1.917,19.0,0.363,338.44,3.3,59.26,40.74,0,0,0,0,0.681,1.129,216829259.259,281878037.037,0.312
v4_candle_reversal_only,1.3,XAUUSD,96,96,46,50,47.92,803.64,1.339,8.37,0.102,497.26,4.4,47.92,52.08,0,0,0,0,0.813,1.05,21165104166.667,27514635416.667,0.063
v4_candle_reversal_only,1.5,FX,27,27,14,13,51.85,408.07,1.611,15.11,0.296,328.95,3.24,51.85,48.15,0,0,0,0,0.735,1.234,216829259.259,325243888.889,0.312
v4_candle_reversal_only,1.5,XAUUSD,96,96,44,52,45.83,1084.18,1.442,11.29,0.146,430.55,3.74,45.83,54.17,0,0,0,0,0.836,1.122,21165104166.667,31747656250.0,0.063
v4_micro_break_only,1.2,FX,14,14,9,5,64.29,286.89,2.17,20.49,0.414,99.23,0.98,64.29,28.57,0,0,0,0,0.688,1.026,214412142.857,257294571.429,0.296
v4_micro_break_only,1.2,XAUUSD,54,54,27,27,50.0,172.43,1.132,3.19,0.1,283.24,2.71,50.0,50.0,1,0,0,0,0.791,1.023,18656851851.852,22388222222.222,0.052
v4_micro_break_only,1.3,FX,14,14,8,6,57.14,215.29,1.728,15.38,0.314,99.23,0.98,57.14,35.71,0,0,0,0,0.71,1.082,214412142.857,278735785.714,0.296
v4_micro_break_only,1.3,XAUUSD,54,54,25,29,46.3,122.36,1.088,2.27,0.065,319.87,3.07,46.3,53.7,0,0,0,0,0.828,1.105,18656851851.852,24253907407.407,0.052
v4_micro_break_only,1.5,FX,14,14,7,7,50.0,168.31,1.487,12.02,0.25,149.47,1.48,50.0,42.86,0,0,0,0,0.723,1.17,214412142.857,321618214.286,0.296
v4_micro_break_only,1.5,XAUUSD,54,54,23,31,42.59,137.28,1.093,2.54,0.065,383.76,3.65,42.59,57.41,0,0,0,0,0.862,1.138,18656851851.852,27985277777.778,0.052
v4_micro_or_candle,1.2,FX,32,32,20,12,62.5,633.18,2.032,19.79,0.375,333.38,3.26,62.5,37.5,0,0,0,0,0.673,1.093,232350625.0,278820750.0,0.313
v4_micro_or_candle,1.2,XAUUSD,110,110,59,51,53.64,1252.6,1.518,11.39,0.18,401.76,3.47,53.64,46.36,0,0,0,0,0.773,1.015,20160000000.0,24192000000.0,0.064
v4_micro_or_candle,1.3,FX,32,32,19,13,59.38,609.54,1.911,19.05,0.366,323.61,3.15,59.38,40.62,0,0,0,0,0.682,1.12,232350625.0,302055812.5,0.313
v4_micro_or_candle,1.3,XAUUSD,110,110,56,54,50.91,1219.53,1.476,11.09,0.171,414.66,3.57,50.91,49.09,0,0,0,0,0.796,1.091,20160000000.0,26208000000.0,0.064
v4_micro_or_candle,1.5,FX,32,32,16,16,50.0,406.75,1.491,12.71,0.25,304.07,2.99,50.0,50.0,0,0,0,0,0.734,1.222,232350625.0,348525937.5,0.313
v4_micro_or_candle,1.5,XAUUSD,110,110,54,56,49.09,1594.05,1.602,14.49,0.227,403.59,3.38,49.09,50.91,0,0,0,0,0.816,1.163,20160000000.0,30240000000.0,0.064
v4_without_weak_signals,1.2,FX,42,42,23,19,54.76,451.14,1.46,10.74,0.205,273.08,2.68,54.76,42.86,0,0,0,0,0.706,1.005,205024761.905,246029714.286,0.345
v4_without_weak_signals,1.2,XAUUSD,124,124,67,57,54.03,1414.51,1.511,11.41,0.189,429.29,3.65,54.03,45.97,0,0,0,0,0.774,1.021,20807419354.839,24968903225.806,0.061
v4_without_weak_signals,1.3,FX,42,42,22,20,52.38,455.15,1.441,10.84,0.205,369.43,3.61,52.38,45.24,0,0,0,0,0.726,1.03,205024761.905,266532190.476,0.345
v4_without_weak_signals,1.3,XAUUSD,124,124,63,61,50.81,1315.24,1.444,10.61,0.169,443.52,3.78,50.81,49.19,0,0,0,0,0.801,1.091,20807419354.839,27049645161.29,0.061
v4_without_weak_signals,1.5,FX,42,42,20,22,47.62,426.32,1.376,10.15,0.19,341.58,3.33,47.62,50.0,0,0,0,0,0.745,1.138,205024761.905,307537142.857,0.345
v4_without_weak_signals,1.5,XAUUSD,124,124,62,62,50.0,1871.37,1.623,15.09,0.25,432.45,3.55,50.0,50.0,0,0,0,0,0.81,1.162,20807419354.839,31211129032.258,0.061
