variant,month,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_micro_or_candle,2025-02,18,18,9,9,50.0,190.77,1.427,10.6,0.246,167.39,1.64,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,2025-08,26,26,11,15,42.31,66.5,1.09,2.56,0.064,266.48,2.61,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,2025-10,25,25,12,13,48.0,229.65,1.386,9.19,0.198,139.18,1.39,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,2026-01,24,24,14,10,58.33,770.12,2.553,32.09,0.501,239.01,2.28,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,2026-02,28,28,12,16,42.86,320.28,1.407,11.44,0.063,465.8,4.32,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,2026-03,21,21,9,12,42.86,65.96,1.108,3.14,0.071,221.82,2.17,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,2025-02,21,21,10,11,47.62,170.12,1.311,8.1,0.191,237.83,2.33,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,2025-08,27,27,12,15,44.44,146.71,1.198,5.43,0.117,268.39,2.6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,2025-10,29,29,13,16,44.83,148.9,1.2,5.13,0.119,139.18,1.39,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,2026-01,30,30,17,13,56.67,897.8,2.421,29.93,0.457,290.01,2.77,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,2026-02,29,29,13,16,44.83,291.96,1.333,10.07,0.115,493.31,4.57,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,2026-03,30,30,13,17,43.33,170.34,1.2,5.68,0.087,209.51,2.03,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
