period,scenario,failure_type,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,false_breakout,7,0,7,0.0,-349.37,0.0,-49.91,0.0,349.37,3.49,-304.3,-45.07,-248.69,-100.68,0.65,1.406,42.86,28.57,0.0,100.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,no_follow_through,2,0,2,0.0,-97.52,0.0,-48.76,0.0,97.52,0.98,-97.52,0,0,-97.52,0.449,0.989,0.0,0.0,0.0,0.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,false_breakout,7,0,7,0.0,-349.37,0.0,-49.91,0.0,349.37,3.49,-304.3,-45.07,-248.69,-100.68,0.65,1.406,42.86,28.57,0.0,100.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,no_follow_through,2,0,2,0.0,-97.52,0.0,-48.76,0.0,97.52,0.98,-97.52,0,0,-97.52,0.449,0.989,0.0,0.0,0.0,0.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,false_breakout,3,0,3,0.0,-150.46,0.0,-50.15,0.0,150.46,1.5,-150.46,0,-50.82,-99.64,0.251,1.632,33.33,0.0,0.0,100.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_follow_through,1,0,1,0.0,-47.83,0.0,-47.83,0.0,47.83,0.48,-47.83,0,0,-47.83,0.249,0.924,0.0,0.0,0.0,0.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,false_breakout,3,0,3,0.0,-150.46,0.0,-50.15,0.0,150.46,1.5,-150.46,0,-50.82,-99.64,0.251,1.632,33.33,0.0,0.0,100.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,no_follow_through,1,0,1,0.0,-47.83,0.0,-47.83,0.0,47.83,0.48,-47.83,0,0,-47.83,0.249,0.924,0.0,0.0,0.0,0.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,false_breakout,1,0,1,0.0,-52.77,0.0,-52.77,0.0,52.77,0.53,-52.77,0,0,-52.77,0.616,0.991,100.0,0.0,0.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,false_breakout,1,0,1,0.0,-52.77,0.0,-52.77,0.0,52.77,0.53,-52.77,0,0,-52.77,0.616,0.991,100.0,0.0,0.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,false_breakout,1,0,1,0.0,-49.4,0.0,-49.4,0.0,49.4,0.49,0,-49.4,0,-49.4,1.412,1.932,100.0,100.0,0.0,100.0
