run,scenario,direction,rows,pass,fail,pass_rate
D,LONG_ONLY_DowFractal_5m_new_bar,LONG,168274,89092,79182,52.94
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,LONG,73648,9322,64326,12.66
