period,run,scenario,trade_index,open_time,close_time,symbol,fx_vs_xauusd,direction,net_profit,result_R,label,breakout_quality_label,context_quality_label,context_quality_score,sl_atr,breakout_body_atr
2025,A,instant_all_r12,43,2025-03-24 17:20:00,2025-03-24 19:41:10,EURUSD,FX,SHORT,61.75,1.28,neckline_break_late,unclassified,not_evaluated,0.0,2.08,1.08
2025,A,instant_all_r12,44,2025-03-24 19:50:00,2025-03-24 21:40:32,EURUSD,FX,SHORT,-49.4,-1.011,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,1.46,0.68
2025,A,instant_all_r12,45,2025-03-28 16:20:00,2025-03-28 16:25:09,USDJPY,FX,LONG,-49.44,-1.017,neckline_break_late,unclassified,not_evaluated,0.0,1.02,0.87
2025,A,instant_all_r12,46,2025-04-02 13:20:00,2025-04-02 16:44:56,EURJPY,FX,SHORT,-49.42,-1.0,neckline_break_initial,unclassified,not_evaluated,0.0,2.02,0.59
2025,A,instant_all_r12,47,2025-04-07 13:05:00,2025-04-07 15:45:49,GBPJPY,FX,SHORT,-48.3,-1.031,neckline_break_initial,unclassified,not_evaluated,0.0,1.9,0.95
2025,A,instant_all_r12,48,2025-04-07 22:35:00,2025-04-08 12:26:19,GBPJPY,FX,SHORT,52.14,1.2,neckline_break_late,unclassified,not_evaluated,0.0,2.09,0.26
2025,A,instant_all_r12,49,2025-04-08 12:35:00,2025-04-08 13:31:04,XAUUSD,XAUUSD,SHORT,-48.36,-1.019,neckline_break_initial,unclassified,not_evaluated,0.0,1.4,1.29
2025,A,instant_all_r12,50,2025-04-08 13:35:00,2025-04-08 14:37:56,GBPJPY,FX,SHORT,-48.35,-1.0,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,1.68,0.74
2025,A,instant_all_r12,51,2025-04-08 18:35:00,2025-04-08 19:06:15,XAUUSD,XAUUSD,SHORT,49.68,1.213,neckline_break_late,unclassified,not_evaluated,0.0,1.15,0.36
2025,A,instant_all_r12,52,2025-04-08 18:50:00,2025-04-08 19:40:55,USDJPY,FX,LONG,-50.64,-1.032,neckline_break_initial,unclassified,not_evaluated,0.0,0.98,0.18
2025,A,instant_all_r12,53,2025-04-08 19:20:00,2025-04-08 20:12:46,XAUUSD,XAUUSD,SHORT,57.93,1.2,neckline_break_late,unclassified,not_evaluated,0.0,1.91,0.27
2025,A,instant_all_r12,54,2025-04-17 22:35:00,2025-04-21 00:04:09,USDJPY,FX,SHORT,53.2,1.213,neckline_break_late,unclassified,not_evaluated,0.0,1.61,0.11
2025,A,instant_all_r12,55,2025-04-23 16:35:00,2025-04-23 16:37:51,EURUSD,FX,SHORT,58.41,1.204,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,1.14,0.5
2025,A,instant_all_r12,56,2025-04-23 17:50:00,2025-04-23 21:04:53,EURUSD,FX,SHORT,59.52,1.231,chasing_after_break,unclassified,not_evaluated,0.0,1.95,0.0
2025,A,instant_all_r12,57,2025-04-24 17:50:00,2025-04-24 20:04:01,GBPJPY,FX,LONG,59.19,1.21,neckline_break_late,unclassified,not_evaluated,0.0,2.03,0.41
2025,A,instant_all_r12,58,2025-05-07 04:20:00,2025-05-07 05:38:06,EURJPY,FX,SHORT,-50.65,-1.01,neckline_break_initial,unclassified,not_evaluated,0.0,1.77,0.33
2025,A,instant_all_r12,59,2025-05-07 13:20:00,2025-05-07 18:59:37,USDJPY,FX,SHORT,-48.99,-1.004,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,1.78,0.77
2025,A,instant_all_r12,60,2025-05-07 22:05:00,2025-05-08 05:00:05,GBPJPY,FX,SHORT,-59.51,-1.033,neckline_break_initial,unclassified,not_evaluated,0.0,1.62,0.8
2025,A,instant_all_r12,61,2025-05-19 03:50:00,2025-05-19 04:21:07,XAUUSD,XAUUSD,LONG,-37.8,-1.009,neckline_break_late,unclassified,not_evaluated,0.0,2.0,0.23
2025,A,instant_all_r12,62,2025-05-22 14:35:00,2025-05-22 15:38:54,EURUSD,FX,LONG,-48.72,-1.004,neckline_break_late,unclassified,not_evaluated,0.0,2.15,0.65
2025,A,instant_all_r12,63,2025-05-22 16:20:00,2025-05-22 16:45:00,EURUSD,FX,LONG,-55.9,-1.161,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,1.17,0.98
2025,A,instant_all_r12,64,2025-05-23 08:05:00,2025-05-23 10:49:36,USDJPY,FX,SHORT,57.55,1.199,neckline_break_late,unclassified,not_evaluated,0.0,1.98,0.53
