period,scenario,label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2024,context_router_v2_all_r12,dirty_breakout_clean_context_retest_confirmed,1,1,0,100.0,61.88,,61.88,1.23,0.0,0.0,0
2024,context_router_v2_all_r12,strong_breakout_clean_context,5,2,3,40.0,-32.44,0.787,-6.49,-0.142,152.14,1.5,3
2024,context_router_v2_all_r12,strong_breakout_mixed_context,1,0,1,0.0,-50.4,0.0,-50.4,-1.0,50.4,0.5,1
2024,context_router_v2_all_r12,weak_breakout_clean_context,21,9,12,42.86,-53.16,0.911,-2.53,-0.056,263.42,2.58,5
2024,context_router_v3_all_r12,dirty_breakout_clean_context_retest_confirmed,1,1,0,100.0,61.88,,61.88,1.23,0.0,0.0,0
2024,context_router_v3_all_r12,strong_breakout_clean_context,5,2,3,40.0,-32.44,0.787,-6.49,-0.142,152.14,1.5,3
2024,context_router_v3_all_r12,strong_breakout_mixed_context,1,0,1,0.0,-50.4,0.0,-50.4,-1.0,50.4,0.5,1
2024,context_router_v3_all_r12,weak_breakout_clean_context,21,9,12,42.86,-53.16,0.911,-2.53,-0.056,263.42,2.58,5
2024,instant_all_r12,chasing_after_break,1,1,0,100.0,61.1,,61.1,1.199,0.0,0.0,0
2024,instant_all_r12,clean_nested_nwave_entry,14,7,7,50.0,76.8,1.221,5.49,0.099,196.76,1.94,4
2024,instant_all_r12,neckline_break_initial,23,13,10,56.52,283.53,1.569,12.33,0.247,190.5,1.82,4
2024,instant_all_r12,neckline_break_late,40,12,28,30.0,-675.39,0.515,-16.88,-0.346,724.19,7.21,9
2025,context_router_v2_all_r12,strong_breakout_clean_context,11,6,5,54.55,98.23,1.417,8.93,0.2,138.19,1.36,3
2025,context_router_v2_all_r12,weak_breakout_clean_context,25,10,15,40.0,-351.26,0.609,-14.05,-0.255,364.72,3.65,3
2025,context_router_v3_all_r12,strong_breakout_clean_context,11,6,5,54.55,98.23,1.417,8.93,0.2,138.19,1.36,3
2025,context_router_v3_all_r12,weak_breakout_clean_context,24,10,14,41.67,-143.26,0.797,-5.97,-0.096,252.73,2.53,3
2025,instant_all_r12,chasing_after_break,2,1,1,50.0,11.58,1.242,5.79,0.114,47.94,0.48,1
2025,instant_all_r12,clean_nested_nwave_entry,12,4,8,33.33,-310.59,0.427,-25.88,-0.539,425.69,4.23,4
2025,instant_all_r12,neckline_break_initial,26,11,15,42.31,-145.2,0.803,-5.58,-0.072,444.09,4.38,7
2025,instant_all_r12,neckline_break_late,52,29,23,55.77,497.66,1.442,9.57,0.228,334.94,3.33,4
2026YTD,context_router_v2_all_r12,strong_breakout_clean_context,6,3,3,50.0,7.09,1.048,1.18,0.098,146.33,1.46,3
2026YTD,context_router_v2_all_r12,weak_breakout_clean_context,6,3,3,50.0,27.67,1.225,4.61,0.078,86.08,0.85,2
2026YTD,context_router_v3_all_r12,strong_breakout_clean_context,5,2,3,40.0,-44.47,0.696,-8.89,-0.123,146.33,1.46,3
2026YTD,context_router_v3_all_r12,weak_breakout_clean_context,6,3,3,50.0,27.67,1.225,4.61,0.078,86.08,0.85,2
2026YTD,instant_all_r12,chasing_after_break,2,1,1,50.0,7.68,1.153,3.84,0.092,50.32,0.5,1
2026YTD,instant_all_r12,clean_nested_nwave_entry,6,3,3,50.0,22.07,1.162,3.68,0.084,51.15,0.51,1
2026YTD,instant_all_r12,neckline_break_initial,5,1,4,20.0,-163.77,0.211,-32.75,-0.566,163.77,1.64,3
2026YTD,instant_all_r12,neckline_break_late,23,11,12,47.83,58.66,1.101,2.55,0.047,381.83,3.72,5
