variant,reward_r,direction,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_candle_reversal_only,1.5,LONG,59,59,26,33,44.07,218.52,1.14,3.7,0.102,372.52,3.52,44.07,55.93,0,0,0,0,0.926,1.148,10607616949.153,15911425423.729,0.096
v4_candle_reversal_only,1.5,SHORT,64,64,32,32,50.0,1273.73,1.818,19.9,0.25,349.92,3.37,50.0,50.0,0,0,0,0,0.711,1.145,22060234218.75,33090351328.125,0.138
v4_micro_break_only,1.2,LONG,36,36,20,16,55.56,395.89,1.557,11.0,0.222,135.24,1.3,55.56,44.44,1,0,0,0,0.756,1.043,10199349166.667,12239219000.0,0.077
v4_micro_break_only,1.2,SHORT,32,32,16,16,50.0,63.43,1.075,1.98,0.1,205.38,2.02,50.0,46.88,0,0,0,0,0.786,1.003,20102975000.0,24123570000.0,0.131
v4_micro_break_only,1.3,LONG,36,36,19,17,52.78,373.42,1.491,10.37,0.214,135.24,1.31,52.78,47.22,0,0,0,0,0.784,1.153,10199349166.667,13259153916.667,0.077
v4_micro_break_only,1.3,SHORT,32,32,14,18,43.75,-35.77,0.961,-1.12,0.006,233.26,2.29,43.75,53.12,0,0,0,0,0.827,1.04,20102975000.0,26133867500.0,0.131
v4_micro_break_only,1.5,LONG,36,36,16,20,44.44,205.5,1.229,5.71,0.111,251.64,2.43,44.44,55.56,0,0,0,0,0.84,1.21,10199349166.667,15299023750.0,0.077
v4_micro_break_only,1.5,SHORT,32,32,14,18,43.75,100.09,1.109,3.13,0.094,205.38,2.0,43.75,53.12,0,0,0,0,0.827,1.071,20102975000.0,30154462500.0,0.131
v4_micro_or_candle,1.2,LONG,71,71,37,34,52.11,442.78,1.273,6.24,0.146,405.88,3.79,52.11,47.89,0,0,0,0,0.834,1.042,10331233380.282,12397480056.338,0.092
v4_micro_or_candle,1.2,SHORT,71,71,42,29,59.15,1443.0,2.024,20.32,0.301,340.11,3.25,59.15,40.85,0,0,0,0,0.666,1.023,21007290845.07,25208749014.085,0.148
