feature,bucket,2025_10_removed_winners_count,2025_10_removed_winners_share_pct,2026_q1_avoided_losers_count,2026_q1_avoided_losers_share_pct,share_delta_winners_minus_losers
context_quality_v0,clean_context_v0,1,9.09,16,19.51,-10.42
context_quality_v0,mixed_context_v0,2,18.18,21,25.61,-7.43
context_quality_v0,poor_context_v0,8,72.73,45,54.88,17.85
h4_fib_bucket,38-42_shallow_edge,3,27.27,16,19.51,7.76
h4_fib_bucket,42-50_mid,1,9.09,23,28.05,-18.96
h4_fib_bucket,50-58_mid,2,18.18,22,26.83,-8.65
h4_fib_bucket,58-62_deep_edge,5,45.45,21,25.61,19.84
sl_atr_bucket,1.0-1.5,5,45.45,21,25.61,19.84
sl_atr_bucket,1.5-2.0,2,18.18,36,43.9,-25.72
sl_atr_bucket,2.0+_wide,3,27.27,22,26.83,0.44
sl_atr_bucket,<1.0_tight,1,9.09,3,3.66,5.43
neckline_touch_bucket,1-4_fresh,0,0.0,18,21.95,-21.95
neckline_touch_bucket,13+_stale,2,18.18,12,14.63,3.55
neckline_touch_bucket,5-8_moderate,5,45.45,26,31.71,13.75
neckline_touch_bucket,9-12_tested,4,36.36,26,31.71,4.66
close_strength_bucket,0.35-0.60_mixed_close,2,18.18,16,19.51,-1.33
close_strength_bucket,0.60+_strong_close,5,45.45,37,45.12,0.33
close_strength_bucket,<0.35_weak_close,4,36.36,29,35.37,1.0
close_distance_bucket,0.20-0.40_normal,1,9.09,18,21.95,-12.86
close_distance_bucket,0.40-0.80_extended,2,18.18,18,21.95,-3.77
close_distance_bucket,0.80+_far,1,9.09,9,10.98,-1.88
close_distance_bucket,<0.20_shallow_break,7,63.64,37,45.12,18.51
body_atr_bucket,0.25-0.60_normal,2,18.18,32,39.02,-20.84
body_atr_bucket,0.60-1.00_large,2,18.18,13,15.85,2.33
body_atr_bucket,1.00+_overextended,0,0.0,9,10.98,-10.98
body_atr_bucket,<0.25_small_body,7,63.64,28,34.15,29.49
body_ratio_bucket,0.30-0.60_mixed,2,18.18,30,36.59,-18.4
body_ratio_bucket,0.60+_body,3,27.27,25,30.49,-3.22
body_ratio_bucket,<0.30_wicky,6,54.55,27,32.93,21.62
directional_wick_bucket,0.20-0.45_mixed_wick,4,36.36,24,29.27,7.1
directional_wick_bucket,0.45+_large_wick,3,27.27,18,21.95,5.32
directional_wick_bucket,<0.20_clean_wick,4,36.36,40,48.78,-12.42
mfe_bucket,0.5-1R,0,0.0,21,25.61,-25.61
mfe_bucket,1-1.5R,0,0.0,13,15.85,-15.85
mfe_bucket,1.5-2R,0,0.0,17,20.73,-20.73
mfe_bucket,2R+,11,100.0,0,0.0,100.0
mfe_bucket,<0.5R,0,0.0,31,37.8,-37.8
mae_bucket,0.5-1R,5,45.45,0,0.0,45.45
mae_bucket,1-1.5R,0,0.0,67,81.71,-81.71
mae_bucket,1.5-2R,0,0.0,13,15.85,-15.85
mae_bucket,2R+,0,0.0,2,2.44,-2.44
mae_bucket,<0.5R,6,54.55,0,0.0,54.55
symbol,AUDJPY,2,18.18,7,8.54,9.65
symbol,EURJPY,2,18.18,9,10.98,7.21
symbol,EURUSD,1,9.09,7,8.54,0.55
symbol,GBPJPY,0,0.0,4,4.88,-4.88
symbol,GBPUSD,0,0.0,18,21.95,-21.95
symbol,USDJPY,2,18.18,16,19.51,-1.33
symbol,XAUUSD,4,36.36,21,25.61,10.75
direction,LONG,5,45.45,39,47.56,-2.11
direction,SHORT,6,54.55,43,52.44,2.11
fx_bucket,FX,7,63.64,61,74.39,-10.75
fx_bucket,XAUUSD,4,36.36,21,25.61,10.75
session,server_00_07,4,36.36,16,19.51,16.85
session,server_08_15,5,45.45,32,39.02,6.43
session,server_16_23,2,18.18,34,41.46,-23.28
breakout_quality_reason,large_directional_wick,0,0.0,1,1.22,-1.22
breakout_quality_reason,large_directional_wick|sl_too_wide_for_router,0,0.0,2,2.44,-2.44
breakout_quality_reason,route_to_retest_confirmation,4,36.36,25,30.49,5.88
breakout_quality_reason,shallow_close_distance,1,9.09,8,9.76,-0.67
breakout_quality_reason,shallow_close_distance|large_directional_wick,0,0.0,1,1.22,-1.22
breakout_quality_reason,shallow_close_distance|sl_too_wide_for_router,1,9.09,2,2.44,6.65
breakout_quality_reason,shallow_close_distance|sl_too_wide_for_router|entry_far_from_neckline,0,0.0,1,1.22,-1.22
breakout_quality_reason,shallow_close_distance|weak_directional_close,0,0.0,3,3.66,-3.66
breakout_quality_reason,shallow_close_distance|weak_directional_close|large_directional_wick,2,18.18,3,3.66,14.52
breakout_quality_reason,sl_too_wide_for_router,1,9.09,7,8.54,0.55
breakout_quality_reason,weak_directional_close,1,9.09,12,14.63,-5.54
breakout_quality_reason,weak_directional_close|large_directional_wick,0,0.0,8,9.76,-9.76
breakout_quality_reason,weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,9.09,3,3.66,5.43
breakout_quality_reason,weak_directional_close|sl_too_wide_for_router,0,0.0,5,6.1,-6.1
breakout_quality_reason,weak_directional_close|sl_too_wide_for_router|entry_far_from_neckline,0,0.0,1,1.22,-1.22
