period,run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2025,A,ThirdWave_BOTH,0.75-1.00,6,2,4,33.33,-67.04,144.81,-211.85,0.684,-11.17,72.41,-52.96
2025,A,ThirdWave_BOTH,1.00-1.25,12,2,10,16.67,-332.65,136.2,-468.85,0.29,-27.72,68.1,-46.88
2025,A,ThirdWave_BOTH,1.25-1.50,12,8,4,66.67,386.02,571.59,-185.57,3.08,32.17,71.45,-46.39
2025,A,ThirdWave_BOTH,1.50-2.00,49,16,33,32.65,-440.91,1079.53,-1520.44,0.71,-9.0,67.47,-46.07
2025,A,ThirdWave_BOTH,2.00+,370,149,221,40.27,-155.6,9922.7,-10078.3,0.985,-0.42,66.6,-45.6
2025,A,ThirdWave_BOTH,<0.75,2,2,0,100.0,145.77,145.77,0.0,,72.88,72.88,0.0
2025,B,ThirdWave_LONG_ONLY,0.75-1.00,5,1,4,20.0,-137.35,70.5,-207.85,0.339,-27.47,70.5,-51.96
2025,B,ThirdWave_LONG_ONLY,1.00-1.25,4,2,2,50.0,34.35,129.42,-95.07,1.361,8.59,64.71,-47.53
2025,B,ThirdWave_LONG_ONLY,1.25-1.50,7,6,1,85.71,374.48,421.84,-47.36,8.907,53.5,70.31,-47.36
2025,B,ThirdWave_LONG_ONLY,1.50-2.00,27,9,18,33.33,-233.91,558.28,-792.19,0.705,-8.66,62.03,-44.01
2025,B,ThirdWave_LONG_ONLY,2.00+,227,82,145,36.12,-1478.93,5000.12,-6479.05,0.772,-6.52,60.98,-44.68
2025,B,ThirdWave_LONG_ONLY,<0.75,1,1,0,100.0,76.8,76.8,0.0,,76.8,76.8,0.0
2025,C,ThirdWave_SHORT_ONLY,0.75-1.00,1,1,0,100.0,77.17,77.17,0.0,,77.17,77.17,0.0
2025,C,ThirdWave_SHORT_ONLY,1.00-1.25,8,0,8,0.0,-381.78,0.0,-381.78,0.0,-47.72,0.0,-47.72
2025,C,ThirdWave_SHORT_ONLY,1.25-1.50,7,4,3,57.14,148.32,296.44,-148.12,2.001,21.19,74.11,-49.37
2025,C,ThirdWave_SHORT_ONLY,1.50-2.00,26,8,18,30.77,-295.38,581.2,-876.58,0.663,-11.36,72.65,-48.7
2025,C,ThirdWave_SHORT_ONLY,2.00+,165,71,94,43.03,623.35,4998.16,-4374.81,1.142,3.78,70.4,-46.54
2025,C,ThirdWave_SHORT_ONLY,<0.75,1,1,0,100.0,75.02,75.02,0.0,,75.02,75.02,0.0
