time,event,symbol,direction,entry_price,sl,tp,mid_tf_structure_sl,lower_tf_reversal_sl,mid_tf_structure_sl_atr,lower_tf_reversal_sl_atr,lower_tf_reversal_sl_status,result_R,profit,regime,session,scan_interval,entry_selection_mode,v4_signal_mode,v4_signal_mode_pass,v4_signal_mode_blocked,higher_tf,higher_swing_low_1,higher_swing_high_1,higher_swing_low_2,higher_swing_high_2,higher_structure_state,higher_trend_age_bars,higher_ema_slope,higher_atr,mid_tf,impulse_start_price,impulse_end_price,pullback_extreme_price,pullback_depth_pct,pullback_depth_atr,pullback_bars,pullback_broke_origin,pullback_structure_low_or_high,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,wave_audit_label,wave_audit_reason,strategy_name
2025.08.01 01:04:59,final_entry_candidate,XAUUSD,SHORT,3291.52,3295.01,3286.29,3295.01,3292.26,2.39,0.51,sl_too_tight,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,9,-2.94,8.58,PERIOD_M15,3311.11,3289.67,3294.83,24.07,2.08,5,false,3294.83,2.26,15.44,PERIOD_M5,3290.72,3290.25,1,0.87,127.0,unclear,75.00,2.39,3.49,1.50,0.1231,,,true,,true,,0.00,false,1.05,1,1.13,unclear,,0,1,0.87,15.44,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 01:04:59,order_attempt,XAUUSD,SHORT,3291.52,3295.01,3286.29,3295.01,3292.26,2.39,0.51,sl_too_tight,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,9,-2.94,8.58,PERIOD_M15,3311.11,3289.67,3294.83,24.07,2.08,5,false,3294.83,2.26,15.44,PERIOD_M5,3290.72,3290.25,1,0.87,127.0,unclear,75.00,2.39,3.49,1.50,0.1231,,,true,,true,,0.00,false,1.05,1,1.13,unclear,,0,1,0.87,15.44,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 01:04:59,order_sent,XAUUSD,SHORT,3291.52,3295.01,3286.29,3295.01,3292.26,2.39,0.51,sl_too_tight,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,9,-2.94,8.58,PERIOD_M15,3311.11,3289.67,3294.83,24.07,2.08,5,false,3294.83,2.26,15.44,PERIOD_M5,3290.72,3290.25,1,0.87,127.0,unclear,75.00,2.39,3.49,1.50,0.1231,,,true,,true,,0.00,false,1.05,1,1.13,unclear,,0,1,0.87,15.44,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 02:14:59,final_entry_candidate,XAUUSD,SHORT,3290.59,3295.02,3283.95,3295.02,3295.29,3.02,3.20,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,10,-3.04,8.17,PERIOD_M15,3311.11,3289.67,3294.83,24.07,2.08,9,false,3294.83,2.89,19.78,PERIOD_M5,3292.79,3292.32,1,1.18,173.0,late,75.00,3.02,4.43,1.50,0.1294,,,true,,true,,35.00,false,1.62,2,0.97,unclear,,0,1,1.18,19.78,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 02:14:59,order_attempt,XAUUSD,SHORT,3290.59,3295.02,3283.95,3295.02,3295.29,3.02,3.20,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,10,-3.04,8.17,PERIOD_M15,3311.11,3289.67,3294.83,24.07,2.08,9,false,3294.83,2.89,19.78,PERIOD_M5,3292.79,3292.32,1,1.18,173.0,late,75.00,3.02,4.43,1.50,0.1294,,,true,,true,,35.00,false,1.62,2,0.97,unclear,,0,1,1.18,19.78,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 02:14:59,order_sent,XAUUSD,SHORT,3290.59,3295.02,3283.95,3295.02,3295.29,3.02,3.20,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,10,-3.04,8.17,PERIOD_M15,3311.11,3289.67,3294.83,24.07,2.08,9,false,3294.83,2.89,19.78,PERIOD_M5,3292.79,3292.32,1,1.18,173.0,late,75.00,3.02,4.43,1.50,0.1294,,,true,,true,,35.00,false,1.62,2,0.97,unclear,,0,1,1.18,19.78,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 02:24:59,final_entry_candidate,XAUUSD,SHORT,3290.44,3295.01,3283.59,3295.01,3295.28,3.35,3.55,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,10,-3.04,8.17,PERIOD_M15,3311.11,3289.67,3294.83,24.07,1.94,10,false,3294.83,3.22,20.48,PERIOD_M5,3292.79,3288.92,1,1.11,152.0,late,100.00,3.35,4.57,1.50,0.1320,,,true,,true,,70.00,true,2.85,4,1.19,unclear,,0,1,1.11,20.48,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 02:24:59,order_blocked,XAUUSD,SHORT,3290.44,3295.01,3283.59,3295.01,3295.28,3.35,3.55,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,10,-3.04,8.17,PERIOD_M15,3311.11,3289.67,3294.83,24.07,1.94,10,false,3294.83,3.22,20.48,PERIOD_M5,3292.79,3288.92,1,1.11,152.0,late,100.00,3.35,4.57,1.50,0.1320,,existing_position,true,,true,,70.00,true,2.85,4,1.19,unclear,,0,1,1.11,20.48,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 02:29:59,execution_block_candidate,USDJPY,LONG,150.741,150.629,150.909,150.629,150.617,1.81,2.01,valid,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,149.806,150.832,148.674,149.520,HH_HL,11,0.225,0.222,PERIOD_M15,149.806,150.832,150.645,18.23,2.37,6,false,150.645,1.56,9.36,PERIOD_M5,150.755,150.823,1,1.33,82.0,late,75.00,1.81,0.112,1.50,0.2593,,spread_guard,true,,true,,70.00,true,2.77,3,2.17,unclear,,0,1,1.33,9.36,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
2025.08.01 04:39:59,final_entry_candidate,XAUUSD,SHORT,3288.16,3294.02,3279.37,3294.02,3293.35,2.60,2.31,valid,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,3289.67,3311.11,3293.81,3314.79,LL_LH,12,-3.36,7.82,PERIOD_M15,3311.11,3289.67,3293.83,19.40,1.23,4,false,3293.83,2.52,26.45,PERIOD_M5,3289.60,3288.71,1,0.24,55.0,early,100.00,2.60,5.86,1.50,0.0844,,,true,,true,,20.00,false,1.01,1,0.24,unclear,,0,1,0.24,26.45,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime
