period,scenario,session,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_00_07,2,1,1,50.0,50.11,2.056,25.05,0.0,47.47,0.47,-47.47,97.58,0,50.11,1.666,0.595,50.0,50.0,50.0,50.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_08_15,4,1,3,25.0,-50.86,0.657,-12.71,0.0,99.42,0.99,-50.86,0,-98.13,47.27,1.382,0.936,75.0,75.0,25.0,50.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_16_23,7,2,5,28.57,-70.67,0.719,-10.1,0.0,147.27,1.47,-110.65,39.98,-65.51,-5.16,0.919,1.124,42.86,28.57,28.57,71.43
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_00_07,2,1,1,50.0,50.11,2.056,25.05,0.0,47.47,0.47,-47.47,97.58,0,50.11,1.666,0.595,50.0,50.0,50.0,50.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_08_15,4,1,3,25.0,-50.86,0.657,-12.71,0.0,99.42,0.99,-50.86,0,-98.13,47.27,1.382,0.936,75.0,75.0,25.0,50.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_16_23,6,1,5,16.67,-166.19,0.339,-27.7,0.0,201.94,2.01,-206.17,39.98,-65.51,-100.68,0.705,1.239,33.33,16.67,16.67,83.33
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_00_07,1,0,1,0.0,-47.83,0.0,-47.83,0.0,47.83,0.48,-47.83,0,0,-47.83,0.249,0.924,0.0,0.0,0.0,0.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_08_15,1,0,1,0.0,-50.34,0.0,-50.34,0.0,50.34,0.5,-50.34,0,0,-50.34,0.059,1.062,0.0,0.0,0.0,100.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_16_23,3,1,2,33.33,-12.08,0.879,-4.03,0.0,50.82,0.51,-100.12,88.04,37.22,-49.3,0.944,1.297,66.67,33.33,33.33,66.67
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,server_00_07,1,0,1,0.0,-47.83,0.0,-47.83,0.0,47.83,0.48,-47.83,0,0,-47.83,0.249,0.924,0.0,0.0,0.0,0.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,server_08_15,1,0,1,0.0,-50.34,0.0,-50.34,0.0,50.34,0.5,-50.34,0,0,-50.34,0.059,1.062,0.0,0.0,0.0,100.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,server_16_23,3,1,2,33.33,-12.08,0.879,-4.03,0.0,50.82,0.51,-100.12,88.04,37.22,-49.3,0.944,1.297,66.67,33.33,33.33,66.67
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_16_23,2,1,1,50.0,27.14,1.514,13.57,0.0,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_16_23,2,1,1,50.0,27.14,1.514,13.57,0.0,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_16_23,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,server_16_23,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_00_07,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_08_15,2,1,1,50.0,51.47,2.042,25.74,0.0,49.4,0.49,100.87,-49.4,0,51.47,1.823,1.273,100.0,100.0,50.0,50.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_16_23,2,2,0,100.0,162.5,,81.25,0.0,0.0,0.0,98.56,63.94,63.94,98.56,2.318,0.419,100.0,100.0,100.0,0.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_00_07,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_08_15,1,0,1,0.0,-49.4,0.0,-49.4,0.0,49.4,0.49,0,-49.4,0,-49.4,1.412,1.932,100.0,100.0,0.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_16_23,2,2,0,100.0,162.5,,81.25,0.0,0.0,0.0,98.56,63.94,63.94,98.56,2.318,0.419,100.0,100.0,100.0,0.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,server_00_07,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,server_00_07,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_00_07,3,1,2,33.33,-22.97,0.811,-7.66,0.0,121.52,1.2,47.79,-70.76,27.79,-50.76,1.442,1.068,66.67,66.67,66.67,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_08_15,12,2,10,16.67,-272.47,0.366,-22.71,0.0,372.41,3.69,-138.56,-133.91,-225.61,-46.86,1.029,1.268,66.67,50.0,16.67,83.33
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,server_16_23,12,1,11,8.33,-421.24,0.187,-35.1,0.0,421.24,4.21,-382.89,-38.35,-318.84,-102.4,1.058,1.185,66.67,50.0,8.33,50.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_00_07,2,1,1,50.0,27.79,1.393,13.89,0.0,70.76,0.7,98.55,-70.76,27.79,0,1.129,1.156,50.0,50.0,50.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_08_15,12,2,10,16.67,-272.47,0.366,-22.71,0.0,372.41,3.69,-138.56,-133.91,-225.61,-46.86,1.029,1.268,66.67,50.0,16.67,83.33
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,server_16_23,11,0,11,0.0,-518.4,0.0,-47.13,0.0,518.4,5.18,-480.05,-38.35,-317.52,-200.88,0.979,1.233,63.64,45.45,0.0,54.55
