scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,periods_count,symbols_count,period_distribution,symbol_distribution,direction_distribution
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,AUDJPY,3,100.0,,1.607,226.44,0.0,0.0,1.89,0.524,100.0,66.67,226.44,0,137.26,89.18,2,1,2025-10:1;2026-Q1:2,AUDJPY:3,LONG:2;SHORT:1
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,EURJPY,4,75.0,5.935,1.251,239.74,48.58,0.48,1.862,0.663,75.0,75.0,239.74,0,143.51,96.23,3,1,2025-02:1;2025-10:1;2026-Q1:2,EURJPY:4,LONG:3;SHORT:1
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,EURUSD,5,60.0,2.996,0.803,197.86,52.97,0.52,1.771,0.742,80.0,60.0,197.86,0,-52.97,250.83,2,1,2025-02:1;2026-Q1:4,EURUSD:5,LONG:1;SHORT:4
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,GBPJPY,1,0.0,0.0,-1.0,-48.27,48.27,0.48,0.963,0.925,0.0,0.0,-48.27,0,0,-48.27,1,1,2026-Q1:1,GBPJPY:1,SHORT:1
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,GBPUSD,6,0.0,0.0,-1.009,-297.76,297.76,2.98,0.562,1.349,16.67,0.0,-297.76,0,-197.32,-100.44,3,1,2025-08:2;2025-10:1;2026-Q1:3,GBPUSD:6,LONG:4;SHORT:2
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,17,11.76,0.279,-0.609,-514.92,566.42,5.64,0.763,1.318,29.41,11.76,-514.92,0,-402.77,-112.15,3,1,2025-02:2;2025-08:6;2026-Q1:9,USDJPY:17,LONG:8;SHORT:9
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,11,63.64,3.288,0.91,436.47,95.41,0.91,1.805,0.969,72.73,63.64,0,436.47,15.88,420.59,4,1,2025-02:1;2025-08:4;2025-10:2;2026-Q1:4,XAUUSD:11,LONG:2;SHORT:9
Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,USDJPY,3,33.33,1.002,-0.015,0.23,99.87,0.99,1.256,1.499,33.33,33.33,0.23,0,-99.87,100.1,2,1,2025-02:1;2026-Q1:2,USDJPY:3,LONG:2;SHORT:1
Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,XAUUSD,2,100.0,,2.002,186.29,0.0,0.0,2.066,0.433,100.0,100.0,0,186.29,0,186.29,2,1,2025-08:1;2026-Q1:1,XAUUSD:2,SHORT:2
Nested_Fixed_H4MA_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,EURJPY,1,100.0,,2.0,100.81,0.0,0.0,2.701,0.501,100.0,100.0,100.81,0,100.81,0,1,1,2026-Q1:1,EURJPY:1,LONG:1
Nested_Fixed_H4MA_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,EURUSD,1,100.0,,2.016,97.66,0.0,0.0,2.122,0.329,100.0,100.0,97.66,0,0,97.66,1,1,2026-Q1:1,EURUSD:1,SHORT:1
Nested_Fixed_H4MA_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,USDJPY,1,100.0,,2.002,97.39,0.0,0.0,2.128,0.316,100.0,100.0,97.39,0,0,97.39,1,1,2026-Q1:1,USDJPY:1,SHORT:1
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,AUDJPY,1,100.0,,2.0,97.01,0.0,0.0,2.307,0.914,100.0,100.0,97.01,0,97.01,0,1,1,2026-Q1:1,AUDJPY:1,LONG:1
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,EURJPY,2,100.0,,2.004,192.37,0.0,0.0,2.516,0.611,100.0,100.0,192.37,0,96.14,96.23,2,1,2025-02:1;2026-Q1:1,EURJPY:2,LONG:1;SHORT:1
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,EURUSD,1,100.0,,2.016,97.66,0.0,0.0,2.122,0.329,100.0,100.0,97.66,0,0,97.66,1,1,2026-Q1:1,EURUSD:1,SHORT:1
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,GBPUSD,3,0.0,0.0,-1.016,-149.27,149.27,1.49,0.599,1.593,33.33,0.0,-149.27,0,-98.51,-50.76,1,1,2026-Q1:3,GBPUSD:3,LONG:2;SHORT:1
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,USDJPY,6,33.33,0.992,-0.003,-1.58,199.07,1.95,1.032,1.076,33.33,33.33,-1.58,0,-49.34,47.76,2,1,2025-02:1;2026-Q1:5,USDJPY:6,LONG:1;SHORT:5
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,XAUUSD,2,100.0,,2.005,176.4,0.0,0.0,3.066,0.4,100.0,100.0,0,176.4,0,176.4,2,1,2025-08:1;2025-10:1,XAUUSD:2,SHORT:2
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,AUDJPY,1,100.0,,2.0,97.01,0.0,0.0,2.307,0.914,100.0,100.0,97.01,0,97.01,0,1,1,2026-Q1:1,AUDJPY:1,LONG:1
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,EURJPY,3,100.0,,2.003,294.27,0.0,0.0,2.476,0.532,100.0,100.0,294.27,0,198.04,96.23,2,1,2025-02:1;2026-Q1:2,EURJPY:3,LONG:2;SHORT:1
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,EURUSD,1,100.0,,2.016,97.66,0.0,0.0,2.122,0.329,100.0,100.0,97.66,0,0,97.66,1,1,2026-Q1:1,EURUSD:1,SHORT:1
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,GBPJPY,1,0.0,0.0,-1.0,-48.23,48.23,0.48,0.963,0.925,0.0,0.0,-48.23,0,0,-48.23,1,1,2026-Q1:1,GBPJPY:1,SHORT:1
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,GBPUSD,4,0.0,0.0,-1.013,-200.25,200.25,2.0,0.612,1.488,25.0,0.0,-200.25,0,-148.41,-51.84,2,1,2025-10:1;2026-Q1:3,GBPUSD:4,LONG:3;SHORT:1
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,USDJPY,8,25.0,0.655,-0.256,-104.23,204.33,2.02,0.927,1.258,25.0,25.0,-104.23,0,-151.34,47.11,3,1,2025-02:1;2025-08:1;2026-Q1:6,USDJPY:8,LONG:3;SHORT:5
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,XAUUSD,6,66.67,3.805,0.995,267.36,47.84,0.48,1.944,0.829,83.33,66.67,0,267.36,0,267.36,4,1,2025-02:1;2025-08:2;2025-10:2;2026-Q1:1,XAUUSD:6,SHORT:6
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,EURJPY,1,0.0,0.0,-1.003,-47.83,47.83,0.48,0.249,1.12,0.0,0.0,-47.83,0,0,-47.83,1,1,2025-02:1,EURJPY:1,SHORT:1
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,GBPUSD,1,100.0,,2.021,93.46,0.0,0.0,2.648,0.837,100.0,100.0,93.46,0,0,93.46,1,1,2026-Q1:1,GBPUSD:1,SHORT:1
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,USDJPY,3,0.0,0.0,-1.012,-149.83,149.83,1.5,0.888,1.356,33.33,0.0,-149.83,0,-48.66,-101.17,1,1,2026-Q1:3,USDJPY:3,LONG:1;SHORT:2
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,XAUUSD,4,50.0,2.295,0.499,108.07,83.47,0.82,2.238,0.968,75.0,50.0,0,108.07,55.65,52.42,3,1,2025-02:1;2025-10:1;2026-Q1:2,XAUUSD:4,LONG:2;SHORT:2
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,AUDJPY,1,100.0,,2.025,95.86,0.0,0.0,3.454,0.476,100.0,100.0,95.86,0,0,95.86,1,1,2025-02:1,AUDJPY:1,SHORT:1
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,EURJPY,1,0.0,0.0,-1.003,-50.1,50.1,0.5,0.249,1.12,0.0,0.0,-50.1,0,0,-50.1,1,1,2025-02:1,EURJPY:1,SHORT:1
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,GBPUSD,2,100.0,,2.01,196.09,0.0,0.0,2.365,0.535,100.0,100.0,196.09,0,97.96,98.13,1,1,2026-Q1:2,GBPUSD:2,LONG:1;SHORT:1
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,USDJPY,4,0.0,0.0,-1.009,-202.8,202.8,2.03,1.029,1.308,50.0,0.0,-202.8,0,-49.07,-153.73,2,1,2025-02:1;2026-Q1:3,USDJPY:4,LONG:1;SHORT:3
