period,context,scenario,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,max_drawdown,max_drawdown_pct,avg_R,elapsed_seconds,raw_wave_audit_rows,third_wave_initial_trades,third_wave_middle_trades,late_entry_trades,chasing_entry_trades,invalid_structure_trades,range_noise_trades,unclear_trades
2025-02,2025 losing-period sample,ThirdWave_regime_BOTH_all_5m_wave_audit,16,10,6,62.5,373.68,2.293,23.36,102.46,0.99,0.502,62.9,247,0,1,0,15,0,0,0
2025-08,2025 comparison sample,ThirdWave_regime_BOTH_all_5m_wave_audit,13,5,8,38.46,-40.11,0.899,-3.09,247.81,2.45,-0.032,73.0,187,0,1,0,11,0,0,1
2025-10,2025 comparison sample,ThirdWave_regime_BOTH_all_5m_wave_audit,20,11,9,55.0,345.18,1.823,17.26,176.76,1.75,0.378,73.1,278,0,0,1,19,0,0,0
2026-Q1,2026YTD positive-period sample,ThirdWave_regime_BOTH_all_5m_wave_audit,60,27,33,45.0,610.21,1.402,10.17,278.5,2.65,0.154,174.9,852,1,3,1,55,0,0,0
