period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,0.05-0.10,70,28,42,40.0,-109.56,1800.17,-1909.73,0.943,-1.57,64.29,-45.47
2024,ThirdWave_original_BOTH,0.10-0.15,141,53,88,37.59,-485.74,3606.32,-4092.06,0.881,-3.44,68.04,-46.5
2024,ThirdWave_original_BOTH,0.15-0.20,139,55,84,39.57,-91.23,3944.5,-4035.73,0.977,-0.66,71.72,-48.04
2024,ThirdWave_original_BOTH,<0.05,5,0,5,0.0,-227.51,0.0,-227.51,0.0,-45.5,0.0,-45.5
2024,ThirdWave_regime_BOTH,0.05-0.10,35,18,17,51.43,410.78,1259.18,-848.4,1.484,11.74,69.95,-49.91
2024,ThirdWave_regime_BOTH,0.10-0.15,65,33,32,50.77,825.6,2485.26,-1659.66,1.497,12.7,75.31,-51.86
2024,ThirdWave_regime_BOTH,0.15-0.20,58,20,38,34.48,-360.62,1627.66,-1988.28,0.819,-6.22,81.38,-52.32
2024,ThirdWave_regime_BOTH,<0.05,1,0,1,0.0,-43.35,0.0,-43.35,0.0,-43.35,0.0,-43.35
2024,ThirdWave_regime_LONG_ONLY,0.05-0.10,24,13,11,54.17,290.28,868.75,-578.47,1.502,12.1,66.83,-52.59
2024,ThirdWave_regime_LONG_ONLY,0.10-0.15,38,19,19,50.0,384.64,1357.76,-973.12,1.395,10.12,71.46,-51.22
2024,ThirdWave_regime_LONG_ONLY,0.15-0.20,37,14,23,37.84,-35.74,1161.31,-1197.05,0.97,-0.97,82.95,-52.05
2024,ThirdWave_regime_LONG_ONLY,<0.05,1,0,1,0.0,-43.35,0.0,-43.35,0.0,-43.35,0.0,-43.35
2024,ThirdWave_regime_SHORT_ONLY,0.05-0.10,12,6,6,50.0,149.83,425.85,-276.02,1.543,12.49,70.97,-46.0
2024,ThirdWave_regime_SHORT_ONLY,0.10-0.15,28,14,14,50.0,376.58,1051.05,-674.47,1.558,13.45,75.08,-48.18
2024,ThirdWave_regime_SHORT_ONLY,0.15-0.20,25,8,17,32.0,-268.48,581.91,-850.39,0.684,-10.74,72.74,-50.02
2025,ThirdWave_original_BOTH,0.05-0.10,179,67,112,37.43,-618.14,4438.62,-5056.76,0.878,-3.45,66.25,-45.15
2025,ThirdWave_original_BOTH,0.10-0.15,98,34,64,34.69,-697.38,2412.98,-3110.36,0.776,-7.12,70.97,-48.6
2025,ThirdWave_original_BOTH,0.15-0.20,88,38,50,43.18,334.88,2785.29,-2450.41,1.137,3.81,73.3,-49.01
2025,ThirdWave_original_BOTH,<0.05,86,40,46,46.51,516.23,2363.71,-1847.48,1.279,6.0,59.09,-40.16
2025,ThirdWave_regime_BOTH,0.05-0.10,98,34,64,34.69,-713.7,2254.98,-2968.68,0.76,-7.28,66.32,-46.39
2025,ThirdWave_regime_BOTH,0.10-0.15,47,18,29,38.3,-112.26,1279.32,-1391.58,0.919,-2.39,71.07,-47.99
2025,ThirdWave_regime_BOTH,0.15-0.20,55,20,35,36.36,-188.19,1537.68,-1725.87,0.891,-3.42,76.88,-49.31
2025,ThirdWave_regime_BOTH,<0.05,47,23,24,48.94,447.13,1432.56,-985.43,1.454,9.51,62.29,-41.06
2025,ThirdWave_regime_LONG_ONLY,0.05-0.10,65,25,40,38.46,-284.7,1588.09,-1872.79,0.848,-4.38,63.52,-46.82
2025,ThirdWave_regime_LONG_ONLY,0.10-0.15,28,9,19,32.14,-275.98,624.76,-900.74,0.694,-9.86,69.42,-47.41
2025,ThirdWave_regime_LONG_ONLY,0.15-0.20,33,11,22,33.33,-333.14,753.13,-1086.27,0.693,-10.1,68.47,-49.38
2025,ThirdWave_regime_LONG_ONLY,<0.05,30,14,16,46.67,233.62,887.1,-653.48,1.358,7.79,63.36,-40.84
2025,ThirdWave_regime_SHORT_ONLY,0.05-0.10,39,11,28,28.21,-555.58,763.3,-1318.88,0.579,-14.25,69.39,-47.1
2025,ThirdWave_regime_SHORT_ONLY,0.10-0.15,23,10,13,43.48,110.36,735.12,-624.76,1.177,4.8,73.51,-48.06
2025,ThirdWave_regime_SHORT_ONLY,0.15-0.20,24,9,15,37.5,50.63,784.97,-734.34,1.069,2.11,87.22,-48.96
2025,ThirdWave_regime_SHORT_ONLY,<0.05,18,10,8,55.56,319.04,664.21,-345.17,1.924,17.72,66.42,-43.15
2026YTD,ThirdWave_original_BOTH,0.05-0.10,53,27,26,50.94,559.92,1869.01,-1309.09,1.428,10.56,69.22,-50.35
2026YTD,ThirdWave_original_BOTH,0.10-0.15,8,1,7,12.5,-287.13,71.69,-358.82,0.2,-35.89,71.69,-51.26
2026YTD,ThirdWave_original_BOTH,0.15-0.20,14,5,9,35.71,-68.55,397.64,-466.19,0.853,-4.9,79.53,-51.8
2026YTD,ThirdWave_original_BOTH,<0.05,114,49,65,42.98,651.87,3583.28,-2931.41,1.222,5.72,73.13,-45.1
2026YTD,ThirdWave_regime_BOTH,0.05-0.10,25,14,11,56.0,358.43,982.29,-623.86,1.575,14.34,70.16,-56.71
2026YTD,ThirdWave_regime_BOTH,0.10-0.15,4,1,3,25.0,-83.24,71.69,-154.93,0.463,-20.81,71.69,-51.64
2026YTD,ThirdWave_regime_BOTH,0.15-0.20,6,2,4,33.33,-42.97,161.84,-204.81,0.79,-7.16,80.92,-51.2
2026YTD,ThirdWave_regime_BOTH,<0.05,53,24,29,45.28,576.93,1879.37,-1302.44,1.443,10.89,78.31,-44.91
2026YTD,ThirdWave_regime_LONG_ONLY,0.05-0.10,11,6,5,54.55,92.22,399.85,-307.63,1.3,8.38,66.64,-61.53
2026YTD,ThirdWave_regime_LONG_ONLY,0.15-0.20,1,0,1,0.0,-49.77,0.0,-49.77,0.0,-49.77,0.0,-49.77
2026YTD,ThirdWave_regime_LONG_ONLY,<0.05,25,10,15,40.0,73.75,730.81,-657.06,1.112,2.95,73.08,-43.8
2026YTD,ThirdWave_regime_SHORT_ONLY,0.05-0.10,14,8,6,57.14,284.99,582.44,-297.45,1.958,20.36,72.81,-49.58
2026YTD,ThirdWave_regime_SHORT_ONLY,0.10-0.15,5,1,4,20.0,-127.38,71.69,-199.07,0.36,-25.48,71.69,-49.77
2026YTD,ThirdWave_regime_SHORT_ONLY,0.15-0.20,5,2,3,40.0,6.75,159.87,-153.12,1.044,1.35,79.94,-51.04
2026YTD,ThirdWave_regime_SHORT_ONLY,<0.05,28,14,14,50.0,510.57,1148.56,-637.99,1.8,18.23,82.04,-45.57
