scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,periods_count,symbols_count,period_distribution,symbol_distribution,direction_distribution
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,LONG,20,25.0,0.528,-0.315,-356.41,494.83,4.95,0.813,1.12,30.0,20.0,-372.29,15.88,-356.41,0,4,6,2025-02:1;2025-08:5;2025-10:3;2026-Q1:11,AUDJPY:2;EURJPY:3;EURUSD:1;GBPUSD:4;USDJPY:8;XAUUSD:2,LONG:20
Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,SHORT,27,48.15,1.925,0.472,595.97,238.11,2.24,1.588,1.023,66.67,48.15,175.38,420.59,0,595.97,4,7,2025-02:4;2025-08:7;2025-10:2;2026-Q1:14,AUDJPY:1;EURJPY:1;EURUSD:4;GBPJPY:1;GBPUSD:2;USDJPY:9;XAUUSD:9,SHORT:27
Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,LONG,2,0.0,0.0,-1.022,-99.87,99.87,1.0,0.666,1.681,0.0,0.0,-99.87,0,-99.87,0,1,1,2026-Q1:2,USDJPY:2,LONG:2
Nested_Fixed_H4Fib_Room2R_BOTH_all_H4_H1_M15_2R,SHORT,3,100.0,,2.001,286.39,0.0,0.0,2.189,0.666,100.0,100.0,100.1,186.29,0,286.39,3,2,2025-02:1;2025-08:1;2026-Q1:1,USDJPY:1;XAUUSD:2,SHORT:3
Nested_Fixed_H4MA_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,LONG,1,100.0,,2.0,100.81,0.0,0.0,2.701,0.501,100.0,100.0,100.81,0,100.81,0,1,1,2026-Q1:1,EURJPY:1,LONG:1
Nested_Fixed_H4MA_M15Close_Room2R_BOTH_all_H4_H1_M15_2R,SHORT,2,100.0,,2.009,195.05,0.0,0.0,2.125,0.323,100.0,100.0,195.05,0,0,195.05,1,2,2026-Q1:2,EURUSD:1;USDJPY:1,SHORT:2
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,LONG,5,40.0,1.306,0.192,45.3,98.51,0.99,1.129,1.122,40.0,40.0,45.3,0,45.3,0,1,4,2026-Q1:5,AUDJPY:1;EURJPY:1;GBPUSD:2;USDJPY:1,LONG:5
Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,SHORT,10,60.0,2.832,0.801,367.29,150.27,1.44,1.793,0.889,70.0,60.0,190.89,176.4,0,367.29,4,5,2025-02:2;2025-08:1;2025-10:1;2026-Q1:6,EURJPY:1;EURUSD:1;GBPUSD:1;USDJPY:5;XAUUSD:2,SHORT:10
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,LONG,9,33.33,0.984,-0.009,-4.7,250.41,2.5,1.102,1.195,33.33,33.33,-4.7,0,-4.7,0,3,4,2025-08:1;2025-10:1;2026-Q1:7,AUDJPY:1;EURJPY:2;GBPUSD:3;USDJPY:3,LONG:9
Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,SHORT,15,53.33,2.181,0.598,408.29,152.0,1.45,1.629,0.933,66.67,53.33,140.93,267.36,0,408.29,4,6,2025-02:3;2025-08:2;2025-10:2;2026-Q1:8,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5;XAUUSD:6,SHORT:15
