period,variant,scenario,signal_mode,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,elapsed_seconds,csv_bytes,fx_net,xauusd_net,xauusd_trade_share_pct,long_net,short_net,largest_direction_share_pct,chasing_entry_ratio_pct,third_wave_initial_ratio_pct,third_wave_middle_ratio_pct,good_label_ratio_pct
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,16,10,6,62.5,373.68,2.293,23.36,0.502,102.46,0.99,72.9,594415,102.97,270.71,81.25,237.09,136.59,62.5,93.75,0.0,6.25,6.25
2025-02,v4_all_signals,ThirdWave_v4_all_signals_BOTH_all_5m,V4_SIGNAL_ALL,27,13,14,48.15,278.18,1.422,10.3,0.226,199.11,1.95,62.9,847526,199.98,78.2,48.15,-26.73,304.91,59.26,85.19,3.7,0.0,3.7
2025-02,v4_micro_break_only,ThirdWave_v4_micro_break_only_BOTH_all_5m,V4_SIGNAL_MICRO_BREAK_ONLY,5,3,2,60.0,109.22,2.099,21.84,0.499,99.42,0.99,62.7,515323,0,109.22,100.0,-28.12,137.34,60.0,100.0,0.0,0.0,0.0
2025-02,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,15,7,8,46.67,107.19,1.275,7.15,0.16,155.39,1.53,62.8,574028,65.71,41.48,60.0,-153.07,260.26,53.33,86.67,0.0,0.0,0.0
2025-02,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,18,9,9,50.0,190.77,1.427,10.6,0.246,167.39,1.64,62.8,664171,65.71,125.06,66.67,-135.71,326.48,55.56,88.89,0.0,0.0,0.0
2025-02,v4_without_weak_signals,ThirdWave_v4_without_weak_signals_BOTH_all_5m,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,21,10,11,47.62,170.12,1.311,8.1,0.191,237.83,2.33,62.9,759751,45.06,125.06,57.14,-135.71,305.83,52.38,90.48,0.0,0.0,0.0
2025-08,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,13,5,8,38.46,-40.11,0.899,-3.09,-0.032,247.81,2.45,73.0,598758,76.22,-116.33,92.31,-70.61,30.5,53.85,84.62,0.0,7.69,7.69
2025-08,v4_all_signals,ThirdWave_v4_all_signals_BOTH_all_5m,V4_SIGNAL_ALL,33,15,18,45.45,195.88,1.215,5.94,0.142,385.97,3.67,73.1,920112,-126.92,322.8,84.85,276.69,-80.81,57.58,81.82,12.12,0.0,12.12
2025-08,v4_micro_break_only,ThirdWave_v4_micro_break_only_BOTH_all_5m,V4_SIGNAL_MICRO_BREAK_ONLY,11,4,7,36.36,-46.67,0.863,-4.24,-0.096,196.53,1.95,72.9,557450,28.25,-74.92,81.82,69.15,-115.82,54.55,90.91,9.09,0.0,9.09
2025-08,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,22,10,12,45.45,131.47,1.221,5.98,0.143,201.37,1.96,72.9,646611,-154.05,285.52,86.36,215.08,-83.61,59.09,81.82,13.64,0.0,13.64
