scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,AUDJPY,2,0.0,0.0,-1.014,-100.44,100.44,1.0,0.808,1.212,50.0,50.0,0.0,1,1,-47.38,-53.06,-1.009,-1.019,1,2,AUDJPY:2,2025-04:1;2025-10:1,LONG:1;SHORT:1
A_current_broad_fx_only,EURJPY,9,44.44,1.627,0.354,154.36,102.57,1.01,1.25,0.954,44.44,44.44,44.44,3,6,160.07,-5.71,1.064,-0.001,1,6,EURJPY:9,2025-01:1;2025-02:1;2025-03:3;2025-04:2;2025-10:1;2025-11:1,LONG:3;SHORT:6
A_current_broad_fx_only,EURUSD,8,50.0,2.002,0.495,197.93,146.95,1.42,1.52,0.864,62.5,62.5,50.0,5,3,47.82,150.11,0.196,0.995,1,6,EURUSD:8,2025-02:1;2025-03:2;2025-04:1;2025-07:2;2025-09:1;2025-12:1,LONG:5;SHORT:3
A_current_broad_fx_only,GBPJPY,6,50.0,2.007,0.509,147.07,94.61,0.95,1.644,0.916,83.33,83.33,50.0,2,4,52.73,94.34,0.521,0.503,1,3,GBPJPY:6,2025-01:1;2025-03:2;2025-04:3,LONG:2;SHORT:4
A_current_broad_fx_only,GBPUSD,11,0.0,0.0,-1.005,-546.79,546.79,5.47,0.979,1.207,81.82,36.36,0.0,3,8,-151.11,-395.68,-1.002,-1.006,1,8,GBPUSD:11,2025-01:2;2025-04:1;2025-05:1;2025-06:1;2025-07:1;2025-08:2;2025-10:1;2025-11:2,LONG:3;SHORT:8
A_current_broad_fx_only,USDJPY,27,22.22,0.568,-0.336,-455.8,558.69,5.53,1.086,1.181,62.96,44.44,22.22,14,13,-254.33,-201.47,-0.362,-0.308,1,9,USDJPY:27,2025-01:3;2025-02:2;2025-04:2;2025-06:3;2025-07:3;2025-08:6;2025-09:4;2025-11:3;2025-12:1,LONG:14;SHORT:13
B_relaxed_entry,AUDJPY,1,0.0,0.0,-1.019,-49.75,49.75,0.5,0.372,1.171,0.0,0.0,0.0,0,1,0,-49.75,0.0,-1.019,1,1,AUDJPY:1,2025-04:1,SHORT:1
B_relaxed_entry,EURJPY,3,66.67,3.995,1.004,143.68,47.98,0.47,1.661,0.855,66.67,66.67,66.67,2,1,47.97,95.71,0.502,2.008,1,3,EURJPY:3,2025-02:1;2025-03:1;2025-10:1,LONG:2;SHORT:1
B_relaxed_entry,EURUSD,3,33.33,1.016,-0.004,1.55,99.79,0.99,1.199,0.955,66.67,66.67,33.33,2,1,-99.79,101.34,-1.006,2.0,1,2,EURUSD:3,2025-07:2;2025-09:1,LONG:2;SHORT:1
B_relaxed_entry,GBPJPY,3,0.0,0.0,-1.007,-147.17,147.17,1.47,0.709,1.259,66.67,66.67,0.0,1,2,-46.73,-100.44,-1.006,-1.007,1,3,GBPJPY:3,2025-01:1;2025-03:1;2025-04:1,LONG:1;SHORT:2
B_relaxed_entry,GBPUSD,4,0.0,0.0,-1.002,-197.11,197.11,1.97,0.958,1.204,75.0,25.0,0.0,1,3,-50.2,-146.91,-1.0,-1.003,1,4,GBPUSD:4,2025-04:1;2025-06:1;2025-08:1;2025-11:1,LONG:1;SHORT:3
B_relaxed_entry,USDJPY,14,35.71,1.093,0.07,41.95,255.11,2.49,1.375,1.174,78.57,64.29,35.71,7,7,90.82,-48.87,0.282,-0.143,1,8,USDJPY:14,2025-01:3;2025-02:1;2025-04:1;2025-06:1;2025-07:2;2025-08:3;2025-09:1;2025-11:2,LONG:7;SHORT:7
C_relaxed_room_to_1r,AUDJPY,1,0.0,0.0,-1.019,-49.75,49.75,0.5,0.372,1.171,0.0,0.0,0.0,0,1,0,-49.75,0.0,-1.019,1,1,AUDJPY:1,2025-04:1,SHORT:1
C_relaxed_room_to_1r,EURJPY,2,100.0,,2.008,191.66,0.0,0.0,2.481,0.754,100.0,100.0,100.0,1,1,95.95,95.71,2.007,2.008,1,2,EURJPY:2,2025-02:1;2025-03:1,LONG:1;SHORT:1
C_relaxed_room_to_1r,EURUSD,3,33.33,1.016,-0.004,1.55,99.79,0.99,1.199,0.955,66.67,66.67,33.33,2,1,-99.79,101.34,-1.006,2.0,1,2,EURUSD:3,2025-07:2;2025-09:1,LONG:2;SHORT:1
C_relaxed_room_to_1r,GBPJPY,2,0.0,0.0,-1.01,-97.38,97.38,0.97,1.006,1.232,100.0,100.0,0.0,1,1,-46.73,-50.65,-1.006,-1.014,1,2,GBPJPY:2,2025-03:1;2025-04:1,LONG:1;SHORT:1
C_relaxed_room_to_1r,GBPUSD,4,0.0,0.0,-1.002,-197.11,197.11,1.97,0.958,1.204,75.0,25.0,0.0,1,3,-50.2,-146.91,-1.0,-1.003,1,4,GBPUSD:4,2025-04:1;2025-06:1;2025-08:1;2025-11:1,LONG:1;SHORT:3
C_relaxed_room_to_1r,USDJPY,12,33.33,0.987,-0.003,-5.42,254.84,2.5,1.415,1.202,83.33,66.67,33.33,5,7,43.45,-48.87,0.194,-0.143,1,8,USDJPY:12,2025-01:3;2025-02:1;2025-04:1;2025-06:1;2025-07:1;2025-08:2;2025-09:1;2025-11:2,LONG:5;SHORT:7
D_relaxed_room_to_2r,AUDJPY,1,0.0,0.0,-1.019,-49.75,49.75,0.5,0.372,1.171,0.0,0.0,0.0,0,1,0,-49.75,0.0,-1.019,1,1,AUDJPY:1,2025-04:1,SHORT:1
D_relaxed_room_to_2r,EURJPY,1,100.0,,2.008,95.71,0.0,0.0,2.331,0.721,100.0,100.0,100.0,0,1,0,95.71,0.0,2.008,1,1,EURJPY:1,2025-02:1,SHORT:1
D_relaxed_room_to_2r,EURUSD,3,33.33,1.016,-0.004,1.55,99.79,0.99,1.199,0.955,66.67,66.67,33.33,2,1,-99.79,101.34,-1.006,2.0,1,2,EURUSD:3,2025-07:2;2025-09:1,LONG:2;SHORT:1
