run,scenario,prefix,elapsed_seconds
A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_structural_bos_A_nested_all,123.9
B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_structural_bos_B_retest_all,123.9
C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_structural_bos_C_breakout_router_all,123.8
D,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_structural_bos_D_context_router_v2_all,123.8
E,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,ExpectedValue_MultiCurrency_ScoreScanner_2026_q1_structural_bos_E_structural_bos_all,113.2
