run_id,period_id,variant,direction,stage,count
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,child_anchor_created,1816
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,child_countertrend_confirmed,1816
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,child_flip_detected,1127
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,expired,1057
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,fresh_first_flip_signal,1125
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,parent_flips_detected,2292
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,parent_invalidated,40
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,parent_wave1_confirmed,2292
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,parent_wave2_pending,2292
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,LONG,parent_wave2_started_first_close,3852
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,child_anchor_created,1704
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,child_countertrend_confirmed,1703
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,child_flip_detected,974
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,expired,911
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,fresh_first_flip_signal,971
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,parent_flips_detected,2244
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,parent_invalidated,32
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,parent_wave1_confirmed,2244
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,parent_wave2_pending,2244
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,SHORT,parent_wave2_started_first_close,3634
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,LONG,child_anchor_created,1998
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,LONG,child_anchor_updated,2097
