run_id,period_id,variant,variant_name,stage,count
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,symbols_scanned,107140
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,parent_anchor_states_available,1093
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,parent_flips_detected,1093
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,parent_wave1_confirmed,1093
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,parent_wave2_pending,1093
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,parent_wave2_started_first_close,945
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,parent_wave2_started_confirmed_pivot,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,parent_wave2_started_child_trend,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,child_countertrend_confirmed,933
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,child_anchor_created,847
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,child_anchor_updated,1518
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,child_flip_detected,513
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,fresh_first_flip_signal,513
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,valid_candidate,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,signal_reserved,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,portfolio_selected,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,trades_taken,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,candidate_invalid,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,position_cap_reject,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,risk_reject,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,order_failure,0
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,expired,484
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,parent_invalidated,19
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,diagnostic_current_code,signals_consumed,484
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,symbols_scanned,107140
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,parent_anchor_states_available,1092
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,parent_flips_detected,1092
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,parent_wave1_confirmed,1092
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,parent_wave2_pending,1083
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,parent_wave2_started_first_close,1080
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,parent_wave2_started_confirmed_pivot,0
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,parent_wave2_started_child_trend,0
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,child_countertrend_confirmed,1046
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,child_anchor_created,950
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,child_anchor_updated,1065
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,child_flip_detected,779
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,fresh_first_flip_signal,777
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,valid_candidate,0
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,signal_reserved,0
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,portfolio_selected,0
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,trades_taken,0
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,candidate_invalid,0
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,position_cap_reject,0
