run_id,period_id,variant,symbol,stage,count
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,child_anchor_created,570
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,child_countertrend_confirmed,570
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,child_flip_detected,332
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,expired,315
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,fresh_first_flip_signal,330
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,parent_flips_detected,741
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,parent_invalidated,10
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,parent_wave1_confirmed,741
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,parent_wave2_pending,741
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,AUDJPY,parent_wave2_started_first_close,1215
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,child_anchor_created,579
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,child_countertrend_confirmed,579
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,child_flip_detected,348
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,expired,328
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,fresh_first_flip_signal,348
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,parent_flips_detected,751
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,parent_invalidated,13
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,parent_wave1_confirmed,751
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,parent_wave2_pending,751
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURJPY,parent_wave2_started_first_close,1220
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,child_anchor_created,609
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,child_countertrend_confirmed,608
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,child_flip_detected,354
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,expired,328
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,fresh_first_flip_signal,354
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,parent_flips_detected,779
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,parent_invalidated,13
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,parent_wave1_confirmed,779
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,parent_wave2_pending,779
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EURUSD,parent_wave2_started_first_close,1300
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,child_anchor_created,614
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,child_countertrend_confirmed,614
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,child_flip_detected,379
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,expired,352
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,fresh_first_flip_signal,379
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,parent_flips_detected,768
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,parent_invalidated,13
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,parent_wave1_confirmed,768
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,parent_wave2_pending,768
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPJPY,parent_wave2_started_first_close,1285
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,child_anchor_created,596
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,child_countertrend_confirmed,596
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,child_flip_detected,335
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,expired,319
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,fresh_first_flip_signal,334
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,parent_flips_detected,791
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,parent_invalidated,12
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,parent_wave1_confirmed,791
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,parent_wave2_pending,791
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,GBPUSD,parent_wave2_started_first_close,1290
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,child_anchor_created,552
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,child_countertrend_confirmed,552
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,child_flip_detected,353
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,expired,326
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,fresh_first_flip_signal,351
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,parent_flips_detected,706
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,parent_invalidated,11
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,parent_wave1_confirmed,706
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,parent_wave2_pending,706
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,USDJPY,parent_wave2_started_first_close,1176
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,child_anchor_created,639
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,child_anchor_updated,752
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,child_countertrend_confirmed,1391
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,child_flip_detected,520
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,expired,498
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,fresh_first_flip_signal,517
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,parent_flips_detected,740
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,parent_invalidated,11
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,parent_wave1_confirmed,740
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,parent_wave2_pending,738
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,AUDJPY,parent_wave2_started_first_close,1376
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,child_anchor_created,664
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,child_anchor_updated,717
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,child_countertrend_confirmed,1381
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,child_flip_detected,543
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,expired,523
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,fresh_first_flip_signal,542
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,parent_flips_detected,751
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,parent_invalidated,14
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,parent_wave1_confirmed,751
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,parent_wave2_pending,746
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EURJPY,parent_wave2_started_first_close,1408
