period_id,variant,symbol,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_child_flip_signal_age,avg_parent_wave2_age
full2025_validation,f_base_first_child_flip_mode0,AUDJPY,10,2,0.2,-110.7,50.03,-160.73,0.31126734274870904,-0.4785185,141.44,1.4144,-0.7826640271493213,0.4429215,-0.8243012999999999,0.2,0.2,0.2,0.0,0.1,0.5,0.4,22.4,0.0,1.3
full2025_validation,f_base_first_child_flip_mode0,EURJPY,13,8,0.6153846153846154,-1.4099999999999966,116.49000000000001,-117.9,0.9880407124681934,0.00929869230769233,70.02,0.7001999999999999,-0.020137103684661477,0.7461424615384615,-0.6015497692307693,0.6153846153846154,0.38461538461538464,0.38461538461538464,0.0,0.15384615384615385,0.38461538461538464,0.46153846153846156,20.153846153846153,0.0,2.4615384615384617
full2025_validation,f_base_first_child_flip_mode0,EURUSD,20,11,0.55,-99.27,77.28,-176.54999999999998,0.43772302463891255,-0.21878419999999998,110.61,1.1060999999999999,-0.8974776240846216,0.40363895000000005,-0.7083800499999999,0.35,0.1,0.1,0.0,0.05,0.35,0.6,23.15,0.0,1.3
full2025_validation,f_base_first_child_flip_mode0,GBPJPY,14,4,0.2857142857142857,-88.51,73.12,-161.63,0.4523912639980202,-0.2925775714285715,97.94,0.9794,-0.9037165611598938,0.5100518571428572,-0.7235433571428572,0.42857142857142855,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,22.142857142857142,0.0,2.2142857142857144
full2025_validation,f_base_first_child_flip_mode0,GBPUSD,13,6,0.46153846153846156,-11.40000000000001,72.18999999999998,-83.59,0.8636200502452445,-0.03577761538461539,52.03,0.5203,-0.21910436286757656,0.5244936153846154,-0.6670944615384615,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,0.23076923076923078,0.6923076923076923,25.0,0.0,2.6923076923076925
full2025_validation,f_base_first_child_flip_mode0,USDJPY,107,46,0.42990654205607476,-215.20000000000005,851.2800000000001,-1066.48,0.7982146875703249,-0.08142484112149535,255.74999999999997,2.5574999999999997,-0.8414467253176934,0.5743391214953272,-0.6193078317757011,0.48598130841121495,0.3177570093457944,0.21495327102803738,0.0,0.16822429906542055,0.35514018691588783,0.4766355140186916,20.2803738317757,0.0,2.616822429906542
full2025_validation,g_base_first_child_flip_mode1,AUDJPY,10,2,0.2,-110.64,50.03,-160.67,0.311383581253501,-0.4785185,141.38,1.4138,-0.7825717923327203,0.4429215,-0.8243012999999999,0.2,0.2,0.2,0.0,0.1,0.5,0.4,22.4,0.0,0.0
full2025_validation,g_base_first_child_flip_mode1,EURJPY,10,6,0.6,-11.819999999999999,83.89,-95.71,0.8765019329223698,-0.030927699999999975,65.22,0.6522,-0.18123275068997238,0.6879987,-0.6366767000000001,0.6,0.3,0.3,0.0,0.2,0.4,0.4,17.7,0.0,0.0
full2025_validation,g_base_first_child_flip_mode1,EURUSD,19,10,0.5263157894736842,-100.75,75.8,-176.54999999999998,0.42934013027470974,-0.2329365789473684,112.09,1.1209,-0.8988312962797752,0.3961110000000001,-0.7417070526315789,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.3684210526315789,0.5789473684210527,22.789473684210527,0.0,0.0
full2025_validation,g_base_first_child_flip_mode1,GBPJPY,13,4,0.3076923076923077,-70.86000000000001,73.03,-143.89,0.507540482312878,-0.24037130769230775,105.83000000000001,1.0583,-0.6695643957289994,0.5244746923076924,-0.7053284615384616,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.0,0.15384615384615385,0.38461538461538464,0.46153846153846156,25.076923076923077,0.0,0.0
