run_id,period_id,variant,consumption_stage,not_traded_reason,validation_pass,validation_reject_reason,count
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,before_portfolio,portfolio_not_selected,true,none,1
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,406
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,invalid_candidate,spread_guard,false,spread_guard,2562
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,none,none,false,not_evaluated,1
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,position_cap,symbol_position_cap,true,none,1
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,traded,traded,true,none,172
q1_a_diagnostic_current_code,q1_quick,a_diagnostic_current_code,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,484
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,739
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,2
q1_c_wave2_start_confirmed_pivot,q1_quick,c_wave2_start_confirmed_pivot,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,713
q1_c_wave2_start_confirmed_pivot,q1_quick,c_wave2_start_confirmed_pivot,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,17
q1_d_wave2_start_child_countertrend,q1_quick,d_wave2_start_child_countertrend,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,730
q1_d_wave2_start_child_countertrend,q1_quick,d_wave2_start_child_countertrend,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
q1_e_latest_child_anchor_diagnostic,q1_quick,e_latest_child_anchor_diagnostic,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,730
q1_e_latest_child_anchor_diagnostic,q1_quick,e_latest_child_anchor_diagnostic,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,before_portfolio,pending_portfolio,true,none,44
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,108
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,invalid_candidate,spread_guard,false,spread_guard,625
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,2
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,position_cap,symbol_position_cap,true,none,1
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,traded,traded,true,none,43
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,before_portfolio,pending_portfolio,true,none,39
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,106
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,invalid_candidate,spread_guard,false,spread_guard,606
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,17
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,position_cap,symbol_position_cap,true,none,1
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,traded,traded,true,none,38
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,before_portfolio,pending_portfolio,true,none,44
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,105
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,invalid_candidate,spread_guard,false,spread_guard,618
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,position_cap,symbol_position_cap,true,none,1
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,traded,traded,true,none,43
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,before_portfolio,pending_portfolio,true,none,44
