run_id,period_id,variant,variant_name,reason,count
q1_b_wave2_start_first_close,q1_quick,b_wave2_start_first_close,wave2_start_first_opposite_close,stale_child_flip_not_reused,2
q1_c_wave2_start_confirmed_pivot,q1_quick,c_wave2_start_confirmed_pivot,wave2_start_confirmed_parent_pivot,stale_child_flip_not_reused,17
q1_d_wave2_start_child_countertrend,q1_quick,d_wave2_start_child_countertrend,wave2_start_child_countertrend,stale_child_flip_not_reused,1
q1_e_latest_child_anchor_diagnostic,q1_quick,e_latest_child_anchor_diagnostic,latest_child_anchor_diagnostic,stale_child_flip_not_reused,1
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,base_first_child_flip_mode0,candidate_invalid_spread_guard,625
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,base_first_child_flip_mode0,candidate_invalid_invalid_stop_distance,108
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,base_first_child_flip_mode0,stale_child_flip_not_reused,2
q1_f_base_first_child_flip_mode0,q1_quick,f_base_first_child_flip_mode0,base_first_child_flip_mode0,symbol_position_cap,1
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,base_first_child_flip_mode1,candidate_invalid_spread_guard,606
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,base_first_child_flip_mode1,candidate_invalid_invalid_stop_distance,106
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,base_first_child_flip_mode1,stale_child_flip_not_reused,17
q1_g_base_first_child_flip_mode1,q1_quick,g_base_first_child_flip_mode1,base_first_child_flip_mode1,symbol_position_cap,1
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,base_first_child_flip_mode2,candidate_invalid_spread_guard,618
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,base_first_child_flip_mode2,candidate_invalid_invalid_stop_distance,105
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,base_first_child_flip_mode2,stale_child_flip_not_reused,1
q1_h_base_first_child_flip_mode2,q1_quick,h_base_first_child_flip_mode2,base_first_child_flip_mode2,symbol_position_cap,1
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,child_stop_extreme_mode2,candidate_invalid_spread_guard,618
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,child_stop_extreme_mode2,candidate_invalid_invalid_stop_distance,105
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,child_stop_extreme_mode2,stale_child_flip_not_reused,1
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,child_stop_extreme_mode2,symbol_position_cap,1
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,candidate_invalid_entry_or_stop_anchor_invalid,89
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,candidate_invalid_spread_guard,56
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,candidate_invalid_invalid_stop_distance,612
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,stale_child_flip_not_reused,1
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,one_symbol_mode2,candidate_invalid_spread_guard,618
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,one_symbol_mode2,candidate_invalid_invalid_stop_distance,105
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,one_symbol_mode2,stale_child_flip_not_reused,1
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,one_symbol_mode2,symbol_position_cap,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,diagnostic_current_code,stale_child_flip_not_reused,5
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,wave2_start_first_opposite_close,stale_child_flip_not_reused,8
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,wave2_start_confirmed_parent_pivot,stale_child_flip_not_reused,92
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,wave2_start_child_countertrend,stale_child_flip_not_reused,1
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,latest_child_anchor_diagnostic,stale_child_flip_not_reused,1
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,base_first_child_flip_mode0,candidate_invalid_spread_guard,2592
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,base_first_child_flip_mode0,candidate_invalid_invalid_stop_distance,419
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,base_first_child_flip_mode0,stale_child_flip_not_reused,8
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,base_first_child_flip_mode0,symbol_position_cap,1
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,base_first_child_flip_mode1,candidate_invalid_spread_guard,2495
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,base_first_child_flip_mode1,candidate_invalid_invalid_stop_distance,411
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,base_first_child_flip_mode1,stale_child_flip_not_reused,92
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,base_first_child_flip_mode1,symbol_position_cap,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,base_first_child_flip_mode2,candidate_invalid_spread_guard,2562
