run_id,period_id,variant,previous_state,strategy_state,reason,count
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,92
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,CHILD_TREND_FLIPPED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,149
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,3010
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,INVALIDATED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,149
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,PARENT_FLIP_DETECTED,PARENT_WAVE1_CONFIRMED,parent_wave1_confirmed,4470
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,PARENT_WAVE1_CONFIRMED,INVALIDATED,wave1_origin_broken,1
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_PENDING,confirmed_wave1_terminal_pivot,4469
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,PARENT_WAVE2_ACTIVE,CHILD_COUNTER_TREND_CONFIRMED,child_countertrend_confirmed_latest_anchor_active,3890
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,PARENT_WAVE2_ACTIVE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,429
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,PARENT_WAVE2_PENDING,INVALIDATED,wave1_origin_broken,148
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,PARENT_WAVE2_PENDING,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,PARENT_WAVE2_PENDING,PARENT_WAVE2_ACTIVE,confirmed_wave1_terminal_pivot,4319
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,3143
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,CHILD_COUNTER_TREND_CONFIRMED,INVALIDATED,wave1_origin_broken,7
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,CHILD_COUNTER_TREND_CONFIRMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,812
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,CHILD_TREND_FLIPPED,EXPIRED,child_flip_signal_expired,2996
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,1
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,CHILD_TREND_FLIPPED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,146
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2993
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,INVALIDATED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,494
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_FLIP_DETECTED,PARENT_WAVE1_CONFIRMED,parent_wave1_confirmed,4453
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_WAVE1_CONFIRMED,INVALIDATED,wave1_origin_broken,1
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_ACTIVE,child_countertrend_confirmed,7
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_PENDING,child_countertrend_confirmed,4445
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_WAVE2_ACTIVE,CHILD_COUNTER_TREND_CONFIRMED,child_countertrend_confirmed_latest_anchor_active,3963
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_WAVE2_PENDING,EXPIRED,wave2_max_age_exceeded,1
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_WAVE2_PENDING,INVALIDATED,wave1_origin_broken,486
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_WAVE2_PENDING,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,PARENT_WAVE2_PENDING,PARENT_WAVE2_ACTIVE,child_countertrend_confirmed,3956
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,3143
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,CHILD_COUNTER_TREND_CONFIRMED,INVALIDATED,wave1_origin_broken,7
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,CHILD_COUNTER_TREND_CONFIRMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,812
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,CHILD_TREND_FLIPPED,EXPIRED,child_flip_signal_expired,2996
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,1
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,CHILD_TREND_FLIPPED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,146
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2993
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,INVALIDATED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,494
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_FLIP_DETECTED,PARENT_WAVE1_CONFIRMED,parent_wave1_confirmed,4453
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_WAVE1_CONFIRMED,INVALIDATED,wave1_origin_broken,1
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_ACTIVE,child_countertrend_confirmed,7
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_PENDING,child_countertrend_confirmed,4445
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_WAVE2_ACTIVE,CHILD_COUNTER_TREND_CONFIRMED,child_countertrend_confirmed_latest_anchor_active,3963
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_WAVE2_PENDING,EXPIRED,wave2_max_age_exceeded,1
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_WAVE2_PENDING,INVALIDATED,wave1_origin_broken,486
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_WAVE2_PENDING,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,PARENT_WAVE2_PENDING,PARENT_WAVE2_ACTIVE,child_countertrend_confirmed,3956
