run_id,period_id,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,run_mode,stop_mode,portfolio_mode,parent_wave2_start_mode,child_anchor_mode,legacy_current_code,parent_tf,child_tf,top_context_tf,target_r,max_hold_bars,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_child_flip_signal_age,avg_parent_wave2_age,daily_or_dd_stopped,max_symbol_positive_profit_share,max_session_positive_profit_share,passed_research_continuation,passed_2025_gate
full2025_a_diagnostic_current_code,full2025_validation,2025.01.01,2025.12.31,a_diagnostic_current_code,diagnostic_current_code,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_a_diagnostic_current_code.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_a_diagnostic_current_code.ini,fractal_wave2_state_review_full2025_a_diagnostic_current_code,3,0,0,0,0,true,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False
full2025_b_wave2_start_first_close,full2025_validation,2025.01.01,2025.12.31,b_wave2_start_first_close,wave2_start_first_opposite_close,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_b_wave2_start_first_close.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_b_wave2_start_first_close.ini,fractal_wave2_state_review_full2025_b_wave2_start_first_close,2,0,0,0,1,false,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False
full2025_c_wave2_start_confirmed_pivot,full2025_validation,2025.01.01,2025.12.31,c_wave2_start_confirmed_pivot,wave2_start_confirmed_parent_pivot,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_c_wave2_start_confirmed_pivot.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_c_wave2_start_confirmed_pivot.ini,fractal_wave2_state_review_full2025_c_wave2_start_confirmed_pivot,2,0,0,1,1,false,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False
full2025_d_wave2_start_child_countertrend,full2025_validation,2025.01.01,2025.12.31,d_wave2_start_child_countertrend,wave2_start_child_countertrend,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_d_wave2_start_child_countertrend.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_d_wave2_start_child_countertrend.ini,fractal_wave2_state_review_full2025_d_wave2_start_child_countertrend,2,0,0,2,1,false,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False
full2025_e_latest_child_anchor_diagnostic,full2025_validation,2025.01.01,2025.12.31,e_latest_child_anchor_diagnostic,latest_child_anchor_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_e_latest_child_anchor_diagnostic.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_e_latest_child_anchor_diagnostic.ini,fractal_wave2_state_review_full2025_e_latest_child_anchor_diagnostic,3,0,0,2,1,false,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False
full2025_f_base_first_child_flip_mode0,full2025_validation,2025.01.01,2025.12.31,f_base_first_child_flip_mode0,base_first_child_flip_mode0,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_f_base_first_child_flip_mode0.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_f_base_first_child_flip_mode0.ini,fractal_wave2_state_review_full2025_f_base_first_child_flip_mode0,4,0,0,0,1,false,15,5,16385,1.30,30,177,77,0.4350282485875706,-526.4899999999997,1240.39,-1766.8799999999997,0.7020227746083494,-0.1260657570621469,528.7199999999997,5.287199999999997,-0.9957822666061431,0.5514987288135591,-0.6514041468926554,0.4576271186440678,0.2711864406779661,0.2033898305084746,0.0,0.14124293785310735,0.3615819209039548,0.4971751412429379,21.2090395480226,0.0,2.3559322033898304,False,0.6863002765259314,0.3416506098888253,False,False
full2025_g_base_first_child_flip_mode1,full2025_validation,2025.01.01,2025.12.31,g_base_first_child_flip_mode1,base_first_child_flip_mode1,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_g_base_first_child_flip_mode1.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_g_base_first_child_flip_mode1.ini,fractal_wave2_state_review_full2025_g_base_first_child_flip_mode1,4,0,0,1,1,false,15,5,16385,1.30,30,165,72,0.43636363636363634,-518.2699999999998,1150.1800000000003,-1668.4499999999998,0.6893703737001411,-0.1291860242424243,520.4999999999998,5.204999999999997,-0.9957156580211335,0.5450753090909088,-0.6624595636363637,0.45454545454545453,0.2727272727272727,0.2,0.0,0.14545454545454545,0.36363636363636365,0.4909090909090909,21.303030303030305,0.0,0.0,False,0.6914048235928291,0.3718113686553409,False,False
full2025_h_base_first_child_flip_mode2,full2025_validation,2025.01.01,2025.12.31,h_base_first_child_flip_mode2,base_first_child_flip_mode2,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_h_base_first_child_flip_mode2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_h_base_first_child_flip_mode2.ini,fractal_wave2_state_review_full2025_h_base_first_child_flip_mode2,4,0,0,2,1,false,15,5,16385,1.30,30,173,75,0.43352601156069365,-546.18,1195.17,-1741.3499999999995,0.6863467998966322,-0.1312653468208093,548.41,5.4841,-0.9959336992396199,0.5494626763005779,-0.6556323005780348,0.45664739884393063,0.27167630057803466,0.19653179190751446,0.0,0.13872832369942195,0.36416184971098264,0.49710982658959535,21.161849710982658,0.0,0.09826589595375723,False,0.6930813189755434,0.366700971409925,False,False
full2025_i_child_stop_extreme_mode2,full2025_validation,2025.01.01,2025.12.31,i_child_stop_extreme_mode2,child_stop_extreme_mode2,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_i_child_stop_extreme_mode2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_i_child_stop_extreme_mode2.ini,fractal_wave2_state_review_full2025_i_child_stop_extreme_mode2,4,0,0,2,1,false,15,5,16385,1.30,30,173,75,0.43352601156069365,-546.18,1195.17,-1741.3499999999995,0.6863467998966322,-0.1312653468208093,548.41,5.4841,-0.9959336992396199,0.5494626763005779,-0.6556323005780348,0.45664739884393063,0.27167630057803466,0.19653179190751446,0.0,0.13872832369942195,0.36416184971098264,0.49710982658959535,21.161849710982658,0.0,0.09826589595375723,False,0.6930813189755434,0.366700971409925,False,False
full2025_j_parent_stop_extreme_mode2,full2025_validation,2025.01.01,2025.12.31,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_j_parent_stop_extreme_mode2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_j_parent_stop_extreme_mode2.ini,fractal_wave2_state_review_full2025_j_parent_stop_extreme_mode2,4,1,0,2,1,false,15,5,16385,1.30,30,31,12,0.3870967741935484,-3.8300000000000076,306.59,-310.42,0.9876618774563494,-0.0068015161290322455,91.25,0.9125,-0.04197260273972611,0.6263903548387098,-0.6208037741935484,0.5161290322580645,0.41935483870967744,0.3548387096774194,0.0,0.22580645161290322,0.3225806451612903,0.45161290322580644,17.451612903225808,0.0,0.45161290322580644,False,0.8065494634528196,0.6834860889135327,False,False
