period_id,variant,direction,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_child_flip_signal_age,avg_parent_wave2_age
full2025_validation,f_base_first_child_flip_mode0,LONG,74,38,0.5135135135135135,33.23000000000002,646.9700000000001,-613.74,1.0541434483657577,0.021338202702702706,143.95,1.4394999999999998,0.23084404307051073,0.6211139864864865,-0.5932691081081082,0.5135135135135135,0.33783783783783783,0.25675675675675674,0.0,0.16216216216216217,0.2972972972972973,0.5405405405405406,22.27027027027027,0.0,2.2027027027027026
full2025_validation,f_base_first_child_flip_mode0,SHORT,103,39,0.3786407766990291,-559.7199999999997,593.42,-1153.14,0.5146122760462736,-0.23196763106796128,559.7199999999997,5.597199999999996,-1.0,0.5014838834951457,-0.6931710679611651,0.4174757281553398,0.22330097087378642,0.1650485436893204,0.0,0.1262135922330097,0.4077669902912621,0.46601941747572817,20.446601941747574,0.0,2.466019417475728
full2025_validation,g_base_first_child_flip_mode1,LONG,71,37,0.5211267605633803,79.99,644.9100000000002,-564.9200000000001,1.1415952701267438,0.052416746478873226,141.83,1.4183000000000001,0.5639850525276738,0.6295972112676056,-0.5886154507042254,0.5211267605633803,0.352112676056338,0.2676056338028169,0.0,0.18309859154929578,0.28169014084507044,0.5352112676056338,22.619718309859156,0.0,0.0
full2025_validation,g_base_first_child_flip_mode1,SHORT,94,35,0.3723404255319149,-598.2599999999998,505.2700000000001,-1103.5299999999997,0.4578670267233335,-0.2663540744680851,598.2599999999998,5.982599999999998,-1.0,0.48123429787234057,-0.7182354361702128,0.40425531914893614,0.2127659574468085,0.14893617021276595,0.0,0.11702127659574468,0.425531914893617,0.4574468085106383,20.30851063829787,0.0,0.0
full2025_validation,h_base_first_child_flip_mode2,LONG,73,38,0.5205479452054794,35.290000000000035,643.1400000000001,-607.8500000000001,1.0580570864522496,0.02453134246575343,142.23,1.4223,0.24811924347887251,0.6287063424657534,-0.5935332876712329,0.5205479452054794,0.3424657534246575,0.2602739726027397,0.0,0.1643835616438356,0.3013698630136986,0.5342465753424658,22.164383561643834,0.0,0.0821917808219178
full2025_validation,h_base_first_child_flip_mode2,SHORT,100,37,0.37,-581.4699999999998,552.0300000000001,-1133.5,0.4870136744596384,-0.24499693000000008,581.4699999999998,5.814699999999998,-1.0,0.49161480000000013,-0.7009645800000002,0.41,0.22,0.15,0.0,0.12,0.41,0.47,20.43,0.0,0.11
full2025_validation,i_child_stop_extreme_mode2,LONG,73,38,0.5205479452054794,35.290000000000035,643.1400000000001,-607.8500000000001,1.0580570864522496,0.02453134246575343,142.23,1.4223,0.24811924347887251,0.6287063424657534,-0.5935332876712329,0.5205479452054794,0.3424657534246575,0.2602739726027397,0.0,0.1643835616438356,0.3013698630136986,0.5342465753424658,22.164383561643834,0.0,0.0821917808219178
full2025_validation,i_child_stop_extreme_mode2,SHORT,100,37,0.37,-581.4699999999998,552.0300000000001,-1133.5,0.4870136744596384,-0.24499693000000008,581.4699999999998,5.814699999999998,-1.0,0.49161480000000013,-0.7009645800000002,0.41,0.22,0.15,0.0,0.12,0.41,0.47,20.43,0.0,0.11
full2025_validation,j_parent_stop_extreme_mode2,LONG,13,7,0.5384615384615384,78.42,163.26,-84.84000000000002,1.9243281471004239,0.2570732307692308,52.5,0.525,1.4937142857142858,0.8338596153846153,-0.5046661538461539,0.7692307692307693,0.6153846153846154,0.46153846153846156,0.0,0.3076923076923077,0.23076923076923078,0.46153846153846156,18.846153846153847,0.0,0.38461538461538464
full2025_validation,j_parent_stop_extreme_mode2,SHORT,18,5,0.2777777777777778,-82.25,143.33,-225.57999999999998,0.6353843425835625,-0.19737772222222225,85.3,0.853,-0.9642438452520516,0.4765514444444444,-0.7046809444444445,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.0,0.16666666666666666,0.3888888888888889,0.4444444444444444,16.444444444444443,0.0,0.5
