run_id,period_id,variant,confirmed,reject_reason,swing_count,extension_count,count
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,10,1,184
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,11,1,30
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,12,1,114
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,13,1,11
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,14,1,42
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,15,1,7
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,16,1,19
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,17,1,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,18,1,10
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,20,1,2
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,21,1,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,22,1,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,24,1,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,26,1,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,3,1,179
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,4,1,1399
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,5,1,229
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,6,1,746
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,7,1,108
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,7,2,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,8,1,378
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,none,9,1,56
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,none,10,1,202
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,none,10,2,268
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,none,10,3,231
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,none,10,4,47
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,none,11,1,37
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,none,11,2,57
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,none,11,3,61
