event_id,market_cluster_id,response_episode_id,symbol,partition,common_strategy_eligible,detection_continuation_reachable,post_burst_continuation_reachable,pullback_continuation_reachable,failed_shock_reversal_reachable,detection_entry_msc,post_burst_entry_msc,pullback_entry_msc,reversal_entry_msc,record_status
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,0,USDJPY,DISCOVERY,False,True,True,False,True,1740999587438,1740999588757.0,,1740999588757.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,0,USDJPY,DISCOVERY,False,True,True,False,False,1740999625361,1740999627049.0,,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,0,USDJPY,DISCOVERY,False,True,True,False,True,1740999661316,1740999663515.0,,1740999663515.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,0,USDJPY,DISCOVERY,False,True,True,False,True,1740999760960,1740999766359.0,,1740999766359.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,0,USDJPY,DISCOVERY,False,True,True,False,True,1740999845327,1740999847355.0,,1740999847355.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,0,USDJPY,DISCOVERY,False,True,True,False,True,1740999845091,1740999847355.0,,1740999847355.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7,6,1,USDJPY,DISCOVERY,False,True,True,False,True,1741000198261,1741000200600.0,,1741000200600.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8,7,2,USDJPY,DISCOVERY,False,True,True,False,True,1741000393350,1741000394980.0,,1741000395855.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,3,USDJPY,DISCOVERY,False,True,True,False,True,1741001029072,1741001029624.0,,1741001030981.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10,9,4,USDJPY,DISCOVERY,False,True,True,False,True,1741001732548,1741001735642.0,,1741001736563.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001791750_11,10,4,USDJPY,DISCOVERY,False,True,True,False,True,1741001792301,1741001794665.0,,1741001794665.0,COMPLETE_120S
