event_id,market_cluster_id,response_episode_id,server_time_msc,server_time,utc,jst,timezone_status,symbol,direction,severity,candidate_time_msc,confirmed_time_msc,cluster_breadth,partition
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,0,1740999587250,2025-03-03 10:59:47.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1740999587000,1740999587250,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,0,1740999625000,2025-03-03 11:00:25.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1740999624750,1740999625000,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,0,1740999661250,2025-03-03 11:01:01.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P990,1740999661000,1740999661250,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,0,1740999760750,2025-03-03 11:02:40.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1740999760500,1740999760750,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,0,1740999845250,2025-03-03 11:04:05.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1740999845000,1740999845250,2,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,0,1740999845000,2025-03-03 11:04:05.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1740999844750,1740999845000,2,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7,6,1,1741000198250,2025-03-03 11:09:58.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P990,1741000198000,1741000198250,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8,7,2,1741000392750,2025-03-03 11:13:12.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1741000392500,1741000392750,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,3,1741001029000,2025-03-03 11:23:49.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1741001028750,1741001029000,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10,9,4,1741001732500,2025-03-03 11:35:32.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1741001732250,1741001732500,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001791750_11,10,4,1741001791750,2025-03-03 11:36:31.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1741001791500,1741001791750,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,5,1741002078000,2025-03-03 11:41:18.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P995,1741002077750,1741002078000,1,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002364750_13,12,6,1741002364750,2025-03-03 11:46:04.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1741002364500,1741002364750,2,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741002365000_14,12,6,1741002365000,2025-03-03 11:46:05.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1741002364750,1741002365000,2,DISCOVERY
