removed_gate,baseline_reachable,reachable_without_gate,increment
statistical_shock,7,7,0
direction_available,7,7,0
directional_burst,7,7,0
activity_elevated,7,22,15
liquidity_normal,7,7,0
cost_feasible,7,1694,1687
efficiency_gate,7,7,0
persistence_gate,7,7,0
