symbol,server_hour,horizon_ms,events,valid,mean_continuation,median_continuation,mean_absolute,mean_spread
AUDUSD,4,10000,52,52,7.24342325e-06,1.5787628e-05,6.525965025e-05,0.00022211538461538465
AUDUSD,4,15000,52,52,1.806956371153846e-05,7.891881500000001e-06,8.421313490384615e-05,0.00021961538461538462
AUDUSD,4,30000,52,52,2.5558247596153844e-05,3.947436e-06,0.00011253840651923077,0.00022211538461538465
AUDUSD,4,60000,52,52,2.2555311942307688e-05,-7.934333500000001e-06,0.00016565240755769229,0.00021846153846153847
AUDUSD,4,120000,52,52,4.286833194230769e-05,-1.18858505e-05,0.0002750835443653846,0.00022038461538461537
AUDUSD,5,250,21,21,-4.556949809523809e-06,-7.896119e-06,1.8146228095238097e-05,0.00022476190476190477
AUDUSD,5,500,21,21,-4.936314e-06,-7.834995e-06,1.625537438095238e-05,0.00022333333333333333
AUDUSD,5,1000,21,21,-1.0987549047619047e-05,-7.889889e-06,2.684561266666667e-05,0.00022333333333333333
AUDUSD,5,2000,21,21,-4.5527034285714285e-06,-7.834995e-06,3.0239198380952378e-05,0.00022380952380952383
AUDUSD,5,3000,21,21,7.355872380952377e-07,-0.0,3.551116933333333e-05,0.00022190476190476192
AUDUSD,5,5000,21,21,3.763833047619048e-06,7.889826e-06,3.8523936761904765e-05,0.00022190476190476192
AUDUSD,5,10000,21,21,-2.2636146190476206e-06,-7.956431e-06,7.474399195238095e-05,0.00022380952380952383
AUDUSD,5,15000,21,21,3.0357490000000003e-06,7.88628e-06,8.982696833333333e-05,0.00021904761904761904
AUDUSD,5,30000,21,21,2.0435819190476192e-05,-3.9579037e-05,0.00013367833480952383,0.00022285714285714286
AUDUSD,5,60000,21,21,2.0453566619047616e-05,-1.590938e-05,0.00019645891776190477,0.00021904761904761904
AUDUSD,5,120000,21,21,6.401880152380953e-05,4.7011259e-05,0.00025212076552380954,0.00022238095238095242
AUDUSD,6,250,24,24,-6.409881666666671e-07,-1.186403e-05,3.382583025e-05,0.00021708333333333334
AUDUSD,6,500,24,24,3.3435627499999994e-06,-1.1841252e-05,4.2462317833333336e-05,0.0002179166666666667
AUDUSD,6,1000,24,24,1.8960448375e-05,-7.9689535e-06,5.6731561625e-05,0.0002175
AUDUSD,6,2000,24,24,1.3339147083333337e-05,-1.1865833e-05,0.000110817684,0.00021708333333333334
AUDUSD,6,3000,24,24,8.352223625e-06,0.0,0.000105843083375,0.00022
AUDUSD,6,5000,24,24,-2.8148851416666667e-05,-1.576815e-05,0.00014833592141666666,0.00021583333333333337
AUDUSD,6,10000,24,24,-1.191375e-05,1.98951655e-05,0.00013864836216666667,0.0002179166666666667
AUDUSD,6,15000,24,24,2.6239729874999998e-05,1.59221435e-05,0.00020940139820833332,0.00021666666666666666
AUDUSD,6,30000,24,24,1.586294354166666e-05,3.96964965e-05,0.000298705694375,0.00021541666666666668
AUDUSD,6,60000,24,24,-1.0002576124999999e-05,2.7693687e-05,0.0003743253415416667,0.0002179166666666667
AUDUSD,6,120000,24,24,-5.213347791666667e-05,-6.72831745e-05,0.00031203302116666664,0.00021666666666666666
AUDUSD,7,250,11,11,-4.303652454545455e-06,-7.87932e-06,1.2946104272727273e-05,0.00022363636363636363
AUDUSD,7,500,11,11,-8.622980363636364e-06,-7.87932e-06,1.4381489272727273e-05,0.0002218181818181818
AUDUSD,7,1000,11,11,-2.0110938999999997e-05,-7.87932e-06,2.0110938999999997e-05,0.00022545454545454545
AUDUSD,7,2000,11,11,-2.0813758909090907e-05,-2.3897242e-05,3.232999527272727e-05,0.00022272727272727272
AUDUSD,7,3000,11,11,-2.512540109090909e-05,-2.3897242e-05,3.664163745454546e-05,0.00022454545454545454
AUDUSD,7,5000,11,11,-1.8699928545454544e-05,-3.9397223e-05,4.1712889454545454e-05,0.00022363636363636363
AUDUSD,7,10000,11,11,4.3103567818181814e-05,7.968032e-06,7.616046854545454e-05,0.0002163636363636364
AUDUSD,7,15000,11,11,3.8118911e-05,2.3887537e-05,5.968071372727273e-05,0.00021909090909090912
AUDUSD,7,30000,11,11,6.538007463636363e-05,2.3637588e-05,8.696887463636363e-05,0.0002209090909090909
AUDUSD,7,60000,11,11,4.6069117090909094e-05,8.6950679e-05,0.00015103980345454546,0.00022000000000000003
AUDUSD,7,120000,11,11,0.00014081618545454548,3.939567e-05,0.0002374637549090909,0.00022000000000000003
AUDUSD,8,250,69,69,5.76132484057971e-06,7.843722e-06,2.0250759130434784e-05,0.0002191304347826087
AUDUSD,8,500,69,69,5.2980826956521744e-06,0.0,2.094007168115942e-05,0.00021942028985507246
AUDUSD,8,1000,69,69,4.4863038550724635e-06,0.0,2.197938492753623e-05,0.0002201449275362319
AUDUSD,8,2000,69,69,2.554178492753623e-06,7.921388e-06,2.3698297478260872e-05,0.00022202898550724638
AUDUSD,8,3000,69,69,1.9774702318840583e-06,7.918189e-06,2.8407582927536236e-05,0.00022217391304347827
AUDUSD,8,5000,69,69,8.622558420289855e-06,7.977758e-06,3.7616296855072466e-05,0.00022246376811594203
AUDUSD,8,10000,69,69,8.064916956521739e-06,0.0,5.621787272463768e-05,0.00022347826086956522
AUDUSD,8,15000,69,69,2.2208202666666667e-05,3.1374518e-05,7.358126260869565e-05,0.00022246376811594203
AUDUSD,8,30000,69,69,3.9359795608695645e-05,3.1563166e-05,0.0001235155582753623,0.00022057971014492755
AUDUSD,8,60000,69,69,4.895799605797101e-05,3.963834e-05,0.00014664304066666666,0.00021840579710144927
AUDUSD,8,120000,69,69,5.313861066666666e-05,4.7344375e-05,0.00016325324901449276,0.00021869565217391305
AUDUSD,9,250,128,128,-1.290986e-06,-7.899986e-06,1.780644234375e-05,0.00021976562500000002
AUDUSD,9,500,128,128,-2.4189041875e-06,-7.884632e-06,1.8550917125e-05,0.000219609375
AUDUSD,9,1000,128,128,-6.0978909453125e-06,-7.903578e-06,2.29782279140625e-05,0.000219375
AUDUSD,9,2000,128,128,-3.8608783515625e-06,-7.898146e-06,3.12970285234375e-05,0.00021921875
AUDUSD,9,3000,128,128,-2.9348150937499997e-06,-7.9499605e-06,3.594019965625e-05,0.000219921875
AUDUSD,9,5000,128,128,-6.9057284140625e-06,-1.57482865e-05,4.88626945234375e-05,0.00021835937500000002
AUDUSD,9,10000,128,128,-1.0958992890625001e-05,-7.9056735e-06,8.186569453124999e-05,0.00021796875
AUDUSD,9,15000,128,128,-1.9680071171875013e-06,0.0,9.33200043984375e-05,0.000217578125
AUDUSD,9,30000,128,128,6.084842531249999e-06,-3.923307e-06,0.000138122842375,0.00021843750000000002
AUDUSD,9,60000,128,128,-1.1037843359375e-05,-1.5945276e-05,0.000185999643328125,0.00021796875
AUDUSD,9,120000,128,128,-4.90264068125e-05,-7.158015150000001e-05,0.00024161134009375,0.00021953125
AUDUSD,10,250,245,245,2.5221865714285726e-07,-7.881308e-06,1.886286192244898e-05,0.00021853061224489796
AUDUSD,10,500,245,245,1.4430844530612246e-06,0.0,2.103250526122449e-05,0.00021775510204081634
AUDUSD,10,1000,245,245,2.245096204081633e-06,-0.0,2.707196724081633e-05,0.00021755102040816327
AUDUSD,10,2000,245,245,2.991646383673469e-06,-0.0,3.447702191020408e-05,0.00021816326530612245
AUDUSD,10,3000,245,245,8.368209473469388e-06,-0.0,4.5281270640816326e-05,0.0002179591836734694
AUDUSD,10,5000,245,245,1.6695318028571426e-05,7.896243e-06,5.813228155510204e-05,0.0002183673469387755
AUDUSD,10,10000,245,245,3.084559541632653e-05,1.5788809e-05,9.112906393061224e-05,0.00021804081632653062
AUDUSD,10,15000,245,245,2.9201618440816326e-05,7.915494e-06,0.00010718426813061225,0.0002182857142857143
AUDUSD,10,30000,245,245,4.7176118885714285e-05,1.5913178e-05,0.0001487346478489796,0.00021653061224489797
AUDUSD,10,60000,245,245,5.359250246530612e-05,5.5617132e-05,0.00019295776711836737,0.00021844897959183676
AUDUSD,10,120000,245,245,3.993944073061224e-05,3.9672936e-05,0.0002659823092122449,0.0002186122448979592
AUDUSD,11,250,162,162,-2.5860308209876543e-06,-7.8883325e-06,2.13778217962963e-05,0.00021987654320987653
AUDUSD,11,500,162,162,-3.5101207469135807e-06,-0.0,2.4750822314814815e-05,0.00021993827160493828
AUDUSD,11,1000,162,162,-2.8211094074074075e-06,0.0,3.484083249382716e-05,0.00021944444444444444
AUDUSD,11,2000,162,162,4.866872561728396e-06,0.0,4.8110313919753085e-05,0.00021913580246913581
