partition,feature,bucket,events,episodes,mean_continuation_10s,median_continuation_10s,positive_rate_10s,raw_p,adjusted_p_bh
DISCOVERY,noise_return,"(6.73e-06, 6.8e-06]",1835,775,-2.611535784741143e-06,-6.733123e-06,0.46975476839237057,1.0,1.0
DISCOVERY,noise_return,"(6.8e-06, 9.23e-06]",1837,787,8.213703371257484e-06,0.0,0.4980947196516059,1.0,1.0
DISCOVERY,noise_return,"(9.23e-06, 1.61e-05]",1838,719,2.848343565832427e-06,0.0,0.470620239390642,1.0,1.0
DISCOVERY,efficiency,"(-0.001, 1.0]",7350,2190,1.946409942040816e-06,0.0,0.47564625850340136,1.0,1.0
DISCOVERY,tick_intensity_ratio,"(-0.001, 1.0]",6814,2111,3.250874440857058e-06,0.0,0.4763721749339595,1.0,1.0
DISCOVERY,tick_intensity_ratio,"(1.0, 3.0]",536,318,-1.4636838369402983e-05,-3.359637e-06,0.4664179104477612,1.0,1.0
DISCOVERY,move_spread_ratio,"(-0.001, 0.0278]",1844,1015,1.516192925162689e-06,0.0,0.47071583514099785,1.0,1.0
DISCOVERY,move_spread_ratio,"(0.0278, 0.1]",1838,1000,6.50406531882481e-06,0.0,0.48258977149075083,1.0,1.0
DISCOVERY,move_spread_ratio,"(0.1, 0.315]",1830,898,3.308573026775956e-06,0.0,0.47595628415300545,1.0,1.0
DISCOVERY,move_spread_ratio,"(0.315, 4.133]",1838,732,-3.535858201849837e-06,-3.4775855e-06,0.4733405875952122,1.0,1.0
DISCOVERY,spread_ratio,"(0.373, 0.947]",1879,939,-9.170289031399694e-07,-3.360142e-06,0.4715274081958489,1.0,1.0
DISCOVERY,spread_ratio,"(0.947, 1.0]",2926,1238,2.8519564524948735e-06,0.0,0.47915242652084755,1.0,1.0
DISCOVERY,spread_ratio,"(1.0, 1.053]",780,502,-2.6835538243589745e-06,0.0,0.48846153846153845,1.0,1.0
DISCOVERY,spread_ratio,"(1.053, 10.115]",1765,826,5.539692796600566e-06,-3.475148e-06,0.46855524079320116,1.0,1.0
DISCOVERY,quote_age_ms,"(-0.001, 78.0]",1862,856,-3.0733420827067684e-06,-3.4733925e-06,0.46670247046186897,1.0,1.0
DISCOVERY,quote_age_ms,"(78.0, 158.0]",1826,885,-1.142123566265061e-06,-3.4746985e-06,0.46823658269441404,1.0,1.0
DISCOVERY,quote_age_ms,"(158.0, 260.0]",1838,909,8.499970350380847e-06,0.0,0.49782372143634385,1.0,1.0
DISCOVERY,quote_age_ms,"(260.0, 500.0]",1824,1025,3.5587983333333328e-06,0.0,0.46984649122807015,1.0,1.0
