variant,train_trades,train_tpd,train_pf,train_net,test_trades,test_tpd,test_pf,test_net,all_trades,all_tpd,all_pf,all_net,score
adapt_base,792,4.467740039957691,1.044567766279645,3473.3057142859216,545,6.312487432133521,1.4968339825504002,20211.091428571457,1337,4.786336685353454,1.1996780836852363,23684.397142857382,1.842393527566387
d09_r64,837,4.721588905864379,1.0619722822525728,4832.787142857358,550,6.370400160868691,1.366130055243066,15297.494285714303,1387,4.965332073736156,1.1680820261264853,20130.281428571656,1.8263105946730962
adapt_base_above50,776,4.377482665413091,1.0374204897942194,2906.178571428769,533,6.173496883169113,1.5002245978537638,19946.177142857156,1309,4.686099267859141,1.194426572021702,22852.35571428593,1.8223057458837324
d09,739,4.1687624867787045,1.1320956040454422,8809.732857143035,503,5.826020510758093,1.4177070211824834,15959.517142857107,1242,4.44624544742632,1.2361235330488591,24769.25000000014,1.8021416851981085
base,689,3.88670819132683,1.1499372155705772,9501.8471428573,472,5.4669615926000406,1.4787925791479222,16872.209999999963,1161,4.1562729182463425,1.26745484291803,26374.05714285727,1.7850760097114498
base_above50,678,3.8246562463274176,1.12864707965755,8147.178571428707,466,5.397466318117837,1.4749408706973806,16592.317142857093,1144,4.095414486196224,1.2517624713535853,24739.495714285804,1.7634254667056137
adapt_base_sellbull,623,3.514396521330356,0.8759112383736634,-8504.018571428429,429,4.968912125477579,1.5401049216805325,16996.662857142863,1052,3.766062971572052,1.0849256566882082,8492.644285714428,1.596471680951617
d09_r64_sellbull,649,3.661064754965331,0.9060790084543098,-6246.334285714007,427,4.945747033983511,1.3306817462330531,10945.517142857103,1076,3.851980757995749,1.0471776532600245,4699.182857143096,1.5510675224032342
d09_sellbull_above50,577,3.2549065695146315,0.9522622658405029,-2785.174285714007,392,4.540357932837321,1.3580609898951495,11018.481428571371,969,3.4689306268567663,1.0923887737953037,8233.307142857362,1.52755055868256
d09_sellbull,577,3.2549065695146315,0.9522622658405029,-2785.174285714007,392,4.540357932837321,1.3580609898951495,11018.481428571371,969,3.4689306268567663,1.0923887737953037,8233.307142857362,1.52755055868256
base_sellbull_above50,548,3.0913150781525442,0.9491555318196,-2845.2342857140425,373,4.320289563643676,1.4357168297378573,12577.914285714232,921,3.2970950540093726,1.1147359900899194,9732.680000000186,1.5243296514350764
base_sellbull,548,3.0913150781525442,0.9491555318196,-2845.2342857140425,373,4.320289563643676,1.4357168297378573,12577.914285714232,921,3.2970950540093726,1.1147359900899194,9732.680000000186,1.5243296514350764
