dist,rsi_min,rsi_max,train_tpd,train_pf,test_tpd,test_pf,all_tpd,all_pf,all_net,all_trades
0.86,65.0,82.0,4.4564578681396165,1.082894735876702,6.080836517192841,1.426536123374217,4.707578714465065,1.202645649882103,22407.18000000024,1315
0.87,65.0,82.0,4.445175696321542,1.0826309005957202,6.069253971445807,1.4262872403263374,4.696838991162103,1.202435055887658,22374.920000000242,1312
0.88,65.0,82.0,4.411329180867317,1.0909309826029232,6.034506334204705,1.423102627312227,4.664619821253217,1.2078433392838004,22754.198571428806,1303
0.87,64.0,82.0,4.772358679045716,1.0599973565665297,6.416730343856827,1.3901874349273506,5.011870874715658,1.173174838396137,20786.9514285717,1400
0.87,65.0,83.0,4.490304383593841,1.0904138163129504,6.115584154433943,1.4231943401851364,4.739797884373951,1.2064694954472728,23024.908571428812,1324
