variant,train_trades,train_tpd,train_pf,train_net,test_trades,test_tpd,test_pf,test_net,all_trades,all_tpd,all_pf,all_net,score
L21-24_d1.0_mx0.0_r40_atr0.0002_none,1148,6.451703547593959,1.1731829011743165,20567.520000000026,746,8.640579127287351,1.4589654513029235,28455.811428571244,1894,6.780345311936755,1.2712041376455312,49023.33142857125,1.850257669801429
L21-24_d1.0_mx0.0_r40_atr0.0_none,1148,6.451703547593959,1.1731829011743165,20567.520000000026,750,8.686909310275487,1.4518214078217828,28150.725714285534,1898,6.794664943007372,1.2690622421112916,48718.24571428556,1.8479016607190066
L21-24_d1.0_mx0.0_r40_atr0.0004_none,1133,6.367404285212505,1.1708109962624047,20236.168571428643,725,8.397345666599637,1.471302507817462,28862.21142857126,1858,6.65146863230121,1.273208400450591,49098.37999999989,1.846462280366495
L21-24_d1.0_mx0.0_r38_atr0.0002_none,1116,6.272599531615925,1.1808863925172135,20645.361428571465,720,8.339432937864467,1.4555468331931647,27553.715714285532,1836,6.572710661412821,1.2760237160125274,48199.077142856986,1.8390427846061284
L21-24_d1.2_mx0.0_r40_atr0.0002_none,1097,6.165326672390915,1.1597576127483153,18439.077142857164,703,8.14252966016489,1.497836585960557,29103.45142857122,1800,6.443833981777275,1.2734231696780272,47542.528571428375,1.8375557629265291
L21-24_d1.0_mx0.0_r38_atr0.0004_none,1102,6.193911007025761,1.1784547899365174,20315.95000000007,701,8.119364568670822,1.4700785958849192,28074.61142857127,1803,6.454573705080238,1.2788006183140435,48390.56142857133,1.8367470871142937
L21-24_d1.0_mx0.0_r38_atr0.0_none,1116,6.272599531615925,1.1808863925172135,20645.361428571465,724,8.385763120852603,1.4482419068527834,27248.629999999826,1840,6.587030292483437,1.2737982027878758,47893.99142857129,1.8366137429848892
L21-24_d1.2_mx0.0_r40_atr0.0004_none,1087,6.10912497072828,1.1578006966453227,18171.495714285767,682,7.899296199477177,1.5114703969106968,29510.897142856957,1769,6.33285684098,1.2758553611909784,47682.392857142724,1.8360039777438508
L21-24_d1.2_mx0.0_r38_atr0.0002_none,1070,6.014051522248244,1.1733007856808721,19243.9485714286,690,7.991956565453449,1.5016617065727829,28698.831428571215,1760,6.300637671071113,1.284947676738294,47942.7799999998,1.83567346014673
L21-24_d1.2_mx0.0_r38_atr0.0004_none,1060,5.95784543325527,1.1712988960247868,18976.367142857205,671,7.771888196259803,1.5176595062422622,29219.72714285696,1731,6.196820345809146,1.2882108592351649,48196.09428571415,1.8353857894705239
L21-24_d1.2_mx0.0_r40_atr0.0_none,1097,6.165326672390915,1.1597576127483153,18439.077142857164,707,8.188859843153026,1.4900603746831096,28798.365714285515,1804,6.458153612847892,1.2711927513900474,47237.44285714267,1.8349607905646514
L22-24_d0.6_mx3.0_r35_atr0.0004_none,955,5.367053038285915,1.084590034677557,8207.54714285727,614,7.111683088678865,1.7216668092609342,31534.727142856922,1569,5.616875287449192,1.2824120552206293,39742.27428571419,1.8343589090691428
L21-24_d1.2_mx0.0_r38_atr0.0_none,1070,6.014051522248244,1.1733007856808721,19243.9485714286,694,8.038286748441584,1.4936958809813565,28393.745714285513,1764,6.31495730214173,1.2826219298942139,47637.694285714104,1.8329930570637394
L21-24_d1.0_mx0.0_r35_atr0.0002_none,1049,5.895903670888546,1.1628143721329394,17643.144285714214,683,7.910878745224211,1.5247192973609345,29507.33857142848,1732,6.200400253576801,1.286458284784336,47150.48285714269,1.8328215615494514
L21-24_d0.8_mx0.0_r40_atr0.0002_none,1188,6.67650158061117,1.1298933054238398,16013.794285714299,774,8.964890408204303,1.4269600169535372,27305.342857142674,1962,7.02377904013723,1.2313597424198484,43319.13714285698,1.8314656587343867
L22-24_d0.6_mx3.0_r35_atr0.0002_none,964,5.417632595714787,1.080876149525351,7890.477142857283,622,7.204343454655137,1.7085002304748782,31252.50285714264,1586,5.677733719499311,1.2762905293490099,39142.97999999993,1.8311781655212982
L21-24_d1.0_mx0.0_r35_atr0.0_none,1049,5.895903670888546,1.1628143721329394,17643.144285714214,686,7.945626382465313,1.5187081857423108,29286.009999999897,1735,6.211139976879763,1.2847244351531717,46929.15428571411,1.830800491488819
L22-24_d0.6_mx3.0_r35_atr0.0_none,964,5.417632595714787,1.080876149525351,7890.477142857283,626,7.250673637643273,1.704339079036904,31151.914285714054,1590,5.6920533505699265,1.2753515953364527,39042.39142857134,1.8301067609583201
L21-24_d1.0_mx0.0_r35_atr0.0004_none,1037,5.8284576803731385,1.159722185434247,17272.02285714282,667,7.725558013271667,1.53618491190591,29860.382857142748,1704,6.100162836082487,1.2876938063795067,47132.40571428556,1.8299664891994498
L21-24_d0.8_mx0.0_r40_atr0.0004_none,1171,6.5809624165788545,1.1305942727493037,16018.374285714352,753,8.721656947516589,1.4385305311042271,27711.74285714269,1924,6.887742544966376,1.2352981246772015,43730.117142857045,1.8291918805801968
L21-24_d0.8_mx0.0_r38_atr0.0002_none,1157,6.502283105022831,1.1659650198871705,19451.178571428634,742,8.594248944299215,1.4100004340018795,25574.307142856953,1899,6.798244850775025,1.2507311338044167,45025.485714285576,1.8287324228037367
L21-24_d0.8_mx0.0_r40_atr0.0_none,1188,6.67650158061117,1.1298933054238398,16013.794285714299,778,9.011220591192439,1.4201850624121126,27000.257142856975,1966,7.038098671207846,1.2293566188064606,43014.05142857128,1.8286937999222106
L21-24_d0.6_mx0.0_r38_atr0.0004_none,1179,6.625922023182297,1.1723475189748807,20366.721428571618,745,8.628996581540317,1.384468524707725,24367.147142857004,1924,6.887742544966376,1.2463980997284088,44733.868571428626,1.8284525977287178
L22-24_d0.8_mx3.0_r35_atr0.0004_none,940,5.282753775904461,1.067056649341566,6500.231428571559,605,7.00744017695556,1.7418765310444415,32343.237142856924,1545,5.530957501025495,1.2764011638593034,38843.46857142848,1.8281277592251168
L21-24_d0.6_mx0.0_r38_atr0.0002_none,1196,6.7214611872146115,1.1688510665898895,20096.86428571446,766,8.872230042228031,1.3687811508926104,23709.745714285542,1962,7.02377904013723,1.2389710890249557,43806.61,1.8276093295403044
L21-24_d0.8_mx0.0_r35_atr0.0002_none,1082,6.081380144805917,1.143356799090218,16042.532857142778,700,8.107782022923788,1.5044093675391608,28895.918571428454,1782,6.379395641959502,1.2656047222766198,44938.451428571236,1.827456332798164
L21-24_d1.2_mx0.0_r35_atr0.0002_none,1019,5.727288694600027,1.1522063407220786,16255.274285714222,666,7.713975467524633,1.5522638572087992,30081.825714285587,1685,6.032144588497061,1.2873304278527287,46337.09999999981,1.8271350992242363
L21-24_d0.8_mx0.0_r38_atr0.0004_none,1141,6.4123638918159465,1.1669131199622056,19457.698571428675,723,8.37418057510557,1.4235230621834525,26095.20285714269,1864,6.672948078907134,1.255644583134099,45552.901428571364,1.827070420288564
L21-24_d0.8_mx0.0_r38_atr0.0_none,1157,6.502283105022831,1.1659650198871705,19451.178571428634,746,8.640579127287351,1.403137614463531,25269.221428571254,1903,6.812564481845642,1.2486098514108004,44720.39999999988,1.826478964729416
L22-24_d0.6_mx0.0_r35_atr0.0002_none,978,5.496311907270812,1.0413448103108953,4243.312857142884,626,7.250673637643273,1.7350339346209995,32431.03285714262,1604,5.742172059317083,1.2499033563235205,36674.345714285504,1.8262894715816749
L22-24_d0.6_mx0.0_r35_atr0.0004_none,966,5.428872497365648,1.0413180165719989,4218.452857142898,616,7.134848180172933,1.7472828836705985,32662.31714285691,1582,5.663414088428694,1.252945366587546,36880.76999999981,1.8260021268605355
L21-24_d1.2_mx0.0_r35_atr0.0004_none,1010,5.676704201713472,1.14937018047293,15922.61285714283,650,7.528654735572089,1.5643825348681752,30434.86999999985,1660,5.942646894305709,1.288787950997146,46357.482857142684,1.8255780423924486
L21-24_d0.8_mx0.0_r35_atr0.0004_none,1068,6.002693155871275,1.1437637901014328,16007.342857142816,684,7.922461290971245,1.5154676493368364,29248.962857142724,1752,6.271998408929881,1.2692428230778363,45256.30571428553,1.825540299452295
L21-24_d0.8_mx0.0_r35_atr0.0_none,1082,6.081380144805917,1.143356799090218,16042.532857142778,703,8.14252966016489,1.4985876769620308,28674.589999999873,1785,6.390135365262465,1.2639455911951296,44717.122857142655,1.825516503811989
L22-24_d0.6_mx0.0_r35_atr0.0_none,978,5.496311907270812,1.0413448103108953,4243.312857142884,631,7.308586366378443,1.7311411067858837,32345.394285714036,1609,5.760071598155354,1.249119854996673,36588.70714285692,1.8254862631275455
L21-24_d1.2_mx0.0_r35_atr0.0_none,1019,5.727288694600027,1.1522063407220786,16255.274285714222,669,7.748723104765735,1.5459455183025406,29860.497142857006,1688,6.042884311800023,1.285559606258896,46115.771428571235,1.8249991052203975
L21-24_d0.6_mx0.0_r38_atr0.0_none,1196,6.7214611872146115,1.1688510665898895,20096.86428571446,770,8.918560225216167,1.3623165499099237,23404.659999999843,1966,7.038098671207846,1.2369125146039386,43501.5242857143,1.8249350043121606
L22-24_d0.8_mx3.0_r35_atr0.0002_none,949,5.333333333333333,1.0634355578991959,6183.161428571572,612,7.088517997184797,1.7281445167659952,32045.812857142646,1561,5.5882360253079595,1.270204230139968,38228.97428571422,1.8246233131731286
L22-24_d1.0_mx3.0_r35_atr0.0_none,926,5.204074464348437,1.0840198524408926,7930.232857142993,604,6.995857631208526,1.721697582509241,31532.494285714085,1530,5.477258884510684,1.2858016118088675,39462.72714285708,1.8242497428414566
L22-24_d1.0_mx3.0_r35_atr0.0002_none,926,5.204074464348437,1.0840198524408926,7930.232857142993,600,6.94952744822039,1.7259568863435222,31633.082857142675,1526,5.462939253440068,1.2867747429246545,39563.31571428568,1.8239724346741437
L22-24_d1.0_mx3.0_r35_atr0.0004_none,919,5.164734808570425,1.0839972839771974,7911.371428571549,593,6.868449627991152,1.7398066206460872,31930.507142856954,1512,5.412820544692911,1.2900826351208765,39841.87857142851,1.8238562485268885
L22-24_d0.8_mx3.0_r35_atr0.0_none,949,5.333333333333333,1.0634355578991959,6183.161428571572,616,7.134848180172933,1.723921448300196,31945.22428571406,1565,5.602555656378575,1.269269089256176,38128.38571428563,1.8235309962761652
L22-24_d1.2_mx0.0_r35_atr0.0_none,922,5.181594661046716,1.037063604093382,3646.368571428585,597,6.914779810979288,1.7902147453865893,33788.74714285692,1519,5.437879899066489,1.2652333123346418,37435.1157142855,1.8230005149083577
L22-24_d0.6_mx3.0_r40_atr0.0004_none,1038,5.833508956796628,1.0961573822322648,9945.698571428886,666,7.713975467524633,1.595506309342914,29352.20142857122,1704,6.100162836082487,1.2573183312440115,39297.9000000001,1.822557740447313
L22-24_d1.2_mx3.0_r35_atr0.0004_none,901,5.06357569371268,1.0749786536455836,6980.051428571548,580,6.717876533279711,1.7770840770212295,32805.69999999982,1481,5.301843403895636,1.2940335185862422,39785.75142857136,1.82254596241623
L22-24_d1.2_mx0.0_r35_atr0.0002_none,922,5.181594661046716,1.037063604093382,3646.368571428585,592,6.8568670822441184,1.7944059273656703,33874.385714285505,1514,5.4199803602282195,1.2660621162119212,37520.754285714094,1.8221798259609063
L22-24_d1.0_mx0.0_r35_atr0.0002_none,942,5.293993677555322,1.042684790647911,4246.0085714286,605,7.00744017695556,1.756285023639978,32962.952857142656,1547,5.538117316560803,1.2600953453247272,37208.96142857126,1.8220030070547983
L21-24_d0.6_mx0.0_r35_atr0.0002_none,1111,6.244374621884819,1.1600694047034135,18051.231428571387,715,8.281520209129297,1.444246825090441,26204.81285714274,1826,6.536911583736281,1.2576646082512843,44256.04428571413,1.8218513040841016
L22-24_d1.2_mx3.0_r35_atr0.0_none,905,5.086055497014401,1.074278993045662,6929.712857142988,591,6.8452845364970845,1.7581115656139419,32407.68714285695,1496,5.3555420204104465,1.289158521753927,39337.39999999994,1.8213302817034094
L22-24_d0.8_mx0.0_r35_atr0.0004_none,951,5.3445732349841935,1.0246174848962326,2511.1371428571856,607,7.030605268449628,1.7704692178651682,33598.27714285691,1558,5.577496302004997,1.2479807226271726,36109.414285714105,1.8213135396216502
