variant,train_trades,train_tpd,train_pf,train_net,test_trades,test_tpd,test_pf,test_net,all_trades,all_tpd,all_pf,all_net,score
adapt_p11_base,792,4.467740039957691,1.044567766279645,3473.3057142859216,545,6.312487432133521,1.4968339825504002,20211.091428571457,1337,4.786336685353454,1.1996780836852363,23684.397142857382,2.021726457649798
nonadapt_d10_r64_85_a3,805,4.541074156775179,1.0664009644643937,5065.838571428825,521,6.034506334204705,1.411744919132672,16033.517142857138,1326,4.7469576999092595,1.183103181185773,21099.355714285968,1.9826394208903468
nonadapt_d09_r66_85_a3,739,4.1687624867787045,1.1320956040454422,8809.732857143035,503,5.826020510758093,1.4177070211824834,15959.517142857107,1242,4.44624544742632,1.2361235330488591,24769.25000000014,1.9626477809169816
adapt_p11_actcap30_rmax90,776,4.377482665413091,1.0689981518289948,5087.9828571430735,531,6.150331791675045,1.3488141612131048,14489.101428571399,1307,4.678939452323832,1.1698234710469835,19577.084285714474,1.9608493584595403
base_nonadapt,689,3.88670819132683,1.1499372155705772,9501.8471428573,472,5.4669615926000406,1.4787925791479222,16872.209999999963,1161,4.1562729182463425,1.26745484291803,26374.05714285727,1.9295169134778654
nonadapt_d11_r64_85_a3,779,4.394405923140204,1.0698020796927337,5242.392857143055,485,5.6175346873114815,1.3397124071442252,13028.358571428595,1264,4.525003418314709,1.161039889346514,18270.751428571653,1.9059461002187776
adapt_p10_actcap25_rmax90,773,4.3605594076859795,1.016184096904174,1203.7071428573654,520,6.022923788457671,1.2768592111441441,11256.847142857176,1293,4.628820743576676,1.1083196548907026,12460.554285714545,1.8974058245253296
nonadapt_d10_r66_82_a4,665,3.7513221295099304,1.0863223726466298,5506.494285714503,464,5.374301226623769,1.521169578538154,17624.298571428582,1129,4.041715869681413,1.2369795430480908,23130.79285714309,1.8912626492395934
nonadapt_d10_r66_85_h12,717,4.04465859677988,1.0863379164781073,5910.9414285716175,476,5.513291775588176,1.3949863189932912,14602.818571428503,1193,4.270829966811272,1.1945662144155405,20513.760000000122,1.8903804166615954
adapt_p11_actcap25_rmax90,765,4.315430720413679,1.0218632359465385,1607.475714285938,513,5.941845968228433,1.2751296958689093,11118.499999999978,1278,4.575122127061865,1.1116940769602037,12725.97571428592,1.8874368346178725
adapt_p12_actcap25_rmax90,753,4.24773768950523,1.0152332561026858,1109.7585714287925,514,5.953428513975467,1.2872266426803027,11607.359999999982,1267,4.5357431416176714,1.112279656743963,12717.118571428779,1.8834367393956069
adapt_p11_actd10_cap25,744,4.196967916323892,1.0166697573139465,1212.5357142859284,492,5.6986125075407195,1.3197902479701664,12014.89285714283,1236,4.424766000820396,1.119911612584686,13227.428571428763,1.8639021715907926
adapt_p11_actr66_90,705,3.97696556587143,1.0447710106878327,2935.1700000001456,479,5.548039412829278,1.2894386029792964,10914.577142857102,1184,4.238610796902385,1.1341131998045948,13849.747142857252,1.8336807928320855
