variant,train_tpd,train_pf,train_net,test_tpd,test_pf,test_net,all_tpd,all_pf,all_net,all_trades,score
L21-24_d0.8_mx0.0_r35_atr0.0002_none,6.081380144805917,1.143356799090218,16042.532857142778,8.107782022923788,1.5044093675391608,28895.918571428454,6.379395641959502,1.2656047222766198,44938.451428571236,1782,2.0928427586501117
L21-24_d1.0_mx0.0_r35_atr0.0002_none,5.895903670888546,1.1628143721329394,17643.144285714214,7.910878745224211,1.5247192973609345,29507.33857142848,6.200400253576801,1.286458284784336,47150.48285714269,1732,2.092183842405666
L21-24_d0.8_mx0.0_r35_atr0.0_none,6.081380144805917,1.143356799090218,16042.532857142778,8.14252966016489,1.4985876769620308,28674.589999999873,6.390135365262465,1.2639455911951296,44717.122857142655,1785,2.091880612457604
L21-24_d1.0_mx0.0_r35_atr0.0_none,5.895903670888546,1.1628143721329394,17643.144285714214,7.945626382465313,1.5187081857423108,29286.009999999897,6.211139976879763,1.2847244351531717,46929.15428571411,1735,2.091148189460399
L22-24_d0.8_mx0.0_r35_atr0.0_none,5.412012644889357,1.0247314554068314,2535.9971428571694,7.192760908908103,1.7536671038240472,33266.15428571403,5.670573903964002,1.244082691999796,35802.151428571204,1584,2.0470859724040484
L22-24_d0.8_mx0.0_r35_atr0.0002_none,5.412012644889357,1.0247314554068314,2535.9971428571694,7.134848180172933,1.7576290966116408,33351.792857142624,5.6526743651257325,1.2448631687354395,35887.7899999998,1579,2.0465596835745954
L22-24_d1.0_mx0.0_r35_atr0.0_none,5.293993677555322,1.042684790647911,4246.0085714286,7.065352905690729,1.7522871351333196,32877.31428571406,5.556016855399073,1.2592832382104568,37123.32285714266,1552,2.045093800358875
L22-24_d1.0_mx0.0_r35_atr0.0002_none,5.293993677555322,1.042684790647911,4246.0085714286,7.00744017695556,1.756285023639978,32962.952857142656,5.538117316560803,1.2600953453247272,37208.96142857126,1547,2.0445875560917073
L22-24_d0.8_mx2.0_r35_atr0.0002_none,5.086055497014401,1.0994557994340954,8765.907142857319,6.8568670822441184,1.6694506732063565,28017.0357142855,5.359121928178101,1.2829685538904207,36782.942857142814,1497,2.0200211589517765
L22-24_d0.8_mx2.0_r35_atr0.0_none,5.086055497014401,1.0994557994340954,8765.907142857319,6.868449627991152,1.6655891032493402,27920.007142856928,5.362701835945755,1.2820116169923148,36685.91428571425,1498,2.019657956612302
L21-24_d0.8_mx2.0_r35_atr0.0002_none,5.586667187073104,1.1452021261859726,13727.571428571579,7.632897647295395,1.4041390691437043,21909.654285714147,5.917587539932131,1.2395711039928632,35637.225714285734,1653,2.0129439392231347
L21-24_d0.8_mx2.0_r35_atr0.0_none,5.586667187073104,1.1452021261859726,13727.571428571579,7.656062738789463,1.3988693319091354,21705.425714285586,5.9247473554674395,1.237871598218457,35432.997142857166,1655,2.011747659446981
L21-24_d1.0_mx2.0_r35_atr0.0002_none,5.367471995628586,1.177529329005327,16007.690000000142,7.389664186607681,1.4079670333766159,21500.23857142846,5.702793073872889,1.2625315203709293,37507.9285714286,1593,2.0085394301125996
L21-24_d1.0_mx2.0_r35_atr0.0_none,5.367471995628586,1.177529329005327,16007.690000000142,7.412829278101749,1.4025318896175485,21296.009999999897,5.709952889408196,1.2607293463080262,37303.70000000004,1595,2.0072658648043475
L21-24_d0.8_mx0.0_r30_atr0.0002_none,5.282753775904461,1.1311795032552932,12807.405714285824,7.366499095113613,1.4794354233778386,25702.937142857092,5.64193464182277,1.2546247507638157,38510.34285714291,1576,2.0059658586078957
L21-24_d0.8_mx0.0_r30_atr0.0_none,5.282753775904461,1.1311795032552932,12807.405714285824,7.389664186607681,1.4759807770719104,25578.63714285708,5.649094457358078,1.2535883482257097,38386.0428571429,1578,2.0054554376966074
L21-24_d1.0_mx0.0_r30_atr0.0002_none,5.237794169301019,1.1391565683983307,13429.04142857155,7.273838729137341,1.482929466224776,25561.604285714235,5.584656117540305,1.2609232071733052,38990.64571428578,1560,2.005310242920464
L21-24_d1.0_mx0.0_r30_atr0.0_none,5.237794169301019,1.1391565683983307,13429.04142857155,7.297003820631409,1.4794220833129363,25437.30428571422,5.591815933075614,1.2598688725608895,38866.345714285766,1562,2.0047803616316897
L22-24_d1.0_mx2.0_r35_atr0.0002_none,4.939936775553214,1.1280549408210838,10819.025714285886,6.694711441785643,1.6461187214611814,26740.66999999981,5.215925617471939,1.298391227889623,37559.69571428569,1457,2.0043084791684103
L22-24_d1.0_mx2.0_r35_atr0.0_none,4.939936775553214,1.1280549408210838,10819.025714285886,6.706293987532677,1.642268516538387,26643.641428571238,5.219505525239593,1.297391148322591,37462.66714285713,1458,2.0039330181533677
L22-24_d1.0_mx0.0_r30_atr0.0_none,4.896462569044541,1.0280177709225118,2621.5200000001305,6.578885984315303,1.7101558826758831,29778.772857142696,5.140747554351204,1.2391182163207457,32400.292857142824,1436,1.9612538437627454
L22-24_d1.0_mx0.0_r30_atr0.0002_none,4.896462569044541,1.0280177709225118,2621.5200000001305,6.532555801327167,1.710235879782985,29767.38285714272,5.126427923280588,1.2390707850644878,32388.902857142846,1432,1.957508769843362
L22-24_d0.8_mx0.0_r30_atr0.0_none,4.9415912563168405,1.0187235304421869,1776.7642857144097,6.625216167303439,1.6770185379520597,28908.775714285544,5.183706447563052,1.2230137247142603,30685.539999999954,1448,1.95162177387003
L22-24_d0.8_mx0.0_r30_atr0.0002_none,4.9415912563168405,1.0187235304421869,1776.7642857144097,6.578885984315303,1.677080978077223,28897.385714285563,5.169386816492437,1.22296458584607,30674.149999999976,1444,1.9478717130409857
L20-24_d0.8_mx0.0_r35_atr0.0002_none,6.559122577623388,1.0576030404428516,7350.852857142776,8.999638045445405,1.052213797606532,4315.779999999706,6.959340700319458,1.0554845415531495,11666.632857142478,1944,1.9428078690878943
L20-24_d0.8_mx0.0_r35_atr0.0_none,6.559122577623388,1.0576030404428516,7350.852857142776,9.034385682686507,1.0494016173945084,4094.451428571125,6.970080423622419,1.054373759787464,11445.3042857139,1947,1.9427900227471944
L20-24_d0.8_mx2.0_r35_atr0.0002_none,6.036298349010577,1.1389625467027336,14354.301428571542,8.339432937864467,1.0905681202687598,6534.664285714067,6.422354535171351,1.1190606453613303,20888.9657142856,1794,1.941289346136474
L20-24_d0.8_mx2.0_r35_atr0.0_none,6.036298349010577,1.1389625467027336,14354.301428571542,8.362598029358535,1.0874899416197326,6330.435714285504,6.429514350706659,1.1177595288875812,20684.737142857037,1796,1.940780392261936
L20-24_d1.0_mx0.0_r35_atr0.0002_none,6.356784606077165,1.0756837997714719,9309.275714285674,8.756404584757691,1.0395798738536475,3253.769999999734,6.755285957563177,1.061220461779414,12563.04571428541,1887,1.9257716757853927
L20-24_d1.0_mx0.0_r35_atr0.0_none,6.356784606077165,1.0756837997714719,9309.275714285674,8.791152221998793,1.0367868845356458,3032.4414285711555,6.766025680866139,1.060076048282015,12341.717142856829,1890,1.9257468560620987
L20-24_d1.0_mx2.0_r35_atr0.0002_none,5.800241988993403,1.1768968391795926,17310.611428571556,8.038286748441584,1.0609894102597073,4373.9357142855315,6.1789208069708765,1.127877046156553,21684.54714285709,1726,1.9221206092117065
L20-24_d1.0_mx2.0_r35_atr0.0_none,5.800241988993403,1.1768968391795926,17310.611428571556,8.061451839935652,1.0579765805041177,4169.707142856966,6.186080622506184,1.1265203026186796,21480.31857142853,1728,1.921608523088084
