blocked,train_tpd,train_pf,test_tpd,test_pf,all_tpd,all_pf,all_net,all_trades
3,4.682101304501116,1.065614127255864,6.300904886386487,1.3864135470251362,4.918793272756654,1.1763078484429306,20860.660000000276,1374
"2,3",4.304148548595604,1.0716313219965774,5.490126684094108,1.5470855177380858,4.428345908588049,1.2182245046141016,22459.457142857485,1237
"3,4",4.123633799506405,1.1452854178093075,5.455379046853007,1.2196620655947124,4.303049136720158,1.1736472045489423,17708.6600000002,1202
"2,3,4",3.734398871782818,1.1531437916791905,4.633018298813593,1.3327459057602415,3.8018620492485926,1.2149471418259918,18610.167142857415,1062
4,4.783640850863791,1.0375200172303118,6.439895435350895,1.1761338421708538,5.026190505786275,1.087697016172102,11271.480000000149,1404
