run_id,stage,count
"full2025_i_child_stop_extreme_mode2","symbols_scanned","445734"
"full2025_i_child_stop_extreme_mode2","parent_anchor_states_available","4453"
"full2025_i_child_stop_extreme_mode2","parent_flips_detected","4453"
"full2025_i_child_stop_extreme_mode2","parent_wave1_confirmed","4453"
"full2025_i_child_stop_extreme_mode2","parent_wave2_pending","4445"
"full2025_i_child_stop_extreme_mode2","parent_wave2_started_first_close","0"
"full2025_i_child_stop_extreme_mode2","parent_wave2_started_confirmed_pivot","0"
"full2025_i_child_stop_extreme_mode2","parent_wave2_started_child_trend","3963"
"full2025_i_child_stop_extreme_mode2","child_countertrend_confirmed","4373"
"full2025_i_child_stop_extreme_mode2","child_anchor_created","3964"
"full2025_i_child_stop_extreme_mode2","child_anchor_updated","4160"
"full2025_i_child_stop_extreme_mode2","child_flip_detected","3143"
"full2025_i_child_stop_extreme_mode2","fresh_first_flip_signal","3142"
"full2025_i_child_stop_extreme_mode2","valid_candidate","174"
"full2025_i_child_stop_extreme_mode2","signal_reserved","174"
"full2025_i_child_stop_extreme_mode2","portfolio_selected","174"
"full2025_i_child_stop_extreme_mode2","trades_taken","173"
"full2025_i_child_stop_extreme_mode2","candidate_invalid","2968"
"full2025_i_child_stop_extreme_mode2","position_cap_reject","1"
"full2025_i_child_stop_extreme_mode2","risk_reject","0"
"full2025_i_child_stop_extreme_mode2","order_failure","0"
"full2025_i_child_stop_extreme_mode2","expired","1"
"full2025_i_child_stop_extreme_mode2","parent_invalidated","495"
"full2025_i_child_stop_extreme_mode2","signals_consumed","3143"
