"variant","hold","r","cooldown","trades","expectancy","pf","dd","losses","stops","net"
"v2_4_h30_r135_cd6","30","1.35","6","60","0.21261904788182","1.60888016189011","9.98069498069497","5","0","13.57"
"v2_4_h30_r125_cd6","30","1.25","6","62","0.211922901747096","1.61724548640133","9.40732862805763","5","0","14.92"
"v2_4_h25_r125_cd6","25","1.25","6","66","0.221596495354199","1.70025687975907","8.34296724470135","3","0","16.7"
"v2_4_h30_r125_cd4","30","1.25","4","63","0.209210126644099","1.59095577375092","9.64437572477774","5","0","14.72"
"v2_4_h25_r120_cd4","25","1.2","4","67","0.234513771371176","1.75276606614799","8.70743034055728","3","0","18.22"
"v2_4_h20_r120_cd4","20","1.2","4","67","0.242372072158212","1.86167871509122","11.3078625733808","4","0","19.48"
