period_id,variant,entry_pattern,entry_trigger,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,failure_exits,failure_exit_rate,avg_mfe_r,avg_mae_r
full2025_validation,base,bos_down,first_pullback_after_bos,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,0,0.0,1.3029,0.8229
full2025_validation,base,bos_up,first_pullback_after_bos,1,0,0.0,-24.97,0,-24.97,0.0,-1.0721,-1.0721,0.0,24.97,0.2497,-1.0,1,1.0,0,0.0,0,0.0,0,0.0,1.018,1.0721
full2025_validation,base,choch_up,first_pullback_after_choch,1,0,0.0,-3.7,0,-3.7,0.0,-0.1674,-0.1674,0.0,3.7,0.037,-1.0,0,0.0,0,0.0,1,1.0,0,0.0,0.0928,0.233
full2025_validation,base,double_bottom,neckline_break_retest,71,23,0.323943661971831,24.940000000000012,595.2299999999999,-570.2900000000001,1.0437321362815406,1.4843999999999986,0.020907042253521108,1.0597805950674166,148.06,1.4806,0.16844522490882083,4,0.056338028169014086,19,0.2676056338028169,48,0.676056338028169,0,0.0,0.6354042253521126,0.5827661971830986
full2025_validation,base,double_top,neckline_break_retest,119,37,0.31092436974789917,-307.5999999999996,982.8800000000001,-1290.4799999999998,0.7616390800322362,-13.139499999999995,-0.11041596638655457,0.7637978579209825,532.1299999999999,5.321299999999999,-0.578054234867419,28,0.23529411764705882,31,0.2605042016806723,60,0.5042016806722689,0,0.0,0.7455294117647057,0.6757563025210085
full2025_validation,base,head_and_shoulders,neckline_break_retest,144,35,0.24305555555555555,-429.21000000000004,739.7599999999999,-1168.97,0.6328306115640263,-19.402999999999988,-0.13474305555555546,0.6239531913491596,453.1200000000001,4.531200000000001,-0.9472325211864405,10,0.06944444444444445,18,0.125,116,0.8055555555555556,0,0.0,0.6229499999999999,0.4842020833333333
full2025_validation,base,inverse_head_and_shoulders,neckline_break_retest,134,32,0.23880597014925373,-290.07999999999987,647.78,-937.8599999999998,0.6907001044932081,-13.109300000000008,-0.09783059701492543,0.6801548806433354,406.59999999999997,4.066,-0.7134284308903096,0,0.0,20,0.14925373134328357,114,0.8507462686567164,0,0.0,0.45644552238805985,0.5280462686567161
full2025_validation,req_fibroom,bos_down,first_pullback_after_bos,1,1,1.0,29.96,29.96,0,inf,1.3049,1.3049,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,0,0.0,1.311,0.8598
full2025_validation,req_fibroom,bos_up,first_pullback_after_bos,1,1,1.0,10.79,10.79,0,inf,0.4536,0.4536,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0,0.0,1.1639,0.5683
full2025_validation,req_fibroom,double_bottom,neckline_break_retest,29,12,0.41379310344827586,74.32999999999998,274.52000000000004,-200.19000000000003,1.371297267595784,3.4251999999999994,0.11811034482758619,1.4026709929228094,56.99,0.5699,1.3042639059484116,2,0.06896551724137931,8,0.27586206896551724,19,0.6551724137931034,0,0.0,0.7069965517241379,0.5770034482758623
full2025_validation,req_fibroom,double_top,neckline_break_retest,44,13,0.29545454545454547,-159.51000000000002,319.7900000000001,-479.29999999999984,0.6672021698310039,-6.853500000000001,-0.15576136363636367,0.6670730996424684,161.46000000000004,1.6146000000000005,-0.9879227053140096,10,0.22727272727272727,10,0.22727272727272727,24,0.5454545454545454,0,0.0,0.7754204545454546,0.6755295454545455
