run_id,period_id,variant,scenario_key,scenario_mode,scenario_name,from_date,to_date,preset,tester_ini,log_folder,note,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSecondaryEntryTF,InpRequireStructureTFConfirmation,InpRequireH4H1Wave3Alignment,InpRequireFibPullbackZone,InpRequireRetestCloseBeyondNeckline,InpRequireM15Wave1Candidate,InpRequireM15Wave2Pullback,InpRequireM5CorrectiveWave,InpRequireM5CorrectiveInvalidation,InpRequirePostBreakAcceptance,InpUseContextFibRoom,InpRequireContextFibRoom,InpUseM15Wave2FibZone,InpRequireM15Wave2FibZone,InpUseSma75GranvilleDiagnostic,InpUseSma75GranvilleScore,InpRequireSma75Granville,InpUseNestedThirdWaveLaunch,InpNestedThirdWaveMode
q1_base,q1_quick,base,all_symbols_first120,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_base.ini,fx_session_reversal_nested_launch_q1_base,"Previous c10 baseline: transcript context, relaxed retest, M5 failure exit.",16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,0
q1_diag,q1_quick,diag,all_symbols_first120,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_diag.ini,fx_session_reversal_nested_launch_q1_diag,Detect nested third-wave launch but do not use it for entry.,16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,1
q1_score,q1_quick,score,all_symbols_first120,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_score.ini,fx_session_reversal_nested_launch_q1_score,Add nested structure score without required gates.,16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,2
q1_req_m5inv,q1_quick,req_m5inv,all_symbols_first120,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_req_m5inv.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_req_m5inv.ini,fx_session_reversal_nested_launch_q1_req_m5inv,Require M5 corrective wave and its invalidation; keep M15 diagnostics soft.,16385,15,5,5,false,true,false,true,false,false,true,true,false,false,false,false,false,true,false,false,true,3
q1_req_m15w2_m5inv,q1_quick,req_m15w2_m5inv,all_symbols_first120,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_req_m15w2_m5inv.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_req_m15w2_m5inv.ini,fx_session_reversal_nested_launch_q1_req_m15w2_m5inv,"Require M15 wave2 candidate, M5 invalidation, and post-break acceptance.",16385,15,5,5,false,true,false,true,false,true,true,true,true,false,false,false,false,true,false,false,true,3
q1_score_fibroom,q1_quick,score_fibroom,all_symbols_first120,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_score_fibroom.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_score_fibroom.ini,fx_session_reversal_nested_launch_q1_score_fibroom,Score nested structure plus H1 context fib room.,16385,15,5,5,false,true,false,true,false,false,false,false,false,true,false,false,false,true,true,false,true,2
q1_req_fibroom,q1_quick,req_fibroom,all_symbols_first120,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_req_fibroom.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_req_fibroom.ini,fx_session_reversal_nested_launch_q1_req_fibroom,Restrictive fib-room diagnostic; not promotable if trade count dies.,16385,15,5,5,false,true,false,true,false,false,false,false,false,true,true,true,false,true,false,false,true,3
full2025_all_base,full2025_validation,base,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_base.ini,fx_session_reversal_nested_launch_full2025_all_base,"Previous c10 baseline: transcript context, relaxed retest, M5 failure exit.",16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,0
full2025_all_diag,full2025_validation,diag,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_diag.ini,fx_session_reversal_nested_launch_full2025_all_diag,Detect nested third-wave launch but do not use it for entry.,16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,1
full2025_all_score,full2025_validation,score,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_score.ini,fx_session_reversal_nested_launch_full2025_all_score,Add nested structure score without required gates.,16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,2
