run_id,period_id,variant,scenario_key,scenario_mode,scenario_name,from_date,to_date,preset,tester_ini,log_folder,note,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSecondaryEntryTF,InpRequireStructureTFConfirmation,InpRequireH4H1Wave3Alignment,InpRequireFibPullbackZone,InpRequireRetestCloseBeyondNeckline,InpRequireM15Wave1Candidate,InpRequireM15Wave2Pullback,InpRequireM5CorrectiveWave,InpRequireM5CorrectiveInvalidation,InpRequirePostBreakAcceptance,InpUseContextFibRoom,InpRequireContextFibRoom,InpUseM15Wave2FibZone,InpRequireM15Wave2FibZone,InpUseSma75GranvilleDiagnostic,InpUseSma75GranvilleScore,InpRequireSma75Granville,InpUseNestedThirdWaveLaunch,InpNestedThirdWaveMode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,failure_exits,failure_exit_rate,avg_mfe_r,avg_mae_r,daily_or_dd_stopped,passed_2025_gate
full2025_all_base,full2025_validation,base,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_base.ini,fx_session_reversal_nested_launch_full2025_all_base,"Previous c10 baseline: transcript context, relaxed retest, M5 failure exit.",16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,0,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0,0.0,0.5970767295597484,0.5698836477987422,False,False
full2025_all_diag,full2025_validation,diag,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_diag.ini,fx_session_reversal_nested_launch_full2025_all_diag,Detect nested third-wave launch but do not use it for entry.,16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,False,False
full2025_all_score,full2025_validation,score,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_score.ini,fx_session_reversal_nested_launch_full2025_all_score,Add nested structure score without required gates.,16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,2,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0,0.0,0.5970767295597484,0.5698836477987422,False,False
full2025_all_req_m5inv,full2025_validation,req_m5inv,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_req_m5inv.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_req_m5inv.ini,fx_session_reversal_nested_launch_full2025_all_req_m5inv,Require M5 corrective wave and its invalidation; keep M15 diagnostics soft.,16385,15,5,5,false,true,false,true,false,false,true,true,false,false,false,false,false,true,false,false,true,3,90,22,0.24444444444444444,-442.32000000000005,420.08,-862.4,0.48710575139146567,-18.655599999999996,-0.2072844444444444,0.49336273572607964,471.69000000000005,4.7169,-0.9377345290338994,12,0.13333333333333333,10,0.1111111111111111,68,0.7555555555555555,0,0.0,0.5889133333333331,0.6045811111111108,False,False
full2025_all_req_m15w2_m5inv,full2025_validation,req_m15w2_m5inv,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_req_m15w2_m5inv.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_req_m15w2_m5inv.ini,fx_session_reversal_nested_launch_full2025_all_req_m15w2_m5inv,"Require M15 wave2 candidate, M5 invalidation, and post-break acceptance.",16385,15,5,5,false,true,false,true,false,true,true,true,true,false,false,false,false,true,false,false,true,3,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,False,False
full2025_all_score_fibroom,full2025_validation,score_fibroom,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_score_fibroom.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_score_fibroom.ini,fx_session_reversal_nested_launch_full2025_all_score_fibroom,Score nested structure plus H1 context fib room.,16385,15,5,5,false,true,false,true,false,false,false,false,false,true,false,false,false,true,true,false,true,2,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0,0.0,0.5970767295597484,0.5698836477987422,False,False
full2025_all_req_fibroom,full2025_validation,req_fibroom,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_req_fibroom.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_req_fibroom.ini,fx_session_reversal_nested_launch_full2025_all_req_fibroom,Restrictive fib-room diagnostic; not promotable if trade count dies.,16385,15,5,5,false,true,false,true,false,false,false,false,false,true,true,true,false,true,false,false,true,3,185,47,0.25405405405405407,-608.5,965.7099999999995,-1574.2099999999991,0.6134569085446033,-26.183399999999995,-0.14153189189189186,0.615567353602744,608.5,6.085,-1.0,15,0.08108108108108109,26,0.14054054054054055,144,0.7783783783783784,0,0.0,0.6001718918918919,0.5647654054054053,False,False
full2025_one_base,full2025_validation,base,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_base.ini,fx_session_reversal_nested_launch_full2025_one_base,"Previous c10 baseline: transcript context, relaxed retest, M5 failure exit.",16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,0,79,25,0.31645569620253167,0.6299999999999919,662.8100000000001,-662.18,1.0009514029417985,0.3585000000000005,0.00453797468354431,1.0129665329624822,248.15000000000003,2.4815000000000005,0.0025387870239774,6,0.0759493670886076,20,0.25316455696202533,53,0.6708860759493671,0,0.0,0.6167430379746836,0.5544531645569618,False,False
full2025_one_diag,full2025_validation,diag,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_diag.ini,fx_session_reversal_nested_launch_full2025_one_diag,Detect nested third-wave launch but do not use it for entry.,16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,False,False
full2025_one_score,full2025_validation,score,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_score.ini,fx_session_reversal_nested_launch_full2025_one_score,Add nested structure score without required gates.,16385,15,5,5,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,False,False
