period_id,variant,month,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,failure_exits,failure_exit_rate,avg_mfe_r,avg_mae_r
full2025_validation,base,2025-01,47,11,0.23404255319148937,-363.81,170.16,-533.9699999999999,0.31866958817911123,-14.753400000000001,-0.3139021276595745,0.3300091279410362,363.81,3.6381000000000006,-1.0,12,0.2553191489361702,5,0.10638297872340426,30,0.6382978723404256,0,0.0,0.5259829787234043,0.6244595744680849
full2025_validation,base,2025-02,44,7,0.1590909090909091,-406.2499999999999,75.54000000000002,-481.7899999999999,0.15679030282903347,-17.441300000000002,-0.39639318181818184,0.15410693153820787,406.2499999999999,4.062499999999999,-1.0,6,0.13636363636363635,2,0.045454545454545456,36,0.8181818181818182,0,0.0,0.3946840909090909,0.5679272727272727
full2025_validation,base,2025-03,72,21,0.2916666666666667,-112.0,473.03000000000003,-585.0299999999997,0.8085568261456682,-4.726100000000001,-0.06564027777777778,0.812339433694802,205.26999999999998,2.0526999999999997,-0.5456228382130852,8,0.1111111111111111,13,0.18055555555555555,51,0.7083333333333334,0,0.0,0.628652777777778,0.5431125000000001
full2025_validation,base,2025-04,146,52,0.3561643835616438,313.9300000000001,1394.38,-1080.45,1.2905548614003426,12.810700000000004,0.08774452054794524,1.2680130045105733,211.94,2.1194,1.4812211003114095,9,0.06164383561643835,45,0.3082191780821918,92,0.6301369863013698,0,0.0,0.7543232876712328,0.5722335616438354
full2025_validation,base,2025-05,31,9,0.2903225806451613,-59.59,182.07,-241.66000000000003,0.753413887279649,-3.0326,-0.0978258064516129,0.7183090741893234,132.68,1.3268,-0.44912571600844137,1,0.03225806451612903,3,0.0967741935483871,27,0.8709677419354839,0,0.0,0.5772903225806452,0.5446483870967742
full2025_validation,base,2025-06,22,8,0.36363636363636365,40.59,216.85000000000002,-176.26000000000002,1.2302848065357994,1.2986000000000006,0.059027272727272755,1.1626238212715865,85.82,0.8582,0.47296667443486373,3,0.13636363636363635,7,0.3181818181818182,12,0.5454545454545454,0,0.0,0.7208499999999999,0.5214909090909091
full2025_validation,base,2025-07,37,9,0.24324324324324326,-9.720000000000002,248.16,-257.88000000000005,0.9623080502559328,-0.4188000000000014,-0.011318918918918957,0.9625057074048543,118.25,1.1825,-0.08219873150105711,1,0.02702702702702703,8,0.21621621621621623,28,0.7567567567567568,0,0.0,0.5465648648648649,0.5484513513513515
full2025_validation,base,2025-08,16,3,0.1875,-35.96000000000001,70.33,-106.29,0.6616803085897074,-1.4685000000000004,-0.09178125000000002,0.6934877896055103,94.39,0.9439,-0.3809725606526116,0,0.0,2,0.125,14,0.875,0,0.0,0.5389437499999999,0.49151249999999996
full2025_validation,base,2025-09,15,3,0.2,-28.38,70.03999999999999,-98.42,0.7116439748018695,-1.2468,-0.08312,0.7205486820871438,56.94,0.5693999999999999,-0.49841938883034775,0,0.0,2,0.13333333333333333,13,0.8666666666666667,0,0.0,0.52694,0.45238
full2025_validation,base,2025-10,26,1,0.038461538461538464,-281.58,29.6,-311.18,0.0951217944597982,-12.511399999999998,-0.4812076923076922,0.09770521123307037,281.58,2.8158,-1.0,1,0.038461538461538464,1,0.038461538461538464,24,0.9230769230769231,0,0.0,0.46413461538461537,0.6538115384615384
