period_id,variant,m15_wave2_fib_zone,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,failure_exits,failure_exit_rate,avg_mfe_r,avg_mae_r
full2025_validation,base,none,471,128,0.27176220806794055,-998.83,2997.4399999999996,-3996.270000000002,0.7500594304188651,-44.10399999999998,-0.09363906581740972,0.7469391595928907,1393.04,13.930399999999999,-0.7170145868029634,43,0.09129511677282377,89,0.18895966029723993,339,0.7197452229299363,0,0.0,0.6095836518046703,0.5613645435244169
full2025_validation,req_fibroom,none,58,15,0.25862068965517243,-183.62,268.39,-452.0099999999999,0.5937700493351918,-7.7829,-0.13418793103448276,0.5990510633036596,183.62,1.8362,-1.0,5,0.08620689655172414,7,0.1206896551724138,46,0.7931034482758621,0,0.0,0.584456896551724,0.5426206896551724
full2025_validation,req_fibroom,outside_beyond_impulse,92,25,0.2717391304347826,-267.02,533.1200000000001,-800.1400000000001,0.6662834004049292,-11.700600000000005,-0.12718043478260874,0.6635283426888746,267.02,2.6701999999999995,-1.0,7,0.07608695652173914,15,0.16304347826086957,70,0.7608695652173914,0,0.0,0.6174956521739131,0.5839
full2025_validation,req_fibroom,over_786,4,2,0.5,9.469999999999997,30.65,-21.18,1.447119924457035,0.4363,0.109075,1.4615465989632919,14.81,0.1481,0.6394328156650909,0,0.0,0,0.0,4,1.0,0,0.0,0.7310749999999999,0.49734999999999996
full2025_validation,req_fibroom,room_382_618,5,2,0.4,0.8499999999999996,44.49,-43.64,1.0194775435380385,0.09420000000000006,0.018840000000000013,1.0511706230648052,43.64,0.4364,0.01947754353803849,1,0.2,1,0.2,3,0.6,0,0.0,0.68532,0.5557200000000001
full2025_validation,req_fibroom,room_under_382,26,3,0.11538461538461539,-168.18,89.06,-257.24,0.34621365262012127,-7.2303999999999995,-0.2780923076923077,0.3508000071830051,168.18,1.6818,-1.0,2,0.07692307692307693,3,0.11538461538461539,21,0.8076923076923077,0,0.0,0.5374153846153846,0.5585692307692306
full2025_validation,req_m5inv,none,12,3,0.25,-59.14,37.44,-96.58000000000001,0.3876579001863739,-2.4653,-0.20544166666666666,0.39598186941075586,89.59,0.8959,-0.660118316776426,2,0.16666666666666666,1,0.08333333333333333,9,0.75,0,0.0,0.6863916666666667,0.6803500000000001
full2025_validation,req_m5inv,outside_beyond_impulse,48,9,0.1875,-365.18000000000006,127.52,-492.70000000000005,0.2588187538055612,-15.329099999999995,-0.3193562499999999,0.26997333079340885,365.18000000000006,3.651800000000001,-1.0,7,0.14583333333333334,2,0.041666666666666664,39,0.8125,0,0.0,0.4960854166666668,0.6070250000000001
full2025_validation,req_m5inv,over_786,3,2,0.6666666666666666,10.82,28.77,-17.95,1.6027855153203343,0.48440000000000005,0.16146666666666668,1.6431226765799258,17.95,0.1795,0.6027855153203343,0,0.0,0,0.0,3,1.0,0,0.0,0.6108666666666666,0.5489666666666667
full2025_validation,req_m5inv,room_382_618,5,2,0.4,24.03,59.92,-35.89,1.6695458344942882,1.0406000000000004,0.20812000000000008,1.6633941093969147,22.630000000000003,0.22630000000000003,1.0618647812638091,0,0.0,2,0.4,3,0.6,0,0.0,0.768,0.5211
