period_id,variant,symbol,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,failure_exits,failure_exit_rate,avg_mfe_r,avg_mae_r
full2025_validation,base,AUDJPY,23,12,0.5217391304347826,179.51000000000002,321.02000000000004,-141.51,2.268532259204297,7.8483,0.34123043478260867,2.2672447200155004,55.410000000000004,0.5541,3.2396679299765387,2,0.08695652173913043,10,0.43478260869565216,11,0.4782608695652174,0,0.0,0.8301391304347827,0.5818739130434785
full2025_validation,base,EURJPY,30,8,0.26666666666666666,-114.97999999999998,192.55999999999997,-307.54,0.626129934317487,-4.915000000000001,-0.16383333333333336,0.6331651540482446,165.42999999999998,1.6542999999999999,-0.6950371758447681,6,0.2,5,0.16666666666666666,19,0.6333333333333333,0,0.0,0.60666,0.5948866666666667
full2025_validation,base,EURUSD,54,9,0.16666666666666666,-418.89999999999986,143.26000000000002,-562.1599999999999,0.25483848014800065,-18.559399999999997,-0.34369259259259255,0.2565504588625976,418.89999999999986,4.188999999999999,-1.0,7,0.12962962962962962,4,0.07407407407407407,43,0.7962962962962963,0,0.0,0.4582999999999998,0.5973518518518518
full2025_validation,base,GBPJPY,28,8,0.2857142857142857,-49.06999999999999,160.48,-209.55,0.7658315437842996,-1.6627,-0.05938214285714286,0.8177223793549518,78.61999999999999,0.7861999999999999,-0.6241414398371915,1,0.03571428571428571,5,0.17857142857142858,22,0.7857142857142857,0,0.0,0.6837714285714283,0.5157178571428572
full2025_validation,base,GBPUSD,29,5,0.1724137931034483,-172.27999999999997,123.94,-296.22,0.4184052393491324,-7.922200000000002,-0.2731793103448277,0.4095049268794442,219.0,2.19,-0.7866666666666665,4,0.13793103448275862,4,0.13793103448275862,21,0.7241379310344828,0,0.0,0.5436862068965518,0.6310965517241378
full2025_validation,base,USDJPY,307,86,0.28013029315960913,-423.10999999999984,2056.18,-2479.290000000001,0.8293422713760791,-18.89299999999998,-0.06154071661237778,0.8237407487916171,749.8100000000003,7.4981000000000035,-0.5642896200370756,23,0.0749185667752443,61,0.1986970684039088,223,0.7263843648208469,0,0.0,0.619414332247557,0.5477983713355055
full2025_validation,req_fibroom,AUDJPY,9,4,0.4444444444444444,19.340000000000007,82.05,-62.709999999999994,1.3084037633551269,0.6875999999999998,0.07639999999999997,1.2496913356089765,37.92,0.37920000000000004,0.5100210970464136,1,0.1111111111111111,2,0.2222222222222222,6,0.6666666666666666,0,0.0,0.7161444444444444,0.5858222222222221
full2025_validation,req_fibroom,EURJPY,16,2,0.125,-117.82999999999998,29.39,-147.22,0.1996332020105964,-5.1901,-0.32438125,0.19574481273147068,133.45,1.3345,-0.882952416635444,1,0.0625,0,0.0,15,0.9375,0,0.0,0.4575125,0.52219375
full2025_validation,req_fibroom,EURUSD,25,7,0.28,-136.56999999999996,113.64,-250.20999999999998,0.45417849006834266,-5.7803,-0.23121200000000003,0.4625126693508644,148.2,1.4819999999999998,-0.9215249662618082,4,0.16,3,0.12,18,0.72,0,0.0,0.548632,0.616492
full2025_validation,req_fibroom,GBPJPY,14,4,0.2857142857142857,-32.599999999999994,70.89,-103.49,0.6849937191999227,-1.4728999999999999,-0.10520714285714285,0.6761291173754342,41.01,0.41009999999999996,-0.7949280663252865,0,0.0,2,0.14285714285714285,12,0.8571428571428571,0,0.0,0.7211214285714285,0.5136571428571429
full2025_validation,req_fibroom,GBPUSD,14,3,0.21428571428571427,-57.32,69.94999999999999,-127.27000000000001,0.5496189204054371,-2.6071,-0.18622142857142857,0.5405991189427313,86.85,0.8685,-0.6599884858952217,2,0.14285714285714285,2,0.14285714285714285,10,0.7142857142857143,0,0.0,0.6655285714285714,0.6299285714285714
full2025_validation,req_fibroom,USDJPY,107,27,0.2523364485981308,-283.52000000000015,599.79,-883.3099999999997,0.6790254836920222,-11.8206,-0.11047289719626169,0.6883164139749506,285.34000000000015,2.8534000000000015,-0.9936216443541039,7,0.06542056074766354,17,0.1588785046728972,83,0.7757009345794392,0,0.0,0.599414953271028,0.5554355140186914
full2025_validation,req_m5inv,AUDJPY,1,1,1.0,17.56,17.56,0,inf,0.7714,0.7714,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0,0.0,0.9571,0.4143
full2025_validation,req_m5inv,EURJPY,10,2,0.2,-80.80000000000003,40.38,-121.18000000000002,0.33322330417560647,-3.4858,-0.34858,0.33223501465489164,114.39000000000001,1.1439000000000001,-0.7063554506512808,3,0.3,1,0.1,6,0.6,0,0.0,0.5986899999999999,0.6904199999999999
full2025_validation,req_m5inv,EURUSD,16,2,0.125,-168.80999999999997,34.43,-203.23999999999998,0.16940562881322577,-7.2505,-0.45315625,0.16429419426226677,168.80999999999997,1.6880999999999997,-1.0,4,0.25,1,0.0625,11,0.6875,0,0.0,0.46128125000000003,0.66996875
full2025_validation,req_m5inv,GBPJPY,9,2,0.2222222222222222,-52.290000000000006,13.16,-65.45,0.20106951871657752,-2.2814,-0.2534888888888889,0.19342407636556483,52.290000000000006,0.5229000000000001,-1.0,0,0.0,0,0.0,9,1.0,0,0.0,0.7014222222222224,0.5016222222222222
full2025_validation,req_m5inv,GBPUSD,6,0,0.0,-92.39999999999999,0,-92.39999999999999,0.0,-4.0971,-0.6828500000000001,0.0,92.39999999999999,0.924,-1.0,2,0.3333333333333333,0,0.0,4,0.6666666666666666,0,0.0,0.6304666666666666,0.69805
