Run,MaxManagedPositions,Mode,Trades,WinRate,BreakEvenRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxConsecutiveLosses,MaxDD_R,LongExpectancyR,ShortExpectancyR
MaxPos2,2,EXIT_FIXED_R_ONLY,2848,38.51825842696629,0.0,1.499967969283864,-1.0,-0.03705587699985953,0.9397286478037687,12,141.03377628209998,-0.037778748928601245,-0.03631968496470589
MaxPos2,2,EXIT_BE_AT_05R,2849,15.373815373815374,47.806247806247804,1.4999791850805937,-1.0,-0.13759533763941734,0.6263020810918017,6,400.4967748539,-0.12823731599408897,-0.1471324284445075
MaxPos2,2,EXIT_BE_AT_08R,2848,25.596910112359552,26.96629213483146,1.4999936665030171,-1.0,-0.09041594702222612,0.8093970265586229,9,275.49545449749996,-0.09311931715908137,-0.08766276283607366
MaxPos2,2,EXIT_BE_AT_10R,2848,29.950842696629213,17.34550561797753,1.4999653764352858,-1.0,-0.07778424645389749,0.8524120360421711,10,244.52826781079997,-0.07224659500897702,-0.0834239382514528
MaxPos2,2,EXIT_PARTIAL_50_AT_05R_REST_15R,2848,38.51825842696629,0.0,0.9999839846421144,-0.6993146773272416,-0.04477442726390449,0.8958615199284601,12,142.77118163260002,-0.056989583232915836,-0.03233418691842664
MaxPos2,2,EXIT_PARTIAL_50_AT_10R_REST_15R,2848,38.51825842696629,8.77808988764045,1.2499839846421146,-1.0,-0.04556445535379217,0.9135459234859424,11,147.51855207800008,-0.054727927004662516,-0.03623213163848334
MaxPos2,2,EXIT_TP_12R_FIXED,2848,43.32865168539326,0.0,1.2000000000000268,-1.0,-0.04676966292134871,0.9174721189591284,10,152.99999999999983,-0.06151704940848949,-0.031750531537916335
MaxPos2,2,EXIT_TP_15R_FIXED,2848,38.51825842696629,0.0,1.499967969283864,-1.0,-0.03705587699985953,0.9397286478037687,12,141.03377628209998,-0.037778748928601245,-0.03631968496470589
MaxPos1,1,EXIT_FIXED_R_ONLY,1739,37.26279470960322,0.0,1.499903866873303,-1.0,-0.06846595414956866,0.8908686578679196,12,141.5542562806999,-0.07174607500068964,-0.0651820587059839
MaxPos1,1,EXIT_BE_AT_05R,1740,15.344827586206897,47.35632183908046,1.4998407310146065,-1.0,-0.14284053150522982,0.6170377121431432,7,257.0304783227999,-0.13029886327692305,-0.15541106433245105
MaxPos1,1,EXIT_BE_AT_08R,1739,25.301897642323173,26.682001150086258,1.4999300108775,-1.0,-0.10065025601719375,0.7903822811809581,9,192.53290274109995,-0.09130858506643676,-0.11000267687698498
MaxPos1,1,EXIT_BE_AT_10R,1739,29.212190914318573,17.423806785508912,1.4999099804393705,-1.0,-0.0954834559728579,0.8210714117060347,9,188.0492380241999,-0.08268000075873565,-0.1083016447372842
MaxPos1,1,EXIT_PARTIAL_50_AT_05R_REST_15R,1739,37.26279470960322,0.0,0.9999519334368823,-0.6961503208065994,-0.06413521974289821,0.8531518800093478,12,123.02855671159998,-0.07639027888022987,-0.05186605812094359
MaxPos1,1,EXIT_PARTIAL_50_AT_10R_REST_15R,1739,37.26279470960322,9.373202990224266,1.2499519334368827,-1.0,-0.06787300007642325,0.8728112638654094,9,135.0271281402,-0.07725234784574711,-0.058482859041541976
MaxPos1,1,EXIT_TP_12R_FIXED,1739,42.43818286371478,0.0,1.2000000000000146,-1.0,-0.06635997699827417,0.8847152847152954,11,131.19999999999888,-0.07954022988505696,-0.053164556962025204
MaxPos1,1,EXIT_TP_15R_FIXED,1739,37.26279470960322,0.0,1.499903866873303,-1.0,-0.06846595414956866,0.8908686578679196,12,141.5542562806999,-0.07174607500068964,-0.0651820587059839
