entry_time,exit_time,strategy,symbol,direction,entry_type,range_position,regime_type,failure_type,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,zscore,rsi,range_low,range_high,range_mid,distance_to_range_mid_r,distance_to_opposite_boundary_r,room_to_mean,room_to_range_mid,room_to_opposite_boundary,h1_adx_low,h4_adx_low,h1_ma_slope_small,h4_ma_slope_small,range_width_ok,price_middle,strong_trend_break,target_too_far,exit_reason,position_id
2025.01.02 10:45:00,2025.01.02 12:45:59,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,other,156.59600000,157.00100000,156.08400000,156.99600000,0.51200000,0.7910,18.06,0.00,0.00,18.06,0.070,0.781,8,0.16007143,17.00,7.496,-1.4962,33.36,156.01500000,157.97600000,156.99550000,0.7799,2.6941,0.47106250,0.39950000,1.38000000,false,true,true,true,true,false,false,false,DEAL_REASON_TP,2
2025.01.02 20:30:00,2025.01.03 02:30:00,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,157.55200000,157.34700000,157.89800000,156.92800000,0.34600000,0.5925,14.33,0.00,-1.23,13.10,0.110,1.803,24,0.19071429,16.00,7.187,1.1873,73.86,156.01500000,157.84100000,156.92800000,1.8024,4.4394,0.34815625,0.62400000,1.53700000,true,true,false,true,true,false,false,false,DEAL_REASON_EXPERT,4
2025.01.03 06:45:00,2025.01.03 12:45:00,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,157.34000000,157.33300000,157.64000000,156.92800000,0.30000000,0.0233,0.58,0.00,0.00,0.58,0.130,1.373,24,0.09371429,17.00,6.466,-0.4657,57.65,156.01500000,157.84100000,156.92800000,1.3739,4.4183,0.00000000,0.41200000,1.32500000,false,true,true,true,true,false,false,false,DEAL_REASON_EXPERT,6
2025.01.06 01:30:00,2025.01.06 02:10:13,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,stop_outside_range_hit,157.43000000,157.70500000,157.69500000,157.13400000,0.26500000,-1.0377,-24.41,0.00,0.00,-24.41,0.140,1.117,2,0.08292857,16.00,8.498,1.4982,65.85,156.42600000,157.84100000,157.13350000,1.1173,3.7834,0.19875000,0.29650000,1.00400000,true,true,true,true,true,false,false,false,DEAL_REASON_SL,8
2025.01.06 03:00:00,2025.01.06 09:00:00,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,157.58300000,157.65300000,157.87500000,157.13400000,0.29200000,-0.2397,-5.77,0.00,0.00,-5.77,0.130,1.538,24,0.11457143,20.00,8.449,1.4491,62.72,156.42600000,157.84100000,157.13350000,1.5374,3.9573,0.29806250,0.44950000,1.15700000,true,true,true,true,true,false,false,false,DEAL_REASON_EXPERT,10
2025.01.06 15:00:00,2025.01.06 15:10:05,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,stop_outside_range_hit,156.79600000,156.55200000,156.55200000,157.28500000,0.24400000,-1.0000,-24.94,0.00,0.00,-24.94,0.160,2.004,0,0.20578571,18.00,8.675,-2.6745,18.86,156.61400000,157.95500000,157.28450000,2.0042,4.7552,0.77434375,0.48850000,1.15900000,false,true,true,true,true,false,false,false,DEAL_REASON_SL,12
2025.01.06 15:45:00,2025.01.06 16:01:25,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,target_too_far,156.67900000,156.53300000,156.53400000,157.28500000,0.14500000,-1.0069,-24.25,0.00,0.00,-24.25,0.260,4.179,1,0.26642857,16.00,7.836,-1.8359,26.31,156.61400000,157.95500000,157.28450000,4.1779,8.8043,0.77231250,0.60550000,1.27600000,false,true,true,true,true,false,false,true,DEAL_REASON_SL,14
2025.01.06 20:00:00,2025.01.07 02:00:00,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,157.50500000,157.75300000,158.00200000,157.09300000,0.49700000,-0.4990,-11.00,0.00,-0.78,-11.78,0.070,0.829,24,0.15750000,16.00,6.521,0.5208,65.64,156.23000000,157.95500000,157.09250000,0.8296,2.5641,0.21525000,0.41250000,1.27500000,true,false,true,true,true,false,false,false,DEAL_REASON_EXPERT,16
2025.01.07 14:30:00,2025.01.07 17:00:01,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,stop_outside_range_hit,157.77900000,158.16300000,158.12800000,157.32000000,0.34900000,-1.1003,-26.71,0.00,0.00,-26.71,0.110,1.315,10,0.10914286,16.00,6.388,0.3885,74.66,156.23000000,158.40900000,157.31950000,1.3156,4.4351,0.06753125,0.45950000,1.54900000,true,false,true,true,true,false,false,false,DEAL_REASON_SL,18
2025.01.07 18:00:00,2025.01.08 00:01:00,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,157.93500000,158.08500000,158.47300000,157.32400000,0.53800000,-0.2788,-6.64,0.00,-0.78,-7.42,0.070,1.136,24,0.18485714,16.00,7.090,1.0901,55.33,156.23000000,158.41800000,157.32400000,1.1347,3.1665,0.21131250,0.61100000,1.70500000,true,false,true,true,true,false,false,false,DEAL_REASON_EXPERT,20
