time,event,strategy,symbol,direction,entry_type,range_position,regime_type,failure_type,reason,entry,stop_loss,take_profit,risk_price,reward_r,atr,spread_points,score,zscore,rsi,range_low,range_high,range_mid,distance_to_range_mid_r,distance_to_opposite_boundary_r,room_to_mean,room_to_range_mid,room_to_opposite_boundary,h1_adx_low,h4_adx_low,h1_ma_slope_small,h4_ma_slope_small,range_width_ok,price_middle,strong_trend_break,target_too_far
2025.01.02 10:45:00,signal,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,other,,156.59600000,156.08400000,156.99600000,0.51200000,0.781,0.16007143,17.00,7.496,-1.4962,33.36,156.01500000,157.97600000,156.99550000,0.7799,2.6941,0.47106250,0.39950000,1.38000000,false,true,true,true,true,false,false,false
2025.01.02 10:45:00,order_sent,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,other,,156.59600000,156.08400000,156.99600000,0.51200000,0.781,0.16007143,17.00,7.496,-1.4962,33.36,156.01500000,157.97600000,156.99550000,0.7799,2.6941,0.47106250,0.39950000,1.38000000,false,true,true,true,true,false,false,false
2025.01.02 20:30:00,signal,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,,157.55200000,157.89800000,156.92800000,0.34600000,1.803,0.19071429,16.00,7.187,1.1873,73.86,156.01500000,157.84100000,156.92800000,1.8024,4.4394,0.34815625,0.62400000,1.53700000,true,true,false,true,true,false,false,false
2025.01.02 20:30:00,order_sent,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,,157.55200000,157.89800000,156.92800000,0.34600000,1.803,0.19071429,16.00,7.187,1.1873,73.86,156.01500000,157.84100000,156.92800000,1.8024,4.4394,0.34815625,0.62400000,1.53700000,true,true,false,true,true,false,false,false
2025.01.02 20:45:00,signal,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,,157.53000000,157.89600000,156.92800000,0.36600000,1.645,0.18271429,20.00,7.047,1.0475,72.82,156.01500000,157.84100000,156.92800000,1.6456,4.1414,0.30793750,0.60200000,1.51500000,true,true,false,true,true,false,false,false
2025.01.02 20:45:00,blocked,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,symbol_already_open,157.53000000,157.89600000,156.92800000,0.36600000,1.645,0.18271429,20.00,7.047,1.0475,72.82,156.01500000,157.84100000,156.92800000,1.6456,4.1414,0.30793750,0.60200000,1.51500000,true,true,false,true,true,false,false,false
2025.01.02 21:00:00,signal,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,,157.49400000,157.89200000,156.92800000,0.39800000,1.422,0.16914286,16.00,6.873,0.8733,72.00,156.01500000,157.84100000,156.92800000,1.4230,3.7185,0.26046875,0.56600000,1.47900000,true,true,false,true,true,false,false,false
2025.01.02 21:00:00,blocked,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,symbol_already_open,157.49400000,157.89200000,156.92800000,0.39800000,1.422,0.16914286,16.00,6.873,0.8733,72.00,156.01500000,157.84100000,156.92800000,1.4230,3.7185,0.26046875,0.56600000,1.47900000,true,true,false,true,true,false,false,false
2025.01.02 22:30:00,signal,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,,157.58500000,157.87600000,156.92800000,0.29100000,2.258,0.11650000,16.00,6.839,0.8389,44.91,156.01500000,157.84100000,156.92800000,2.2581,5.3961,0.27459375,0.65700000,1.57000000,true,true,false,true,true,false,false,false
2025.01.02 22:30:00,blocked,new_range_boundary_reversion_to_mid_with_trend_filter,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,symbol_already_open,157.58500000,157.87600000,156.92800000,0.29100000,2.258,0.11650000,16.00,6.839,0.8389,44.91,156.01500000,157.84100000,156.92800000,2.2581,5.3961,0.27459375,0.65700000,1.57000000,true,true,false,true,true,false,false,false
