"RunName","Window","Magic","DoubleTopBottomToleranceATR","NecklineBreakBufferATR","ADXLowThreshold","ADXHighThreshold","Trades","WinRate","AvgWinR","AvgLossR","ExpectancyR","PF","MaxDD_R","MaxLossR","TotalR","MaxConsecutiveLosses","PositiveMonths","PositiveQuarters","RiskGuardRejects","spread_too_wide","daily_loss_r_blocked","weekly_loss_r_blocked","monthly_loss_r_blocked","total_open_risk_blocked","min_bars_between_entries_blocked","strategy01b_one_position_blocked","live_order_send_failed","live_position_tracking_failed","live_sl_tp_invalid","live_lot_invalid","LiveEntries","AvgPlannedRR","AvgSpreadPoints","AvgMFE_R","AvgMAE_R","MonthlyProfitR","QuarterProfitR","RejectReasonCounts"
"livepath2025_jshort_g001_tol0.20_neck0.03_adx18_28","2025.01.01-2025.12.31","2026053301","0.2","0.03","18","28","98","45.9184","1.500098","-1.024589","0.134706","1.243101","10.976767","-1.145353","13.201188","8","7","4","15","14","7","3","5","0","0","0","0","0","0","0","98","1.499446","18.041","0.888649","-0.765526","2025-01:2.295|2025-03:-0.808|2025-04:1.507|2025-05:8.059|2025-06:-4.05|2025-07:1.479|2025-08:5.149|2025-09:-2.138|2025-10:-6.777|2025-11:2.504|2025-12:5.982","2025-Q1:1.487|2025-Q2:5.516|2025-Q3:4.49|2025-Q4:1.708","break_candle_strength_filter_failed=82|daily_loss_r_blocked=7|direction_filter_failed=1789|entry_open_count_filter_failed=47|fibo_filter_failed=73|monthly_loss_r_blocked=5|pattern_adx_bucket_filter_failed=314|rr_too_low=1|spread_too_wide=14|trend_alignment_filter_failed=1244|weekly_loss_r_blocked=3"
"livepath2025_jshort_g002_tol0.20_neck0.05_adx18_28","2025.01.01-2025.12.31","2026053302","0.2","0.05","18","28","97","47.4227","1.500338","-1.024978","0.172595","1.320268","10.330277","-1.145353","16.741671","7","8","4","18","14","9","3","6","0","0","0","0","0","0","0","97","1.499531","18.021","0.907772","-0.755269","2025-01:2.295|2025-03:0.705|2025-04:1.507|2025-05:8.059|2025-06:-4.051|2025-07:2.478|2025-08:5.149|2025-09:-1.123|2025-10:-6.764|2025-11:2.504|2025-12:5.982","2025-Q1:3|2025-Q2:5.515|2025-Q3:6.505|2025-Q4:1.721","break_candle_strength_filter_failed=80|daily_loss_r_blocked=9|direction_filter_failed=1786|entry_open_count_filter_failed=47|fibo_filter_failed=75|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=313|rr_too_low=1|spread_too_wide=14|trend_alignment_filter_failed=1231|weekly_loss_r_blocked=3"
"livepath2025_jshort_g003_tol0.20_neck0.07_adx18_28","2025.01.01-2025.12.31","2026053303","0.2","0.07","18","28","94","48.9362","1.499343","-1.026411","0.209596","1.399898","10.330428","-1.145353","19.702048","7","8","4","15","15","9","0","6","0","0","0","0","0","0","0","94","1.499529","17.957","0.928017","-0.751424","2025-01:3.295|2025-03:0.705|2025-04:1.507|2025-05:9.059|2025-06:-4.05|2025-07:2.478|2025-08:5.149|2025-09:-0.163|2025-10:-6.764|2025-11:2.504|2025-12:5.982","2025-Q1:4|2025-Q2:6.515|2025-Q3:7.465|2025-Q4:1.721","break_candle_strength_filter_failed=80|daily_loss_r_blocked=9|direction_filter_failed=1790|entry_open_count_filter_failed=51|fibo_filter_failed=75|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=313|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1223"
"livepath2025_jshort_g004_tol0.25_neck0.03_adx18_28","2025.01.01-2025.12.31","2026053304","0.25","0.03","18","28","104","44.2308","1.503229","-1.031455","0.089655","1.155859","11.146524","-1.295906","9.324158","8","7","3","20","14","7","3","10","0","0","0","0","0","0","0","104","1.499375","18.106","0.873358","-0.790192","2025-01:0.996|2025-03:-6.15|2025-04:1.507|2025-05:7.027|2025-06:-2.537|2025-07:2.161|2025-08:3.881|2025-09:-2.317|2025-10:-6.768|2025-11:6.543|2025-12:4.982","2025-Q1:-5.154|2025-Q2:5.997|2025-Q3:3.725|2025-Q4:4.756","break_candle_strength_filter_failed=86|daily_loss_r_blocked=7|direction_filter_failed=1868|entry_open_count_filter_failed=45|fibo_filter_failed=80|monthly_loss_r_blocked=10|pattern_adx_bucket_filter_failed=344|rr_too_low=1|spread_too_wide=14|trend_alignment_filter_failed=1303|weekly_loss_r_blocked=3"
"livepath2025_jshort_g005_tol0.25_neck0.05_adx18_28","2025.01.01-2025.12.31","2026053305","0.25","0.05","18","28","108","47.2222","1.500624","-1.0333","0.163275","1.299394","10.321836","-1.295906","17.633741","7","8","4","16","14","7","3","6","0","0","0","0","0","0","0","108","1.499455","18.148","0.905206","-0.76888","2025-01:0.996|2025-03:1.236|2025-04:1.507|2025-05:7.027|2025-06:-2.537|2025-07:3.16|2025-08:3.882|2025-09:-1.27|2025-10:-6.756|2025-11:5.408|2025-12:4.982","2025-Q1:2.232|2025-Q2:5.997|2025-Q3:5.771|2025-Q4:3.634","break_candle_strength_filter_failed=85|daily_loss_r_blocked=7|direction_filter_failed=1861|entry_open_count_filter_failed=47|fibo_filter_failed=83|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=344|rr_too_low=1|spread_too_wide=14|trend_alignment_filter_failed=1288|weekly_loss_r_blocked=3"
"livepath2025_jshort_g006_tol0.25_neck0.07_adx18_28","2025.01.01-2025.12.31","2026053306","0.25","0.07","18","28","105","48.5714","1.499713","-1.035045","0.196123","1.368438","10.322102","-1.295906","20.592912","7","8","4","14","15","8","0","6","0","0","0","0","0","0","0","105","1.499451","18.095","0.923257","-0.765827","2025-01:1.996|2025-03:1.236|2025-04:1.507|2025-05:8.027|2025-06:-2.537|2025-07:3.16|2025-08:3.882|2025-09:-0.31|2025-10:-6.756|2025-11:5.407|2025-12:4.982","2025-Q1:3.232|2025-Q2:6.997|2025-Q3:6.731|2025-Q4:3.633","break_candle_strength_filter_failed=86|daily_loss_r_blocked=8|direction_filter_failed=1861|entry_open_count_filter_failed=51|fibo_filter_failed=83|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=344|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1280"
"livepath2025_jshort_g007_tol0.30_neck0.03_adx18_28","2025.01.01-2025.12.31","2026053307","0.3","0.03","18","28","83","34.9398","1.497619","-1.045827","-0.157153","0.769034","15.866688","-1.73797","-13.043701","7","5","2","64","16","8","8","18","0","0","0","0","0","0","0","83","1.499502","18.036","0.786479","-0.863985","2025-01:0.992|2025-03:-6.15|2025-04:1.507|2025-05:5.017|2025-06:-6.291|2025-07:2.171|2025-08:4.944|2025-09:-6.352|2025-10:-6.82|2025-11:-2.062","2025-Q1:-5.158|2025-Q2:0.233|2025-Q3:0.764|2025-Q4:-8.882","break_candle_strength_filter_failed=89|daily_loss_r_blocked=8|direction_filter_failed=1987|entry_open_count_filter_failed=36|fibo_filter_failed=85|max_drawdown_r_blocked=30|monthly_loss_r_blocked=18|pattern_adx_bucket_filter_failed=385|rr_too_low=1|spread_too_wide=16|trend_alignment_filter_failed=1333|weekly_loss_r_blocked=8"
"livepath2025_jshort_g008_tol0.30_neck0.05_adx18_28","2025.01.01-2025.12.31","2026053308","0.3","0.05","18","28","108","45.3704","1.499527","-1.045097","0.109408","1.19163","11.204561","-1.73797","11.81607","7","8","4","29","16","8","8","13","0","0","0","0","0","0","0","108","1.499518","18.111","0.893089","-0.789058","2025-01:0.992|2025-03:1.236|2025-04:1.507|2025-05:5.017|2025-06:-6.291|2025-07:3.171|2025-08:4.944|2025-09:-2.323|2025-10:-6.82|2025-11:5.408|2025-12:4.976","2025-Q1:2.228|2025-Q2:0.233|2025-Q3:5.792|2025-Q4:3.564","break_candle_strength_filter_failed=88|daily_loss_r_blocked=8|direction_filter_failed=1969|entry_open_count_filter_failed=47|fibo_filter_failed=87|monthly_loss_r_blocked=13|pattern_adx_bucket_filter_failed=384|rr_too_low=1|spread_too_wide=16|trend_alignment_filter_failed=1316|weekly_loss_r_blocked=8"
"livepath2025_jshort_g009_tol0.30_neck0.07_adx18_28","2025.01.01-2025.12.31","2026053309","0.3","0.07","18","28","105","46.6667","1.498597","-1.047408","0.140728","1.251921","10.386952","-1.737705","14.776411","7","8","4","27","17","8","6","13","0","0","0","0","0","0","0","105","1.499515","18.057","0.910795","-0.786581","2025-01:1.992|2025-03:1.236|2025-04:1.507|2025-05:6.017|2025-06:-6.291|2025-07:3.171|2025-08:4.945|2025-09:-1.363|2025-10:-6.82|2025-11:5.407|2025-12:4.976","2025-Q1:3.228|2025-Q2:1.233|2025-Q3:6.753|2025-Q4:3.563","break_candle_strength_filter_failed=89|daily_loss_r_blocked=8|direction_filter_failed=1967|entry_open_count_filter_failed=49|fibo_filter_failed=87|monthly_loss_r_blocked=13|pattern_adx_bucket_filter_failed=382|rr_too_low=1|spread_too_wide=17|trend_alignment_filter_failed=1305|weekly_loss_r_blocked=6"
"livepath2025_jshort_g010_tol0.20_neck0.03_adx18_30","2025.01.01-2025.12.31","2026053310","0.2","0.03","18","30","109","44.9541","1.501233","-1.032447","0.106547","1.187477","14.113968","-1.59758","11.613595","9","7","4","17","14","9","3","5","0","0","0","0","0","0","0","109","1.499757","18.119","0.890268","-0.783894","2025-01:3.807|2025-03:-0.808|2025-04:1.507|2025-05:8.052|2025-06:-2.543|2025-07:0.004|2025-08:3.562|2025-09:-2.678|2025-10:-6.777|2025-11:1.505|2025-12:5.982","2025-Q1:2.999|2025-Q2:7.016|2025-Q3:0.889|2025-Q4:0.71","break_candle_strength_filter_failed=100|daily_loss_r_blocked=9|direction_filter_failed=1789|entry_open_count_filter_failed=66|fibo_filter_failed=73|monthly_loss_r_blocked=5|pattern_adx_bucket_filter_failed=264|rr_too_low=1|spread_too_wide=14|trend_alignment_filter_failed=1244|weekly_loss_r_blocked=3"
