period_id,variant,fractal_alignment_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_parent_wave2_age,avg_child_flip_signal_age
full2025_validation,e_base_first_child_flip,count_1,85,43,0.5058823529411764,51.840000000000046,820.51,-768.67,1.067441164609,0.03172412941176472,114.63999999999999,1.1463999999999999,0.4521981856245643,0.6474813411764705,-0.6150490588235297,0.5647058823529412,0.38823529411764707,0.3058823529411765,0.0,0.21176470588235294,0.32941176470588235,0.4588235294117647,21.08235294117647,1.6941176470588235,0.0
full2025_validation,e_base_first_child_flip,count_2,53,22,0.41509433962264153,-241.89999999999992,315.24,-557.1400000000001,0.5658182862476216,-0.19197949056603777,241.89999999999992,2.418999999999999,-1.0,0.4765935283018869,-0.6706603018867925,0.39622641509433965,0.24528301886792453,0.1509433962264151,0.0,0.11320754716981132,0.37735849056603776,0.5094339622641509,21.77358490566038,1.4150943396226414,0.0
full2025_validation,e_base_first_child_flip,full,16,4,0.25,-175.48,56.88,-232.35999999999999,0.24479256326390086,-0.4682613124999999,210.73999999999998,2.1073999999999997,-0.8326848249027238,0.46894606250000004,-0.8275191250000001,0.375,0.25,0.125,0.0,0.0625,0.5,0.4375,19.0625,3.3125,0.0
full2025_validation,f_child_stop,count_1,85,43,0.5058823529411764,51.840000000000046,820.51,-768.67,1.067441164609,0.03172412941176472,114.63999999999999,1.1463999999999999,0.4521981856245643,0.6474813411764705,-0.6150490588235297,0.5647058823529412,0.38823529411764707,0.3058823529411765,0.0,0.21176470588235294,0.32941176470588235,0.4588235294117647,21.08235294117647,1.6941176470588235,0.0
full2025_validation,f_child_stop,count_2,53,22,0.41509433962264153,-241.89999999999992,315.24,-557.1400000000001,0.5658182862476216,-0.19197949056603777,241.89999999999992,2.418999999999999,-1.0,0.4765935283018869,-0.6706603018867925,0.39622641509433965,0.24528301886792453,0.1509433962264151,0.0,0.11320754716981132,0.37735849056603776,0.5094339622641509,21.77358490566038,1.4150943396226414,0.0
full2025_validation,f_child_stop,full,16,4,0.25,-175.48,56.88,-232.35999999999999,0.24479256326390086,-0.4682613124999999,210.73999999999998,2.1073999999999997,-0.8326848249027238,0.46894606250000004,-0.8275191250000001,0.375,0.25,0.125,0.0,0.0625,0.5,0.4375,19.0625,3.3125,0.0
full2025_validation,g_parent_stop,count_1,57,28,0.49122807017543857,73.31000000000003,671.8800000000001,-598.57,1.122475232637787,0.051944403508771955,112.72,1.1272,0.6503726046841735,0.6919643157894735,-0.6377047543859649,0.5789473684210527,0.40350877192982454,0.3684210526315789,0.0,0.2807017543859649,0.42105263157894735,0.2982456140350877,17.087719298245613,1.6491228070175439,0.0
full2025_validation,g_parent_stop,count_2,33,16,0.48484848484848486,10.509999999999977,359.15,-348.64,1.0301457090408443,0.012749454545454526,135.38000000000002,1.3538000000000003,0.07763332840892284,0.6271828484848484,-0.7147845454545455,0.45454545454545453,0.3939393939393939,0.36363636363636365,0.0,0.2727272727272727,0.3939393939393939,0.3333333333333333,16.424242424242426,1.3636363636363635,0.0
full2025_validation,g_parent_stop,full,10,3,0.3,-49.989999999999995,91.36,-141.35,0.6463388751326494,-0.2109451,76.92,0.7692,-0.6498959958398335,0.5695612,-0.8107398,0.5,0.4,0.3,0.0,0.2,0.5,0.3,14.8,2.7,0.0
full2025_validation,h_one_symbol,count_1,85,43,0.5058823529411764,51.840000000000046,820.51,-768.67,1.067441164609,0.03172412941176472,114.63999999999999,1.1463999999999999,0.4521981856245643,0.6474813411764705,-0.6150490588235297,0.5647058823529412,0.38823529411764707,0.3058823529411765,0.0,0.21176470588235294,0.32941176470588235,0.4588235294117647,21.08235294117647,1.6941176470588235,0.0
