period_id,variant,h1_alignment_with_parent,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_parent_wave2_age,avg_child_flip_signal_age
full2025_validation,e_base_first_child_flip,false,113,57,0.504424778761062,23.499999999999986,998.31,-974.8100000000001,1.0241072619279654,0.015501654867256636,163.13,1.6313000000000002,0.14405688714522152,0.617580884955752,-0.6052254778761065,0.5309734513274337,0.36283185840707965,0.26548672566371684,0.0,0.18584070796460178,0.30973451327433627,0.504424778761062,21.86725663716814,1.6460176991150441,0.0
full2025_validation,e_base_first_child_flip,true,41,12,0.2926829268292683,-389.03999999999996,194.32000000000002,-583.36,0.33310477235326386,-0.40785926829268293,430.41999999999996,4.3042,-0.9038613447330515,0.4393138536585365,-0.7969266585365853,0.36585365853658536,0.21951219512195122,0.14634146341463414,0.0,0.0975609756097561,0.5121951219512195,0.3902439024390244,19.024390243902438,2.097560975609756,0.0
full2025_validation,f_child_stop,false,113,57,0.504424778761062,23.499999999999986,998.31,-974.8100000000001,1.0241072619279654,0.015501654867256636,163.13,1.6313000000000002,0.14405688714522152,0.617580884955752,-0.6052254778761065,0.5309734513274337,0.36283185840707965,0.26548672566371684,0.0,0.18584070796460178,0.30973451327433627,0.504424778761062,21.86725663716814,1.6460176991150441,0.0
full2025_validation,f_child_stop,true,41,12,0.2926829268292683,-389.03999999999996,194.32000000000002,-583.36,0.33310477235326386,-0.40785926829268293,430.41999999999996,4.3042,-0.9038613447330515,0.4393138536585365,-0.7969266585365853,0.36585365853658536,0.21951219512195122,0.14634146341463414,0.0,0.0975609756097561,0.5121951219512195,0.3902439024390244,19.024390243902438,2.097560975609756,0.0
full2025_validation,g_parent_stop,false,75,38,0.5066666666666667,137.88,870.9600000000003,-733.0799999999999,1.1880831559993457,0.07767861333333334,112.72,1.1272,1.223207948899929,0.6858808,-0.6357482666666667,0.56,0.4,0.36,0.0,0.28,0.37333333333333335,0.3466666666666667,17.626666666666665,1.6,0.0
full2025_validation,g_parent_stop,true,25,9,0.36,-104.04999999999997,251.43,-355.48,0.7072971756498255,-0.18215136000000004,174.20999999999998,1.7421,-0.5972676654612249,0.5757420800000002,-0.8145335600000001,0.44,0.4,0.36,0.0,0.24,0.56,0.2,13.68,1.84,0.0
full2025_validation,h_one_symbol,false,113,57,0.504424778761062,23.499999999999986,998.31,-974.8100000000001,1.0241072619279654,0.015501654867256636,163.13,1.6313000000000002,0.14405688714522152,0.617580884955752,-0.6052254778761065,0.5309734513274337,0.36283185840707965,0.26548672566371684,0.0,0.18584070796460178,0.30973451327433627,0.504424778761062,21.86725663716814,1.6460176991150441,0.0
full2025_validation,h_one_symbol,true,41,12,0.2926829268292683,-389.03999999999996,194.32000000000002,-583.36,0.33310477235326386,-0.40785926829268293,430.41999999999996,4.3042,-0.9038613447330515,0.4393138536585365,-0.7969266585365853,0.36585365853658536,0.21951219512195122,0.14634146341463414,0.0,0.0975609756097561,0.5121951219512195,0.3902439024390244,19.024390243902438,2.097560975609756,0.0
full2025_validation,i_h1_diag,false,113,57,0.504424778761062,23.499999999999986,998.31,-974.8100000000001,1.0241072619279654,0.015501654867256636,163.13,1.6313000000000002,0.14405688714522152,0.617580884955752,-0.6052254778761065,0.5309734513274337,0.36283185840707965,0.26548672566371684,0.0,0.18584070796460178,0.30973451327433627,0.504424778761062,21.86725663716814,1.6460176991150441,0.0
full2025_validation,i_h1_diag,true,41,12,0.2926829268292683,-389.03999999999996,194.32000000000002,-583.36,0.33310477235326386,-0.40785926829268293,430.41999999999996,4.3042,-0.9038613447330515,0.4393138536585365,-0.7969266585365853,0.36585365853658536,0.21951219512195122,0.14634146341463414,0.0,0.0975609756097561,0.5121951219512195,0.3902439024390244,19.024390243902438,2.097560975609756,0.0
