period_id,variant,variant_name,parent_direction,wave1_valid,invalid_reason,count
full2025_validation,a_parent_flip,parent_flip_only_diagnostic,LONG,true,none,2292
full2025_validation,a_parent_flip,parent_flip_only_diagnostic,SHORT,true,none,2244
full2025_validation,b_parent_wave2,parent_wave1_wave2_diagnostic,LONG,true,none,2292
full2025_validation,b_parent_wave2,parent_wave1_wave2_diagnostic,SHORT,true,none,2244
full2025_validation,c_child_countertrend,child_countertrend_diagnostic,LONG,true,none,2292
full2025_validation,c_child_countertrend,child_countertrend_diagnostic,SHORT,true,none,2244
full2025_validation,d_child_flip,child_flip_diagnostic,LONG,true,none,2292
full2025_validation,d_child_flip,child_flip_diagnostic,SHORT,true,none,2244
full2025_validation,e_base_first_child_flip,base_first_child_flip,LONG,true,none,2292
full2025_validation,e_base_first_child_flip,base_first_child_flip,SHORT,true,none,2244
full2025_validation,f_child_stop,child_flip_stop_child_extreme,LONG,true,none,2292
full2025_validation,f_child_stop,child_flip_stop_child_extreme,SHORT,true,none,2244
full2025_validation,g_parent_stop,child_flip_stop_parent_extreme,LONG,true,none,2292
full2025_validation,g_parent_stop,child_flip_stop_parent_extreme,SHORT,true,none,2244
full2025_validation,h_one_symbol,one_symbol_first_child_flip,LONG,true,none,2292
full2025_validation,h_one_symbol,one_symbol_first_child_flip,SHORT,true,none,2244
full2025_validation,i_h1_diag,all_symbols_h1_alignment_diag,LONG,true,none,2292
full2025_validation,i_h1_diag,all_symbols_h1_alignment_diag,SHORT,true,none,2244
full2025_validation,j_full_fractal_diag,all_symbols_full_fractal_diag,LONG,true,none,2292
full2025_validation,j_full_fractal_diag,all_symbols_full_fractal_diag,SHORT,true,none,2244
q1_quick,a_parent_flip,parent_flip_only_diagnostic,LONG,true,none,554
q1_quick,a_parent_flip,parent_flip_only_diagnostic,SHORT,true,none,539
q1_quick,b_parent_wave2,parent_wave1_wave2_diagnostic,LONG,true,none,554
q1_quick,b_parent_wave2,parent_wave1_wave2_diagnostic,SHORT,true,none,539
q1_quick,c_child_countertrend,child_countertrend_diagnostic,LONG,true,none,554
q1_quick,c_child_countertrend,child_countertrend_diagnostic,SHORT,true,none,539
q1_quick,d_child_flip,child_flip_diagnostic,LONG,true,none,554
q1_quick,d_child_flip,child_flip_diagnostic,SHORT,true,none,539
q1_quick,e_base_first_child_flip,base_first_child_flip,LONG,true,none,554
q1_quick,e_base_first_child_flip,base_first_child_flip,SHORT,true,none,539
q1_quick,f_child_stop,child_flip_stop_child_extreme,LONG,true,none,554
q1_quick,f_child_stop,child_flip_stop_child_extreme,SHORT,true,none,539
q1_quick,g_parent_stop,child_flip_stop_parent_extreme,LONG,true,none,554
q1_quick,g_parent_stop,child_flip_stop_parent_extreme,SHORT,true,none,539
q1_quick,h_one_symbol,one_symbol_first_child_flip,LONG,true,none,554
q1_quick,h_one_symbol,one_symbol_first_child_flip,SHORT,true,none,539
q1_quick,i_h1_diag,all_symbols_h1_alignment_diag,LONG,true,none,554
q1_quick,i_h1_diag,all_symbols_h1_alignment_diag,SHORT,true,none,539
q1_quick,j_full_fractal_diag,all_symbols_full_fractal_diag,LONG,true,none,554
q1_quick,j_full_fractal_diag,all_symbols_full_fractal_diag,SHORT,true,none,539
