period_id,variant,variant_name,parent_direction,child_trend_state,aligned_with_wave2,count
full2025_validation,a_parent_flip,parent_flip_only_diagnostic,LONG,falling,true,1785
full2025_validation,a_parent_flip,parent_flip_only_diagnostic,SHORT,rising,true,1675
full2025_validation,b_parent_wave2,parent_wave1_wave2_diagnostic,LONG,falling,true,1785
full2025_validation,b_parent_wave2,parent_wave1_wave2_diagnostic,SHORT,rising,true,1675
full2025_validation,c_child_countertrend,child_countertrend_diagnostic,LONG,falling,true,1785
full2025_validation,c_child_countertrend,child_countertrend_diagnostic,SHORT,rising,true,1675
full2025_validation,d_child_flip,child_flip_diagnostic,LONG,falling,true,1785
full2025_validation,d_child_flip,child_flip_diagnostic,SHORT,rising,true,1675
full2025_validation,e_base_first_child_flip,base_first_child_flip,LONG,falling,true,1785
full2025_validation,e_base_first_child_flip,base_first_child_flip,SHORT,rising,true,1675
full2025_validation,f_child_stop,child_flip_stop_child_extreme,LONG,falling,true,1785
full2025_validation,f_child_stop,child_flip_stop_child_extreme,SHORT,rising,true,1675
full2025_validation,g_parent_stop,child_flip_stop_parent_extreme,LONG,falling,true,1785
full2025_validation,g_parent_stop,child_flip_stop_parent_extreme,SHORT,rising,true,1675
full2025_validation,h_one_symbol,one_symbol_first_child_flip,LONG,falling,true,1785
full2025_validation,h_one_symbol,one_symbol_first_child_flip,SHORT,rising,true,1675
full2025_validation,i_h1_diag,all_symbols_h1_alignment_diag,LONG,falling,true,1785
full2025_validation,i_h1_diag,all_symbols_h1_alignment_diag,SHORT,rising,true,1675
full2025_validation,j_full_fractal_diag,all_symbols_full_fractal_diag,LONG,falling,true,1785
full2025_validation,j_full_fractal_diag,all_symbols_full_fractal_diag,SHORT,rising,true,1675
q1_quick,a_parent_flip,parent_flip_only_diagnostic,LONG,falling,true,425
q1_quick,a_parent_flip,parent_flip_only_diagnostic,SHORT,rising,true,412
q1_quick,b_parent_wave2,parent_wave1_wave2_diagnostic,LONG,falling,true,425
q1_quick,b_parent_wave2,parent_wave1_wave2_diagnostic,SHORT,rising,true,412
q1_quick,c_child_countertrend,child_countertrend_diagnostic,LONG,falling,true,425
q1_quick,c_child_countertrend,child_countertrend_diagnostic,SHORT,rising,true,412
q1_quick,d_child_flip,child_flip_diagnostic,LONG,falling,true,425
q1_quick,d_child_flip,child_flip_diagnostic,SHORT,rising,true,412
q1_quick,e_base_first_child_flip,base_first_child_flip,LONG,falling,true,425
q1_quick,e_base_first_child_flip,base_first_child_flip,SHORT,rising,true,412
q1_quick,f_child_stop,child_flip_stop_child_extreme,LONG,falling,true,425
q1_quick,f_child_stop,child_flip_stop_child_extreme,SHORT,rising,true,412
q1_quick,g_parent_stop,child_flip_stop_parent_extreme,LONG,falling,true,425
q1_quick,g_parent_stop,child_flip_stop_parent_extreme,SHORT,rising,true,412
q1_quick,h_one_symbol,one_symbol_first_child_flip,LONG,falling,true,425
q1_quick,h_one_symbol,one_symbol_first_child_flip,SHORT,rising,true,412
q1_quick,i_h1_diag,all_symbols_h1_alignment_diag,LONG,falling,true,425
q1_quick,i_h1_diag,all_symbols_h1_alignment_diag,SHORT,rising,true,412
q1_quick,j_full_fractal_diag,all_symbols_full_fractal_diag,LONG,falling,true,425
q1_quick,j_full_fractal_diag,all_symbols_full_fractal_diag,SHORT,rising,true,412
