"scenario_mode","dow_regime_h4","dow_regime_h1","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","trend_down","trend_down","86","0.372093023255814","-229.78","812.51","-1042.29","0.779543121396157","-10.9449","-0.127266279069767","0.767239729319342"
"baseline_all_sessions","trend_down","range","49","0.244897959183673","-461.08","248.97","-710.05","0.350637279064855","-20.6162","-0.420738775510204","0.354153352630853"
"baseline_all_sessions","range","trend_down","50","0.4","-176.07","432.99","-609.06","0.710915180770368","-7.7322","-0.154644","0.71175825896352"
"baseline_all_sessions","range","range","48","0.416666666666667","-83.2","530.55","-613.75","0.864439918533605","-3.3776","-0.0703666666666667","0.874358325769637"
"baseline_all_sessions","range","trend_up","33","0.272727272727273","-279.2","239.71","-518.91","0.461949085583242","-12.3755","-0.375015151515151","0.463486007846877"
"baseline_all_sessions","trend_up","trend_up","41","0.414634146341463","-176.8","278.28","-455.08","0.611496879669509","-7.6948","-0.187678048780488","0.622061012087486"
"baseline_all_sessions","trend_up","range","22","0.318181818181818","-16.18","177.89","-194.07","0.916628020817231","-0.8035","-0.0365227272727273","0.911339887671444"
"baseline_all_sessions","transition_down","trend_down","4","0.25","-21.94","33.7","-55.64","0.60567936736161","-0.9776","-0.2444","0.589554118733731"
"baseline_all_sessions","transition_down","range","1","1","5.48","5.48","0","∞","0.1801","0.1801","∞"
"baseline_all_sessions","transition_up","trend_up","5","0.2","-63.98","7.6","-71.58","0.106174909192512","-2.7933","-0.55866","0.14835818165188"
"session_volatility_only_filter","range","range","47","0.425531914893617","-43.47","513.32","-556.79","0.921927477145782","-2.2408","-0.0476765957446809","0.90835960919512"
"session_volatility_only_filter","range","trend_down","41","0.390243902439024","-61.0200000000001","432.94","-493.96","0.876467730180582","-2.7172","-0.0662731707317073","0.875245633689005"
"session_volatility_only_filter","range","trend_up","28","0.392857142857143","-179.05","157.46","-336.51","0.467920715580518","-7.3944","-0.264085714285714","0.488623632415386"
"session_volatility_only_filter","trend_down","range","38","0.263157894736842","-322.91","209.78","-532.69","0.393812536371999","-14.0895","-0.370776315789474","0.411554653435574"
"session_volatility_only_filter","trend_down","trend_down","47","0.276595744680851","-456.97","279.91","-736.88","0.379858321572033","-20.0463","-0.426517021276596","0.380912527331349"
"session_volatility_only_filter","trend_up","trend_up","32","0.375","-123.76","230.77","-354.53","0.650918116943559","-5.2193","-0.163103125","0.663129699551425"
"session_volatility_only_filter","trend_up","range","26","0.384615384615385","-66.61","243.52","-310.13","0.785219101667043","-3.2663","-0.125626923076923","0.765744120832228"
"session_volatility_only_filter","transition_down","trend_down","4","0.5","16.2","60.76","-44.56","1.36355475763016","0.7095","0.177375","1.33811475409836"
"session_volatility_only_filter","transition_down","range","2","0.5","-19.11","5.38","-24.49","0.219681502654145","-0.8506","-0.4253","0.174735616571262"
"session_volatility_only_filter","transition_up","trend_up","3","0","-52.52","0","-52.52","0","-2.274","-0.758","0"
"london_only_reference","trend_down","range","33","0.212121212121212","-385.78","129.66","-515.44","0.251552072016141","-16.4177","-0.497506060606061","0.273514522895021"
"london_only_reference","trend_down","trend_down","43","0.418604651162791","24.08","453.24","-429.16","1.05610960946966","0.8571","0.0199325581395349","1.04473382045929"
"london_only_reference","range","range","51","0.411764705882353","32.29","584.22","-551.93","1.0585037957712","1.4366","0.0281686274509804","1.0581492305326"
"london_only_reference","range","trend_down","38","0.157894736842105","-507.12","110.97","-618.09","0.1795369606368","-23.2532","-0.611926315789474","0.187039167083288"
"london_only_reference","range","trend_up","31","0.290322580645161","-338.82","133.35","-472.17","0.282419467564648","-15.0936","-0.486890322580645","0.287644596310228"
"london_only_reference","trend_up","trend_up","39","0.435897435897436","-26.81","381.26","-408.07","0.934300487661431","-0.9193","-0.0235717948717949","0.950773234519245"
"london_only_reference","trend_up","range","32","0.28125","-259.01","182.8","-441.81","0.413752518050746","-12.5424","-0.39195","0.386811639549437"
"london_only_reference","transition_up","trend_up","1","0","-5.1","0","-5.1","0","-0.2599","-0.2599","0"
"london_only_reference","transition_down","range","1","0","-24.12","0","-24.12","0","-1.0307","-1.0307","0"
"london_only_reference","transition_down","trend_down","2","0.5","9.9","27.06","-17.16","1.57692307692308","0.4013","0.20065","1.40033918595371"
"newyork_only_reference","trend_down","range","38","0.315789473684211","-165.49","275.66","-441.15","0.624866825342854","-5.9314","-0.156089473684211","0.696637718517609"
"newyork_only_reference","trend_down","trend_down","45","0.355555555555556","-156.19","271.32","-427.51","0.634651821010035","-6.2026","-0.137835555555556","0.675708176048017"
"newyork_only_reference","trend_up","trend_up","62","0.483870967741935","-130.61","459.43","-590.04","0.778642125957562","-5.9994","-0.0967645161290323","0.780058070476442"
"newyork_only_reference","trend_up","range","30","0.266666666666667","-201.19","161.43","-362.62","0.445176769069549","-9.6644","-0.322146666666667","0.431796668763633"
"newyork_only_reference","transition_down","trend_down","4","0.25","-48.45","6.71","-55.16","0.121646120377085","-2.0709","-0.517725","0.0938566552901024"
"newyork_only_reference","transition_down","range","1","0","-26.53","0","-26.53","0","-1.1842","-1.1842","0"
"newyork_only_reference","range","trend_up","39","0.435897435897436","-341.38","215.38","-556.76","0.386845319347654","-15.7604","-0.404112820512821","0.382656858367216"
"newyork_only_reference","range","trend_down","45","0.333333333333333","-249.01","298.01","-547.02","0.544788124748638","-10.6224","-0.236053333333333","0.564414737662231"
"newyork_only_reference","range","range","45","0.466666666666667","-39.39","406.7","-446.09","0.911699432849874","-0.5628","-0.0125066666666667","0.970813064628214"
"newyork_only_reference","transition_up","trend_up","4","0.25","-64.48","0.7","-65.18","0.010739490641301","-3.0294","-0.75735","0.0129353882245609"
"newyork_only_reference","transition_up","range","1","0","-3.25","0","-3.25","0","-0.1941","-0.1941","0"
"tokyo_only_reference","range","trend_down","61","0.377049180327869","-227.33","495.75","-723.08","0.68560878464347","-9.6828","-0.158734426229508","0.69249237804878"
"tokyo_only_reference","range","range","46","0.478260869565217","-38.52","480.86","-519.38","0.925834649004583","-1.358","-0.0295217391304348","0.940711376168418"
