"scenario_mode","direction","session_label","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","SHORT","other","21","0.571428571428571","135.53","271.25","-135.72","1.99860005894489","5.2916","0.251980952380952","1.82906652461379"
"baseline_all_sessions","SHORT","tokyo","75","0.413333333333333","-205.29","719.76","-925.05","0.778076860710232","-8.7807","-0.117076","0.782629576359509"
"baseline_all_sessions","SHORT","london","49","0.326530612244898","-245.04","368.38","-613.42","0.600534707052264","-10.872","-0.221877551020408","0.605063842926422"
"baseline_all_sessions","SHORT","london_newyork_overlap","32","0.25","-319.5","208.83","-528.33","0.395264323434217","-15.2499","-0.476559375","0.369487110578215"
"baseline_all_sessions","SHORT","new_york","30","0.266666666666667","-238.32","166.35","-404.67","0.411075691304026","-10.0944","-0.33648","0.438335660989412"
"baseline_all_sessions","LONG","other","9","0","-166.95","0","-166.95","0","-7.6919","-0.854655555555556","0"
"baseline_all_sessions","LONG","tokyo","45","0.4","-127.75","366.49","-494.24","0.741522337325995","-5.0864","-0.113031111111111","0.766571821936668"
"baseline_all_sessions","LONG","london","42","0.380952380952381","-72.03","434.77","-506.8","0.857872928176796","-3.1832","-0.0757904761904762","0.858442026246392"
"baseline_all_sessions","LONG","london_newyork_overlap","13","0.461538461538462","-33.1","125.4","-158.5","0.791167192429022","-1.5299","-0.117684615384615","0.784763646595385"
"baseline_all_sessions","LONG","new_york","23","0.217391304347826","-230.3","106.45","-336.75","0.316109873793615","-9.9387","-0.432117391304348","0.348734650013761"
"session_volatility_only_filter","LONG","other","7","0.142857142857143","-76.93","3.89","-80.82","0.0481316505815392","-3.2328","-0.461828571428572","0.0636892866452342"
"session_volatility_only_filter","LONG","london","61","0.39344262295082","-66.94","641.64","-708.58","0.905529368596348","-3.6225","-0.0593852459016393","0.884354588465148"
"session_volatility_only_filter","LONG","london_newyork_overlap","29","0.413793103448276","-96.35","217.45","-313.8","0.69295729764181","-3.9383","-0.135803448275862","0.716597704457957"
"session_volatility_only_filter","LONG","tokyo","20","0.5","-18.18","203.07","-221.25","0.917830508474576","-0.3132","-0.01566","0.966099126500482"
"session_volatility_only_filter","SHORT","london","50","0.2","-663.44","206.74","-870.18","0.237583028798639","-28.1833","-0.563666","0.264690765357371"
"session_volatility_only_filter","SHORT","london_newyork_overlap","50","0.28","-500.22","289.94","-790.16","0.366938341601701","-22.1427","-0.442854","0.362757822819928"
"session_volatility_only_filter","SHORT","other","14","0.571428571428571","44.01","139.85","-95.84","1.45920283806344","1.869","0.1335","1.44562599842636"
"session_volatility_only_filter","SHORT","tokyo","35","0.428571428571429","48.58","401","-352.42","1.13784688723682","1.3015","0.0371857142857143","1.08060720169452"
"session_volatility_only_filter","SHORT","new_york","2","0.5","20.25","30.26","-10.01","3.02297702297702","0.8734","0.4367","2.65542077331312"
"london_only_reference","SHORT","london","138","0.289855072463768","-932.63","904.85","-1837.48","0.492440734048806","-41.4207","-0.30015","0.50173403729353"
"london_only_reference","LONG","london","133","0.360902255639098","-547.86","1097.71","-1645.57","0.667069769137746","-25.4011","-0.190985714285714","0.659265628500257"
"newyork_only_reference","SHORT","new_york","155","0.348387096774194","-701.25","992.66","-1693.91","0.586016966662928","-27.4268","-0.176947096774193","0.633556413911784"
"newyork_only_reference","LONG","new_york","159","0.421383647798742","-724.72","1102.68","-1827.4","0.603414687534201","-33.7952","-0.212548427672956","0.597916004859007"
"tokyo_only_reference","SHORT","tokyo","188","0.382978723404255","-621.11","1675.11","-2296.22","0.729507625575947","-26.9241","-0.14321329787234","0.731524691579615"
"tokyo_only_reference","LONG","tokyo","149","0.355704697986577","-709.84","1105.17","-1815.01","0.608905736056551","-31.552","-0.211758389261745","0.611907473782352"
"london_newyork_overlap_reference","SHORT","london_newyork_overlap","116","0.275862068965517","-849.24","665.04","-1514.28","0.439179015769871","-36.0195","-0.310512931034483","0.455856871148684"
