"scenario_mode","entry_time","exit_time","strategy","symbol","direction","base_currency","quote_currency","server_time","server_hour","utc_hour","session_label","session_window_name","allowed_session","session_volatility_rank","dow_regime_h4","dow_regime_h1","h4_structure","h1_structure","fractal_alignment","wave_stage","setup_type","wave_tf","fib_zone","divergence_type","m15_confirmation_type","failure_type","wave_size_atr","retracement_ratio","extension_ratio","wave_rule_validity","wave3_break_confirmed","pivot_confirmation_delay_bars","entry_delay_from_pivot","pivot_time","pivot_confirmed_time","room_to_1r","room_to_2r","entry","exit","stop_loss","take_profit","risk_price","result_r","profit","commission","swap","net_profit","volume","reward_r","holding_bars","atr","spread_points","spread_atr","atr_session_percentile","average_m15_range_atr","average_h1_range_atr","average_true_range","realized_volatility","breakout_followthrough_rate","average_spread_atr","score","exit_reason","position_id"
"baseline_all_sessions","2025.01.02 00:15:00","2025.01.02 01:53:11","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","USDJPY","SHORT","USD","JPY","2025.01.02 00:15:00","0","22","other","other","true","3","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","wave3_unconfirmed_too_early","6.6288","0.7467","0.1814","valid_wave2","false","3","4","2024.12.31 19:00:00","2024.12.31 22:00:00","3.0128","3.0128","157.19600000","157.59100000","157.58800000","156.64700000","0.39200000","-1.0077","-25.06","0.00","0.00","-25.06","0.100","1.400","6","0.30850000","27.00","0.087520","0.6000","1.0229","0.9073","0.07258824","0.827918","1.0000","0.517100","1.1500","DEAL_REASON_SL","2"
"baseline_all_sessions","2025.01.02 02:15:01","2025.01.02 04:46:25","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","SHORT","GBP","USD","2025.01.02 02:15:01","2","0","tokyo","tokyo_utc_00_08","true","4","range","trend_down","compression_range","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_382","none","ma_reclaim","target_blocked","3.1703","0.3454","3.5000","valid_wave4","true","3","3","2024.12.31 22:00:00","2025.01.02 01:00:00","0.4451","0.4451","1.25123000","1.25296000","1.25296000","1.24881000","0.00173000","-1.0000","-24.22","0.00","0.00","-24.22","0.140","1.400","10","0.00200929","20.00","0.099538","0.4000","0.9441","0.5954","0.00039632","0.559714","0.8148","0.422961","1.3723","DEAL_REASON_SL","6"
"baseline_all_sessions","2025.01.02 01:30:00","2025.01.02 08:27:35","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","EURJPY","LONG","EUR","JPY","2025.01.02 01:30:00","1","23","other","other","true","2","range","range","expanding_transition","compression_range","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","wave3_unconfirmed_too_early","3.2460","0.8298","0.2437","valid_wave2","false","3","7","2024.12.31 17:00:00","2024.12.31 20:00:00","6.0760","6.0760","162.88800000","162.52000000","162.55900000","163.34900000","0.32900000","-1.1185","-25.69","0.00","0.00","-25.69","0.110","1.400","27","0.29328571","33.00","0.112518","0.8000","1.0822","0.9624","0.10413636","0.562851","0.7273","0.293147","1.1500","DEAL_REASON_SL","4"
"baseline_all_sessions","2025.01.02 01:15:01","2025.01.02 09:15:00","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","EURUSD","SHORT","EUR","USD","2025.01.02 01:15:01","1","23","other","other","true","3","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","target_blocked","3.7374","0.6085","0.8245","valid_wave2","true","3","3","2024.12.31 08:00:00","2024.12.31 20:00:00","0.1290","0.1290","1.03528000","1.03686000","1.04272000","1.02487000","0.00744000","-0.2124","-4.74","0.00","0.00","-4.74","0.030","1.400","32","0.00231714","18.00","0.077682","0.6000","0.9796","0.5690","0.00041571","0.576324","1.0000","0.500000","1.5565","DEAL_REASON_EXPERT","3"
"baseline_all_sessions","2025.01.02 06:45:00","2025.01.02 12:32:04","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","SHORT","GBP","USD","2025.01.02 06:45:00","6","4","tokyo","tokyo_utc_00_08","true","4","range","range","compression_range","compression_range","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_382_786","none","ma_reclaim","other","3.2561","0.6220","0.4871","valid_wave2","false","3","4","2024.12.31 08:00:00","2024.12.31 20:00:00","0.6618","0.6618","1.25318000","1.24735000","1.25729000","1.24742000","0.00411000","1.4185","34.98","0.00","0.00","34.98","0.060","1.400","23","0.00309571","20.00","0.064605","0.4000","0.9464","0.5979","0.00042027","0.550916","0.8611","0.417288","1.0331","DEAL_REASON_TP","8"
"baseline_all_sessions","2025.01.02 10:00:00","2025.01.02 18:00:00","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","EURUSD","SHORT","EUR","USD","2025.01.02 10:00:00","10","8","london","london_utc_07_16","true","1","trend_down","range","LH_LL","expanding_transition","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","other","3.7374","0.6085","0.7009","valid_wave2","true","3","5","2024.12.31 08:00:00","2024.12.31 20:00:00","0.2899","0.2899","1.03620000","1.02751000","1.04272000","1.02708000","0.00652000","1.3328","26.07","0.00","0.00","26.07","0.030","1.400","32","0.00231714","18.00","0.077682","1.0000","1.3384","1.4379","0.00073577","0.809152","0.9167","0.419301","1.5645","DEAL_REASON_EXPERT","11"
"baseline_all_sessions","2025.01.02 17:30:00","2025.01.02 19:21:44","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","AUDJPY","SHORT","AUD","JPY","2025.01.02 17:30:00","17","15","london_newyork_overlap","london_newyork_overlap_utc_13_16","true","1","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","candle_reversal","wave3_unconfirmed_too_early","4.1020","0.5531","0.2540","valid_wave2","false","3","3","2025.01.02 00:00:00","2025.01.02 12:00:00","1.1178","1.1178","97.48300000","97.98800000","97.98400000","96.78200000","0.50100000","-1.0080","-22.43","0.00","0.00","-22.43","0.070","1.400","7","0.43857143","28.00","0.063844","1.0000","1.4254","1.1523","0.15979412","0.991637","0.9500","0.187291","1.4059","DEAL_REASON_SL","13"
"baseline_all_sessions","2025.01.02 20:00:00","2025.01.03 04:00:00","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","AUDJPY","SHORT","AUD","JPY","2025.01.02 20:00:00","20","18","new_york","new_york_utc_13_22","true","5","trend_down","range","LH_LL","compression_range","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","other","4.1020","0.5531","0.1151","valid_wave2","false","3","4","2025.01.02 00:00:00","2025.01.02 12:00:00","2.9590","2.9590","97.71600000","97.71300000","97.98400000","97.34100000","0.26800000","0.0112","0.27","0.00","-1.15","-0.88","0.140","1.400","32","0.43857143","28.00","0.063844","0.2000","0.7723","0.8579","0.08266071","0.469012","0.8696","0.201129","1.4979","DEAL_REASON_EXPERT","16"
"baseline_all_sessions","2025.01.02 20:30:00","2025.01.03 04:30:00","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","USDJPY","SHORT","USD","JPY","2025.01.02 20:30:00","20","18","new_york","new_york_utc_13_22","true","5","trend_down","range","LH_LL","compression_range","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_other","none","ma_reclaim","other","4.2706","0.8577","0.1012","valid_wave2","false","3","4","2025.01.02 00:00:00","2025.01.02 12:00:00","5.3183","5.3183","157.55200000","157.31700000","157.84100000","157.14800000","0.28900000","0.8131","19.42","0.00","-1.45","17.97","0.130","1.400","32","0.47885714","16.00","0.033413","0.2000","0.7462","0.8981","0.10532759","0.496796","0.8667","0.083895","1.1500","DEAL_REASON_EXPERT","17"
"baseline_all_sessions","2025.01.02 23:45:00","2025.01.03 07:45:01","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPJPY","SHORT","GBP","JPY","2025.01.02 23:45:00","23","21","new_york","new_york_utc_13_22","true","5","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","other","4.2237","0.5551","0.8031","valid_wave2","true","3","4","2025.01.02 00:00:00","2025.01.02 12:00:00","0.3150","0.3150","195.00400000","194.97900000","197.62000000","191.34200000","2.61600000","0.0096","0.16","0.00","-0.14","0.02","0.010","1.400","32","0.76000000","45.00","0.059211","0.2000","0.7540","0.8201","0.15953521","0.464414","0.6571","0.365429","1.5657","DEAL_REASON_EXPERT","18"
"baseline_all_sessions","2025.01.03 06:45:00","2025.01.03 08:12:58","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","SHORT","GBP","USD","2025.01.03 06:45:00","6","4","tokyo","tokyo_utc_00_08","true","3","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_shallow","none","ma_reclaim","fib_not_aligned","7.7824","0.1767","9.4250","valid_wave4","true","3","7","2025.01.02 22:00:00","2025.01.03 01:00:00","4.7176","4.7176","1.23912000","1.24000000","1.23997000","1.23793000","0.00085000","-1.0353","-25.52","0.00","0.00","-25.52","0.290","1.400","5","0.00242214","20.00","0.082572","0.6000","0.9503","0.5745","0.00042160","0.558205","0.9167","0.563380","1.2000","DEAL_REASON_SL","23"
"baseline_all_sessions","2025.01.03 06:30:00","2025.01.03 08:55:44","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","USDJPY","LONG","USD","JPY","2025.01.03 06:30:00","6","4","tokyo","tokyo_utc_00_08","true","3","range","trend_up","compression_range","HH_HL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_50_618","none","ma_reclaim","wave3_unconfirmed_too_early","4.3421","0.5565","0.1129","valid_wave2","false","3","3","2025.01.03 02:00:00","2025.01.03 05:00:00","1.7471","1.7471","157.38500000","157.12400000","157.12400000","157.75000000","0.26100000","-1.0000","-24.92","0.00","0.00","-24.92","0.150","1.400","9","0.27935714","22.00","0.078752","0.6000","1.1070","1.0778","0.10954054","0.767669","0.8537","0.228317","1.4374","DEAL_REASON_SL","22"
"baseline_all_sessions","2025.01.03 09:00:00","2025.01.03 09:10:30","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","EURJPY","LONG","EUR","JPY","2025.01.03 09:00:00","9","7","london","london_utc_07_16","true","2","range","range","expanding_transition","compression_range","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","wave3_unconfirmed_too_early","2.8177","0.3406","0.1449","valid_wave2","false","3","3","2025.01.03 05:00:00","2025.01.03 08:00:00","10.0939","10.0939","161.56600000","161.37700000","161.38500000","161.82000000","0.18100000","-1.0442","-25.26","0.00","0.00","-25.26","0.210","1.400","0","0.29385714","30.00","0.102090","0.8000","1.1297","1.0798","0.18339583","0.757868","0.9600","0.357143","1.1500","DEAL_REASON_SL","27"
"baseline_all_sessions","2025.01.03 06:15:01","2025.01.03 09:21:03","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","AUDJPY","LONG","AUD","JPY","2025.01.03 06:15:01","6","4","tokyo","tokyo_utc_00_08","true","4","range","trend_up","compression_range","HH_HL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","wave3_unconfirmed_too_early","3.1282","0.6906","0.2447","valid_wave2","false","3","3","2025.01.03 02:00:00","2025.01.03 05:00:00","1.0270","1.0270","97.76000000","97.50000000","97.50100000","98.12300000","0.25900000","-1.0039","-24.82","0.00","0.00","-24.82","0.150","1.400","12","0.22728571","28.00","0.123193","0.4000","0.9995","1.0978","0.08782192","0.654353","0.7879","0.364991","1.0514","DEAL_REASON_SL","21"
