"scenario_mode","server_hour","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","0","6","0.5","3.27","33.8","-30.53","1.10710776285621","0.0383","0.00638333333333334","1.02692821486325"
"baseline_all_sessions","2","20","0.45","11.32","233.4","-222.08","1.05097262247839","0.6294","0.03147","1.06591404155496"
"baseline_all_sessions","1","24","0.375","-34.69","237.45","-272.14","0.872528845447196","-2.4386","-0.101608333333333","0.807258816648488"
"baseline_all_sessions","6","14","0.142857142857143","-201.06","67.26","-268.32","0.25067084078712","-8.3972","-0.5998","0.251079162355963"
"baseline_all_sessions","10","21","0.285714285714286","-102.15","129.37","-231.52","0.558785418106427","-4.6175","-0.219880952380952","0.555659269808888"
"baseline_all_sessions","17","18","0.277777777777778","-182.64","85.94","-268.58","0.319979149601608","-8.7335","-0.485194444444444","0.298468977926293"
"baseline_all_sessions","20","8","0.375","-23.36","54.73","-78.09","0.700857984377001","-0.7079","-0.0884875","0.79778330048276"
"baseline_all_sessions","23","9","0.222222222222222","-141.88","24.96","-166.84","0.149604411412131","-6.0548","-0.672755555555555","0.161744957151362"
"baseline_all_sessions","9","23","0.391304347826087","-82.8","242.89","-325.69","0.745770517977218","-3.8232","-0.166226086956522","0.737173890626611"
"baseline_all_sessions","12","14","0.285714285714286","-70.69","103.2","-173.89","0.593478635919259","-3.2282","-0.230585714285714","0.582012637248809"
"baseline_all_sessions","15","13","0.307692307692308","-124.64","87.36","-212","0.412075471698113","-5.8567","-0.450515384615385","0.392086442947447"
"baseline_all_sessions","16","14","0.357142857142857","-45.32","160.93","-206.25","0.780266666666667","-2.1896","-0.1564","0.76228938683342"
"baseline_all_sessions","7","14","0.5","-52.65","111.38","-164.03","0.679022130098152","-1.8115","-0.129392857142857","0.745002815315315"
"baseline_all_sessions","4","21","0.571428571428571","143.56","305.55","-161.99","1.88622754491018","6.3157","0.300747619047619","1.86029722256276"
"baseline_all_sessions","19","15","0.0666666666666667","-209.65","29.61","-239.26","0.123756582796957","-9.6204","-0.64136","0.127464673765169"
"baseline_all_sessions","22","6","0.333333333333333","-27.7","36.8","-64.5","0.570542635658915","-0.8036","-0.133933333333333","0.701618892024358"
"baseline_all_sessions","11","10","0.4","4.61000000000002","121.61","-117","1.03940170940171","0.3752","0.03752","1.07127794980908"
"baseline_all_sessions","3","17","0.529411764705882","-18.2","156.82","-175.02","0.896011884356074","-0.5077","-0.0298647058823529","0.932536940576167"
"baseline_all_sessions","21","7","0.142857142857143","-109.89","6.25","-116.14","0.0538143619769244","-5.0494","-0.721342857142857","0.0521296765594789"
"baseline_all_sessions","5","15","0.2","-97.15","101","-198.15","0.509714862477921","-4.7675","-0.317833333333333","0.471827084995125"
"baseline_all_sessions","13","14","0.5","25.23","160.91","-135.68","1.18595224056604","1.4807","0.105764285714286","1.24888642361286"
"baseline_all_sessions","14","9","0.222222222222222","-91.27","45.17","-136.44","0.331061272354148","-4.2422","-0.471355555555556","0.309166707378638"
"baseline_all_sessions","8","19","0.368421052631579","-118.86","110.84","-229.7","0.482542446669569","-5.3283","-0.280436842105263","0.488970517714308"
"baseline_all_sessions","18","8","0.5","43.86","120.45","-76.59","1.57265961613788","2.203","0.275375","1.63615362402541"
"session_volatility_only_filter","1","17","0.352941176470588","-66.07","109.94","-176.01","0.624623600931765","-2.7866","-0.163917647058824","0.63377579182547"
"session_volatility_only_filter","10","21","0.19047619047619","-214.7","104.31","-319.01","0.326980345443716","-9.4148","-0.44832380952381","0.340423146980524"
"session_volatility_only_filter","17","27","0.37037037037037","-168.09","176.25","-344.34","0.511848754138352","-7.3404","-0.271866666666667","0.518450729172817"
"session_volatility_only_filter","0","4","0.75","33.15","33.8","-0.65","52","1.4228","0.3557","38.6402116402116"
"session_volatility_only_filter","9","38","0.394736842105263","-146.59","357.75","-504.34","0.70934290359678","-6.4027","-0.168492105263158","0.710151291546325"
"session_volatility_only_filter","12","23","0.304347826086957","-142.29","168.94","-311.23","0.542813996080069","-6.494","-0.282347826086957","0.5406672843916"
"session_volatility_only_filter","15","28","0.321428571428571","-292.34","130.87","-423.21","0.309231823444626","-12.6964","-0.453442857142857","0.322182656836418"
"session_volatility_only_filter","16","24","0.291666666666667","-136.14","200.27","-336.41","0.595315240331738","-6.0442","-0.251841666666667","0.58797785897366"
"session_volatility_only_filter","2","13","0.615384615384615","128.78","209.69","-80.91","2.59164503769621","5.6071","0.431315384615384","2.61830408681598"
"session_volatility_only_filter","3","13","0.615384615384615","44.68","162.17","-117.49","1.38028768405822","2.1694","0.166876923076923","1.43105229693212"
"session_volatility_only_filter","11","13","0.230769230769231","-113.18","100.68","-213.86","0.47077527354344","-5.1112","-0.393169230769231","0.453277425979805"
"session_volatility_only_filter","14","7","0.285714285714286","-67.81","41.3","-109.11","0.378517092842086","-2.6943","-0.3849","0.414066067894657"
"session_volatility_only_filter","4","8","0.375","-44.4","72.34","-116.74","0.61966763748501","-2.1486","-0.268575","0.584152667027948"
"session_volatility_only_filter","5","12","0.333333333333333","-1.1","127.71","-128.81","0.991460290350128","-0.3737","-0.0311416666666666","0.93804502801817"
"session_volatility_only_filter","8","2","0","-43.83","0","-43.83","0","-2.0044","-1.0022","0"
"session_volatility_only_filter","6","6","0.166666666666667","-54.16","31.73","-85.89","0.369426010012807","-2.2871","-0.381183333333333","0.379230790109383"
"session_volatility_only_filter","13","9","0.333333333333333","-45.81","75.4","-121.21","0.622060886065506","-1.6888","-0.187644444444444","0.675474163608063"
"session_volatility_only_filter","19","1","0","-10.01","0","-10.01","0","-0.5276","-0.5276","0"
"session_volatility_only_filter","7","1","1","0.43","0.43","0","∞","0.0256","0.0256","∞"
"session_volatility_only_filter","20","1","1","30.26","30.26","0","∞","1.401","1.401","∞"
"london_only_reference","10","44","0.295454545454545","-203.46","326.15","-529.61","0.615830516795378","-8.7199","-0.198179545454546","0.635889512913126"
"london_only_reference","9","93","0.354838709677419","-412.67","733.37","-1146.04","0.639916582318243","-19.3362","-0.207916129032258","0.62814284890094"
"london_only_reference","12","44","0.272727272727273","-377.13","273.92","-651.05","0.420735734582597","-17.072","-0.388","0.417538664146489"
"london_only_reference","11","33","0.363636363636364","-64.27","292.82","-357.09","0.82001736256966","-2.5774","-0.0781030303030303","0.841858866984495"
"london_only_reference","14","27","0.222222222222222","-313.09","103.63","-416.72","0.248680168938376","-14.433","-0.534555555555555","0.242159318242679"
"london_only_reference","13","30","0.4","-109.87","272.67","-382.54","0.712788205155016","-4.6833","-0.15611","0.725757149884056"
"newyork_only_reference","20","40","0.5","-28.04","323.17","-351.21","0.920161726602318","-0.8243","-0.0206075","0.947538917811183"
"newyork_only_reference","23","52","0.269230769230769","-677.25","211.7","-888.95","0.238146127453738","-29.8419","-0.573882692307692","0.247262545876477"
"newyork_only_reference","18","79","0.430379746835443","-109.16","561.63","-670.79","0.83726650665633","-4.7645","-0.0603101265822785","0.846596927752932"
"newyork_only_reference","19","51","0.352941176470588","-200.15","396.65","-596.8","0.664628016085791","-8.9722","-0.175925490196078","0.669053178265408"
"newyork_only_reference","22","51","0.392156862745098","-121.44","451.77","-573.21","0.788140472078296","-4.6491","-0.0911588235294118","0.819218640027687"
"newyork_only_reference","21","41","0.365853658536585","-289.93","150.42","-440.35","0.341591915521744","-12.17","-0.296829268292683","0.380749816819995"
"tokyo_only_reference","2","81","0.407407407407407","17.5","905.2","-887.7","1.01971386729751","0.597499999999998","0.00737654320987652","1.01532660416319"
"tokyo_only_reference","5","42","0.214285714285714","-391.5","206.49","-597.99","0.345306777705313","-17.1055","-0.40727380952381","0.352393103500496"
"tokyo_only_reference","6","35","0.257142857142857","-303.48","230.64","-534.12","0.431813075713323","-12.7814","-0.365182857142857","0.444615357875343"
"tokyo_only_reference","7","28","0.357142857142857","-158.33","167.24","-325.57","0.513683693214977","-6.5136","-0.232628571428571","0.542098714226462"
"tokyo_only_reference","4","48","0.458333333333333","20.38","547.78","-527.4","1.03864239666287","0.4447","0.00926458333333333","1.01883922897691"
"tokyo_only_reference","3","57","0.473684210526316","-117.6","492.7","-610.3","0.807307881369818","-5.3249","-0.093419298245614","0.804715521098455"
"tokyo_only_reference","8","46","0.326086956521739","-397.92","230.23","-628.15","0.366520735493115","-17.7929","-0.386802173913044","0.366272981771297"
"london_newyork_overlap_reference","17","65","0.369230769230769","-257.59","458.94","-716.53","0.640503537883969","-10.7986","-0.166132307692308","0.655528369959455"
"london_newyork_overlap_reference","15","102","0.42156862745098","-350.17","770.45","-1120.62","0.687521193624957","-14.1151","-0.138383333333333","0.715824144408228"
"london_newyork_overlap_reference","16","59","0.254237288135593","-412.03","344.58","-756.61","0.45542617729081","-17.8366","-0.302315254237288","0.462519888144255"
"symbol_best_session","1","17","0.352941176470588","-66.07","109.94","-176.01","0.624623600931765","-2.7866","-0.163917647058824","0.63377579182547"
"symbol_best_session","10","21","0.19047619047619","-214.7","104.31","-319.01","0.326980345443716","-9.4148","-0.44832380952381","0.340423146980524"
"symbol_best_session","17","27","0.37037037037037","-168.09","176.25","-344.34","0.511848754138352","-7.3404","-0.271866666666667","0.518450729172817"
"symbol_best_session","0","4","0.75","33.15","33.8","-0.65","52","1.4228","0.3557","38.6402116402116"
"symbol_best_session","9","38","0.394736842105263","-146.59","357.75","-504.34","0.70934290359678","-6.4027","-0.168492105263158","0.710151291546325"
"symbol_best_session","12","23","0.304347826086957","-142.29","168.94","-311.23","0.542813996080069","-6.494","-0.282347826086957","0.5406672843916"
"symbol_best_session","15","28","0.321428571428571","-292.34","130.87","-423.21","0.309231823444626","-12.6964","-0.453442857142857","0.322182656836418"
"symbol_best_session","16","24","0.291666666666667","-136.14","200.27","-336.41","0.595315240331738","-6.0442","-0.251841666666667","0.58797785897366"
"symbol_best_session","2","13","0.615384615384615","128.78","209.69","-80.91","2.59164503769621","5.6071","0.431315384615384","2.61830408681598"
"symbol_best_session","3","13","0.615384615384615","44.68","162.17","-117.49","1.38028768405822","2.1694","0.166876923076923","1.43105229693212"
"symbol_best_session","11","13","0.230769230769231","-113.18","100.68","-213.86","0.47077527354344","-5.1112","-0.393169230769231","0.453277425979805"
"symbol_best_session","14","7","0.285714285714286","-67.81","41.3","-109.11","0.378517092842086","-2.6943","-0.3849","0.414066067894657"
"symbol_best_session","4","8","0.375","-44.4","72.34","-116.74","0.61966763748501","-2.1486","-0.268575","0.584152667027948"
"symbol_best_session","5","12","0.333333333333333","-1.1","127.71","-128.81","0.991460290350128","-0.3737","-0.0311416666666666","0.93804502801817"
"symbol_best_session","8","2","0","-43.83","0","-43.83","0","-2.0044","-1.0022","0"
"symbol_best_session","6","6","0.166666666666667","-54.16","31.73","-85.89","0.369426010012807","-2.2871","-0.381183333333333","0.379230790109383"
"symbol_best_session","13","9","0.333333333333333","-45.81","75.4","-121.21","0.622060886065506","-1.6888","-0.187644444444444","0.675474163608063"
"symbol_best_session","19","1","0","-10.01","0","-10.01","0","-0.5276","-0.5276","0"
"symbol_best_session","7","1","1","0.43","0.43","0","∞","0.0256","0.0256","∞"
"symbol_best_session","20","1","1","30.26","30.26","0","∞","1.401","1.401","∞"
"symbol_best_session_with_dow_alignment","10","20","0.3","-91.91","150.08","-241.99","0.62019091698004","-4.4157","-0.220785","0.61302111176352"
"symbol_best_session_with_dow_alignment","17","28","0.428571428571429","-92.28","208.3","-300.58","0.692993545811431","-3.7696","-0.134628571428571","0.718122812789759"
"symbol_best_session_with_dow_alignment","0","4","0.5","11.76","33.53","-21.77","1.54019292604502","0.3982","0.09955","1.37844516251663"
"symbol_best_session_with_dow_alignment","9","46","0.391304347826087","-144.95","452.06","-597.01","0.757206746955662","-6.3017","-0.136993478260869","0.771462247044317"
"symbol_best_session_with_dow_alignment","12","24","0.333333333333333","-145.77","194.51","-340.28","0.571617491477607","-5.9851","-0.249379166666667","0.60214181728743"
"symbol_best_session_with_dow_alignment","15","34","0.411764705882353","-215.6","225.4","-441","0.511111111111111","-9.6552","-0.283976470588235","0.525792335234054"
"symbol_best_session_with_dow_alignment","16","24","0.291666666666667","-160.99","194.69","-355.68","0.54737404408457","-7.6599","-0.3191625","0.52459301279147"
"symbol_best_session_with_dow_alignment","1","24","0.333333333333333","-87.26","135.81","-223.07","0.608822342762362","-4.2548","-0.177283333333333","0.585677699551089"
"symbol_best_session_with_dow_alignment","2","9","0.444444444444444","25.49","95.68","-70.19","1.36315714489243","1.4605","0.162277777777778","1.4445019326171"
"symbol_best_session_with_dow_alignment","3","10","0.4","-108.16","31.38","-139.54","0.224881754335674","-4.4455","-0.44455","0.263111656279008"
"symbol_best_session_with_dow_alignment","5","9","0.222222222222222","-68.09","69.9","-137.99","0.506558446264222","-3.3343","-0.370477777777778","0.460573998576328"
"symbol_best_session_with_dow_alignment","8","5","0.2","-84.07","2.43","-86.5","0.028092485549133","-3.89","-0.778","0.029925187032419"
"symbol_best_session_with_dow_alignment","11","16","0.125","-196.66","62.2","-258.86","0.240284323572587","-9.3134","-0.5820875","0.231142628350656"
"symbol_best_session_with_dow_alignment","19","1","0","-10.05","0","-10.05","0","-0.5276","-0.5276","0"
"symbol_best_session_with_dow_alignment","13","11","0.545454545454545","45.12","136.75","-91.63","1.49241514787733","2.1734","0.197581818181818","1.51843900577263"
"symbol_best_session_with_dow_alignment","4","11","0.272727272727273","-85.81","92.02","-177.83","0.517460495979306","-3.9606","-0.360054545454545","0.517147211216093"
"symbol_best_session_with_dow_alignment","14","7","0.142857142857143","-68.84","32.75","-101.59","0.322374249433999","-3.3086","-0.472657142857143","0.305528735149658"
"symbol_best_session_with_dow_alignment","6","3","0.333333333333333","-14.66","31.92","-46.58","0.685272649205668","-0.6688","-0.222933333333333","0.676282671829623"
"symbol_best_session_with_dow_alignment","7","2","0.5","7.53","29.36","-21.83","1.34493815849748","0.3923","0.19615","1.38807003660105"
"symbol_best_session_with_wave3_confirmed","10","14","0.285714285714286","-128.59","92.61","-221.2","0.418670886075949","-5.102","-0.364428571428571","0.448813793699494"
"symbol_best_session_with_wave3_confirmed","0","1","0","-0.65","0","-0.65","0","-0.0378","-0.0378","0"
"symbol_best_session_with_wave3_confirmed","9","20","0.55","100.15","266.66","-166.51","1.60146537745481","4.0251","0.201255","1.55664500069147"
"symbol_best_session_with_wave3_confirmed","12","10","0.7","136.79","180.35","-43.56","4.14026629935721","5.8155","0.58155","4.19937283380096"
"symbol_best_session_with_wave3_confirmed","15","15","0.666666666666667","8.84000000000001","161.2","-152.36","1.0580204778157","0.702599999999999","0.04684","1.10951089497802"
