"scenario_mode","year","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","2025","339","0.353982300884956","-1502.75","2767.68","-4270.43","0.648103352589786","-67.1355","-0.19803982300885","0.648141218349455"
"session_volatility_only_filter","2025","268","0.354477611940299","-1309.22","2133.84","-3443.06","0.619751035416171","-57.3889","-0.214137686567164","0.622083918865347"
"london_only_reference","2025","271","0.324723247232472","-1480.49","2002.56","-3483.05","0.574944373465784","-66.8218","-0.246574907749077","0.576213011597067"
"newyork_only_reference","2025","314","0.385350318471338","-1425.97","2095.34","-3521.31","0.595045593827297","-61.222","-0.194974522292994","0.614703957305407"
"tokyo_only_reference","2025","337","0.370919881305638","-1330.95","2780.28","-4111.23","0.676264767478346","-58.4761","-0.173519584569733","0.677969153907748"
"london_newyork_overlap_reference","2025","226","0.36283185840708","-1019.79","1573.97","-2593.76","0.606829467645425","-42.7503","-0.189160619469027","0.625667882617277"
"symbol_best_session","2025","268","0.354477611940299","-1309.22","2133.84","-3443.06","0.619751035416171","-57.3889","-0.214137686567164","0.622083918865347"
"symbol_best_session_with_dow_alignment","2025","288","0.347222222222222","-1485.2","2178.77","-3663.97","0.594647336086267","-67.0664","-0.232869444444444","0.599799739948359"
"symbol_best_session_with_wave3_confirmed","2025","147","0.428571428571429","-165.82","1327.99","-1493.81","0.88899525374713","-6.2919","-0.0428020408163265","0.90100724993392"
