"scenario_mode","month","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"london_newyork_overlap_reference","2025-08","26","0.192307692307692","-376.9","32.55","-409.45","0.0794968860666748","-16.6023","-0.63855","0.0936174394418331"
"london_newyork_overlap_reference","2025-09","10","0.7","49.82","98.06","-48.24","2.03275290215589","2.4378","0.24378","2.0903479738796"
"london_newyork_overlap_reference","2025-10","16","0.3125","-20.5","121.69","-142.19","0.855826710739152","-0.8422","-0.0526375","0.872552283526528"
"london_newyork_overlap_reference","2025-11","16","0.4375","30.55","140.97","-110.42","1.27667089295418","1.5552","0.0972","1.30013316093174"
"london_newyork_overlap_reference","2025-12","22","0.363636363636364","-19.63","182.96","-202.59","0.903104792931536","-0.7632","-0.0346909090909091","0.916607480413903"
"symbol_best_session","2025-01","58","0.482758620689655","168.62","796.64","-628.02","1.26849463392886","7.4842","0.129037931034483","1.28523625498312"
"symbol_best_session","2025-02","67","0.328358208955224","-493.03","491.16","-984.19","0.499049980186753","-20.2607","-0.302398507462687","0.505723263382336"
"symbol_best_session","2025-03","69","0.27536231884058","-621.8","402.94","-1024.74","0.393211936686379","-27.6379","-0.400549275362319","0.3968710855836"
"symbol_best_session","2025-04","74","0.351351351351351","-363.01","443.1","-806.11","0.549676843110742","-16.9745","-0.229385135135135","0.562544455554754"
"symbol_best_session_with_dow_alignment","2025-01","30","0.366666666666667","-96.51","251.4","-347.91","0.722600672587738","-3.7327","-0.124423333333333","0.747526125333965"
"symbol_best_session_with_dow_alignment","2025-02","43","0.372093023255814","-231.63","347.38","-579.01","0.599955095766912","-10.0353","-0.233379069767442","0.594708550242925"
"symbol_best_session_with_dow_alignment","2025-03","40","0.3","-343.13","276.36","-619.49","0.446108896027377","-15.0643","-0.3766075","0.44946661745197"
"symbol_best_session_with_dow_alignment","2025-04","42","0.238095238095238","-370.54","192.25","-562.79","0.341601663142558","-16.8229","-0.400545238095238","0.359691090887638"
"symbol_best_session_with_dow_alignment","2025-05","20","0.4","-76.22","162.27","-238.49","0.680405887039289","-3.5769","-0.178845","0.679124092829654"
"symbol_best_session_with_dow_alignment","2025-06","28","0.321428571428571","-133.64","204.82","-338.46","0.605152750694321","-6.1407","-0.219310714285714","0.616611204415336"
"symbol_best_session_with_dow_alignment","2025-07","43","0.511627906976744","97.17","484.48","-387.31","1.25088430456224","4.453","0.103558139534884","1.23650191729603"
"symbol_best_session_with_dow_alignment","2025-08","42","0.285714285714286","-330.7","259.81","-590.51","0.439975614299504","-16.1466","-0.384442857142857","0.431615853336572"
"symbol_best_session_with_wave3_confirmed","2025-01","13","0.384615384615385","-47.62","105.17","-152.79","0.688330388114406","-1.4543","-0.111869230769231","0.76796540940711"
"symbol_best_session_with_wave3_confirmed","2025-02","16","0.375","-96.6","95.06","-191.66","0.495982468955442","-4.1967","-0.26229375","0.502229865970822"
"symbol_best_session_with_wave3_confirmed","2025-03","10","0.6","91.47","156.92","-65.45","2.39755538579068","3.7554","0.37554","2.30722639933166"
"symbol_best_session_with_wave3_confirmed","2025-04","10","0.4","-56.45","38.74","-95.19","0.406975522638933","-2.3495","-0.23495","0.439688066393208"
"symbol_best_session_with_wave3_confirmed","2025-05","5","0.2","-39.47","33.28","-72.75","0.45745704467354","-1.6728","-0.33456","0.4549897370736"
"symbol_best_session_with_wave3_confirmed","2025-06","7","0.428571428571429","20.66","79.86","-59.2","1.34898648648649","0.7957","0.113671428571429","1.30980376888335"
"symbol_best_session_with_wave3_confirmed","2025-07","16","0.5625","60.42","183.67","-123.25","1.49022312373225","2.6653","0.16658125","1.50825705568269"
"symbol_best_session_with_wave3_confirmed","2025-08","19","0.368421052631579","-96.37","171.65","-268.02","0.64043728079994","-4.268","-0.224631578947368","0.627941035453698"
"symbol_best_session_with_wave3_confirmed","2025-09","11","0.636363636363636","12.32","110.67","-98.35","1.12526690391459","0.679","0.0617272727272728","1.16806930693069"
"symbol_best_session_with_wave3_confirmed","2025-10","21","0.380952380952381","27.7","203.69","-175.99","1.15739530655151","1.5038","0.0716095238095238","1.20428734445471"
"symbol_best_session_with_wave3_confirmed","2025-11","9","0.333333333333333","-12.32","82.13","-94.45","0.869560614081525","-0.5535","-0.0615","0.862073261898829"
"symbol_best_session_with_wave3_confirmed","2025-12","10","0.4","-29.56","67.15","-96.71","0.694343914796815","-1.1963","-0.11963","0.702959725877737"
