"scenario_mode","wave3_break_confirmed","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","false","250","0.312","-1633.7","1940.89","-3574.59","0.542968564226946","-73.1215","-0.292486","0.54028809363043"
"baseline_all_sessions","true","89","0.471910112359551","130.95","826.79","-695.84","1.18818981375029","5.98600000000001","0.0672584269662922","1.18857700910437"
"session_volatility_only_filter","false","201","0.318407960199005","-1343.38","1478.7","-2822.08","0.523975223948294","-59.3438","-0.295242786069652","0.523714436371312"
"session_volatility_only_filter","true","67","0.462686567164179","34.1600000000001","655.14","-620.98","1.05500982318271","1.9549","0.0291776119402985","1.07171550051176"
"london_only_reference","true","64","0.390625","-157.52","444.23","-601.75","0.73823016202742","-7.2006","-0.112509375","0.740883083234373"
"london_only_reference","false","207","0.304347826086957","-1322.97","1558.33","-2881.3","0.540842675181342","-59.6212","-0.288025120772947","0.540982748320101"
"newyork_only_reference","false","218","0.389908256880734","-859.86","1592.27","-2452.13","0.649341592819304","-34.9488","-0.160315596330275","0.680617037998282"
"newyork_only_reference","true","96","0.375","-566.11","503.07","-1069.18","0.470519463514095","-26.2732","-0.273679166666667","0.468906407923994"
"tokyo_only_reference","true","83","0.397590361445783","-193.83","577.82","-771.65","0.748810989438217","-9.4751","-0.114157831325301","0.7310036651251"
"tokyo_only_reference","false","254","0.362204724409449","-1137.12","2202.46","-3339.58","0.659502093077573","-49.001","-0.192917322834646","0.665205672256707"
"london_newyork_overlap_reference","false","166","0.343373493975904","-791.1","1241.3","-2032.4","0.610755756740799","-33.0294","-0.198972289156626","0.630775731587078"
"london_newyork_overlap_reference","true","60","0.416666666666667","-228.69","332.67","-561.36","0.592614365113296","-9.7209","-0.162015","0.607204622595765"
"symbol_best_session","false","201","0.318407960199005","-1343.38","1478.7","-2822.08","0.523975223948294","-59.3438","-0.295242786069652","0.523714436371312"
"symbol_best_session","true","67","0.462686567164179","34.1600000000001","655.14","-620.98","1.05500982318271","1.9549","0.0291776119402985","1.07171550051176"
"symbol_best_session_with_dow_alignment","true","86","0.441860465116279","-88.55","751.28","-839.83","0.894561994689402","-3.9643","-0.046096511627907","0.898902909254121"
"symbol_best_session_with_dow_alignment","false","202","0.306930693069307","-1396.65","1427.49","-2824.14","0.505460069260023","-63.1021","-0.312386633663366","0.508433091089536"
"symbol_best_session_with_wave3_confirmed","true","135","0.437037037037037","-90.74","1263.61","-1354.35","0.933001070624285","-3.1338","-0.0232133333333333","0.945645085197314"
"symbol_best_session_with_wave3_confirmed","false","12","0.333333333333333","-75.08","64.38","-139.46","0.461637745590133","-3.1581","-0.263175","0.465163934426229"
