"scenario_mode","failure_type","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"london_only_reference","target_blocked","25","0","-221.69","0","-221.69","0","-11.3852","-0.455408","0"
"london_only_reference","abc_not_complete","5","0","-96.1","0","-96.1","0","-4.2921","-0.85842","0"
"newyork_only_reference","other","124","0.975806451612903","2093.74","2095.34","-1.6","1309.5875","97.674","0.787693548387097","∞"
"newyork_only_reference","abc_not_complete","7","0","-106.95","0","-106.95","0","-4.8218","-0.688828571428571","0"
"newyork_only_reference","wave3_unconfirmed_too_early","116","0","-2269.39","0","-2269.39","0","-100.9215","-0.870012931034482","0"
"newyork_only_reference","wave4_chase","3","0","-52.58","0","-52.58","0","-2.3973","-0.7991","0"
"newyork_only_reference","target_blocked","42","0","-504.17","0","-504.17","0","-24.1338","-0.574614285714286","0"
"newyork_only_reference","no_follow_through","13","0","-257.18","0","-257.18","0","-11.3831","-0.875623076923077","0"
"newyork_only_reference","fib_not_aligned","9","0","-329.44","0","-329.44","0","-15.2385","-1.69316666666667","0"
"tokyo_only_reference","target_blocked","38","0","-490.8","0","-490.8","0","-22.927","-0.603342105263158","0"
"tokyo_only_reference","other","125","1","2780.28","2780.28","0","∞","123.1093","0.9848744","∞"
"tokyo_only_reference","fib_not_aligned","9","0","-194.05","0","-194.05","0","-8.5141","-0.946011111111111","0"
"tokyo_only_reference","wave3_unconfirmed_too_early","148","0","-3039.61","0","-3039.61","0","-132.9947","-0.898612837837838","0"
"tokyo_only_reference","no_follow_through","11","0","-254.13","0","-254.13","0","-11.1068","-1.00970909090909","0"
"tokyo_only_reference","abc_not_complete","4","0","-88.44","0","-88.44","0","-4.0428","-1.0107","0"
"tokyo_only_reference","wave4_chase","2","0","-44.2","0","-44.2","0","-2","-1","0"
"london_newyork_overlap_reference","wave3_unconfirmed_too_early","96","0","-1828.35","0","-1828.35","0","-80.3001","-0.836459375","0"
"london_newyork_overlap_reference","other","83","0.987951807228916","1573.33","1573.97","-0.64","2459.328125","71.4539","0.860890361445783","∞"
"london_newyork_overlap_reference","fib_not_aligned","7","0","-205.97","0","-205.97","0","-8.953","-1.279","0"
"london_newyork_overlap_reference","abc_not_complete","8","0","-133.76","0","-133.76","0","-5.9833","-0.7479125","0"
"london_newyork_overlap_reference","no_follow_through","7","0","-146.81","0","-146.81","0","-6.2916","-0.8988","0"
"london_newyork_overlap_reference","target_blocked","23","0","-232.1","0","-232.1","0","-10.6762","-0.464182608695652","0"
"london_newyork_overlap_reference","wave4_chase","2","0","-46.13","0","-46.13","0","-2","-1","0"
"symbol_best_session","wave3_unconfirmed_too_early","127","0","-2643.64","0","-2643.64","0","-116.4047","-0.916572440944882","0"
"symbol_best_session","other","95","1","2133.84","2133.84","0","∞","94.4673","0.994392631578947","∞"
"symbol_best_session","target_blocked","21","0","-219.54","0","-219.54","0","-10.7537","-0.512080952380952","0"
"symbol_best_session","fib_not_aligned","9","0","-217.69","0","-217.69","0","-9.1466","-1.01628888888889","0"
"symbol_best_session","no_follow_through","11","0","-266.3","0","-266.3","0","-11.2727","-1.02479090909091","0"
"symbol_best_session","abc_not_complete","4","0","-73.3","0","-73.3","0","-3.2785","-0.819625","0"
"symbol_best_session","wave4_chase","1","0","-22.59","0","-22.59","0","-1","-1","0"
"symbol_best_session_with_dow_alignment","other","100","1","2178.77","2178.77","0","∞","100.5157","1.005157","∞"
"symbol_best_session_with_dow_alignment","wave3_unconfirmed_too_early","133","0","-2714.07","0","-2714.07","0","-123.4645","-0.928304511278196","0"
"symbol_best_session_with_dow_alignment","target_blocked","27","0","-302.19","0","-302.19","0","-15.1493","-0.561085185185185","0"
"symbol_best_session_with_dow_alignment","fib_not_aligned","8","0","-223.13","0","-223.13","0","-9.8773","-1.2346625","0"
"symbol_best_session_with_dow_alignment","no_follow_through","16","0","-363.22","0","-363.22","0","-16.3478","-1.0217375","0"
"symbol_best_session_with_dow_alignment","abc_not_complete","3","0","-38.77","0","-38.77","0","-1.7432","-0.581066666666667","0"
"symbol_best_session_with_dow_alignment","wave4_chase","1","0","-22.59","0","-22.59","0","-1","-1","0"
"symbol_best_session_with_wave3_confirmed","other","63","1","1327.99","1327.99","0","∞","57.2673","0.909004761904762","∞"
"symbol_best_session_with_wave3_confirmed","target_blocked","45","0","-554.25","0","-554.25","0","-24.3142","-0.540315555555556","0"
"symbol_best_session_with_wave3_confirmed","fib_not_aligned","11","0","-312.55","0","-312.55","0","-12.9003","-1.17275454545455","0"
"symbol_best_session_with_wave3_confirmed","no_follow_through","20","0","-465.79","0","-465.79","0","-19.5615","-0.978075","0"
"symbol_best_session_with_wave3_confirmed","abc_not_complete","4","0","-64.61","0","-64.61","0","-2.7432","-0.6858","0"
"symbol_best_session_with_wave3_confirmed","wave4_chase","4","0","-96.61","0","-96.61","0","-4.04","-1.01","0"
